"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",272.077271953033,289.820295637738,303.672619163693,228.004246002805,286.089992223473,233.814242423104,218.922363299503,287.841810684643,197.326710077201,262.082904030139,219.479509979875,258.187434118711,260.939452038347,245.300068148099,303.730893380837,261.111546860472,234.572564028159,239.208508707633,239.198471690827,270.98263095694,177.209383496527,171.427246109167,276.091342240662,276.252688832247,298.011891288821,257.856950139414,218.336181549833,232.238139056653,318.20398731259,294.6326661184,334.044083317953,265.260607551384,281.164600859684,249.579580205872,174.659168466193,205.774837617431,237.150523118442,236.750920539526,220.057125632826,258.157028743635,216.763604779366,258.523813985316,223.096101255637,235.803294483044,258.156894352509,206.442665935721,266.213568927572,253.909877155802,209.789884177993,275.598443174345,316.172312616018,214.867763641688,229.315704063136,274.535299684375,315.465101033339,219.368989712158,267.284003309209,237.155646152942,217.338196911691,226.650287772767,243.279948368152,317.17198921785,242.904184415817,307.273052720023,239.208508707633,302.988852414035,229.555962668,223.386968619252,278.952205086958,266.474517142747,300.103130669383,213.329323669753,269.169522949255,251.512250614505,285.062726769263,218.736500942932,240.032814635561,233.653243253415,256.664462722262,242.004664247797,222.471488871998,250.293891494932,268.544062267804,316.767333997537,253.394849716754,174.281318897146,222.234410540573,280.555247891424,318.747454261556,234.650791520502,212.659953877549,340.253314301684,214.392292326216,286.103659221599,252.904909454511,261.64240564131,222.894198144554,247.298046097503,291.877100220589,232.900254848421
"2",315.727227127076,333.514795713219,312.927712198643,285.921808896692,323.282972621624,283.460760841354,280.846024773518,333.514795713219,280.846024773518,290.78541662807,280.846024773518,290.834540273355,284.23528795117,290.429523153442,343.047860757544,285.038614619748,290.317954755045,279.746374123565,287.28144763224,304.632840714309,277.505875775114,283.008126657086,308.213921560779,364.75465697394,315.347264412302,277.584336668662,280.846024773518,283.460760841354,348.512176465529,325.559575524607,359.214336398515,280.953004496142,294.921010677303,282.84257686215,277.505875775114,283.008126657086,280.846024773518,286.294762212661,277.505875775114,327.486644938903,286.373748657543,289.318665004102,277.584336668662,283.332009413535,333.514795713219,283.460760841354,280.846024773518,380.767194076461,283.008126657086,300.099801829144,336.942453301769,279.423821314293,285.980025605775,296.297533973038,333.514795713219,283.460760841354,297.469294600855,303.405920872465,277.505875775114,277.505875775114,283.460760841354,330.568122612515,294.921010677303,332.929454186359,277.505875775114,318.615703251829,283.460760841354,277.918256578319,329.810717898844,290.429523153442,306.183650657289,288.390617875476,293.227096213663,286.55231927623,300.701419345392,285.921808896692,295.701938117301,303.619751062128,287.212819977112,242.004664247797,286.299590166361,293.409283912279,292.835035874671,352.047603525529,287.439667236414,210.545803809855,278.858541171698,316.340488061812,356.63164048352,283.460760841354,277.505875775114,351.201351953998,280.846024773518,298.354943475094,301.131683086428,294.672136076766,318.515538725847,286.299590166361,330.302978635639,280.846024773518
"3",328.389172432913,340.333259185443,314.016993418593,328.389172432913,330.085404688022,285.864014698555,303.049828001313,340.333259185443,303.049828001313,291.570309201267,303.049828001313,291.591972511395,286.638541808372,326.769984153907,347.950000360881,306.67684710289,306.67684710289,306.67684710289,298.37711960298,328.389172432913,306.67684710289,296.504370644466,321.710165548159,372.21883208532,315.347264412302,306.67684710289,303.049828001313,319.801221841819,351.673265914009,330.097495001173,359.63136547188,280.953004496142,303.049828001313,288.750454791484,306.67684710289,296.504370644466,303.049828001313,303.049828001313,306.67684710289,334.555856025557,299.869992644923,310.956897487244,306.67684710289,296.504370644466,340.333259185443,285.864014698555,303.049828001313,380.767194076461,296.504370644466,309.540271320625,359.146256529564,304.967773540492,315.150996933551,304.348207789745,340.333259185443,319.801221841819,299.872548458056,319.801221841819,306.67684710289,303.049828001313,285.864014698555,337.618143532656,303.049828001313,336.828548241007,306.67684710289,327.870233341333,285.864014698555,307.089227906095,336.079995927557,292.832777010643,306.396052042179,334.793609476928,337.513990436144,308.756122504025,307.044609063174,296.504370644466,306.67684710289,310.688962148782,308.756122504025,246.337965297086,288.849795018647,328.389172432913,310.582566845947,354.587023956554,301.063607026279,210.545803809855,308.029512499474,322.966269239585,361.064202068743,296.504370644466,306.67684710289,351.662560376482,303.049828001313,319.801221841819,303.534936943629,306.67684710289,329.584546775295,303.049828001313,330.764187058123,303.049828001313
"4",330.234578354055,340.561055192815,340.561055192815,330.234578354055,359.256376015798,303.466860883481,303.563568030333,340.561055192815,332.220799329089,304.613919004379,332.220799329089,309.19481869632,303.466860883481,326.997780161279,377.120971688657,332.220799329089,332.220799329089,306.67684710289,298.37711960298,330.234578354055,332.220799329089,298.907624501668,322.447346918862,377.07679614834,315.347264412302,330.234578354055,303.466860883481,320.164061677848,361.11373540549,332.220799329089,367.096028256366,280.953004496142,303.466860883481,288.750454791484,332.220799329089,301.549738001702,303.466860883481,332.220799329089,332.220799329089,340.696099021472,330.191774934576,332.220799329089,330.234578354055,298.907624501668,340.561055192815,303.466860883481,332.220799329089,380.767194076461,332.844831644932,339.862053610278,388.31722785734,305.38480642266,332.220799329089,333.519179117521,340.696099021472,332.844831644932,305.508633798577,364.729633433378,330.234578354055,303.563568030333,303.466860883481,359.256376015798,303.563568030333,337.191388077035,306.67684710289,333.519179117521,303.466860883481,330.234578354055,339.841740705503,305.38480642266,308.968013479292,337.214831151949,339.841740705503,309.269862533044,307.914338142221,330.191774934576,306.67684710289,320.164061677848,337.927093831801,298.094606163458,288.849795018647,330.234578354055,332.220799329089,357.49603510409,330.234578354055,210.594243658327,324.937089062767,332.220799329089,361.481234950911,330.191774934576,332.220799329089,355.328242016018,303.466860883481,320.029017849191,310.999599728115,330.234578354055,337.927093831801,303.466860883481,348.367033243049,332.220799329089
"5",332.637832211256,343.133016629928,343.133016629928,332.637832211256,359.673408897965,332.637832211256,303.563568030333,343.133016629928,332.734539358108,309.659286361615,332.734539358108,338.365790024096,332.637832211256,339.549809573296,377.538004570825,332.637832211256,332.637832211256,306.67684710289,298.37711960298,332.637832211256,332.637832211256,303.952991858904,324.850600776064,377.538004570825,315.347264412302,330.234578354055,337.631864034117,333.20767148096,361.341531412863,332.637832211256,388.734260739507,280.953004496142,337.631864034117,288.750454791484,332.734539358108,303.952991858904,337.631864034117,332.637832211256,332.734539358108,343.017010063304,330.720709329478,332.734539358108,330.234578354055,303.952991858904,343.133016629928,332.637832211256,332.734539358108,385.428489776458,333.072627652304,340.39098800518,388.734260739507,332.637832211256,332.734539358108,334.03291914654,343.017010063304,333.20767148096,332.637832211256,366.57503935452,332.637832211256,303.563568030333,332.637832211256,359.770116044817,303.563568030333,347.608522329428,306.67684710289,334.03291914654,332.637832211256,332.637832211256,340.355480734522,305.870937398083,332.637832211256,366.385802479725,340.258773587671,309.269862533044,310.775695828857,330.720709329478,332.220799329089,337.766907862773,338.44083386082,319.801221841819,288.849795018647,332.637832211256,332.637832211256,357.69686462483,332.637832211256,225.965483900309,324.937089062767,332.734539358108,388.734260739507,330.720709329478,332.734539358108,357.533867478396,337.631864034117,337.631864034117,332.637832211256,332.637832211256,338.44083386082,337.631864034117,352.032714882585,332.637832211256
"6",333.123963186679,343.619147605351,343.619147605351,333.123963186679,360.159539873388,333.123963186679,303.563568030333,357.533867478396,332.734539358108,338.11799500954,332.734539358108,338.559709331605,366.802835361892,340.035940548719,378.024135546247,366.802835361892,332.831751518766,324.937089062767,298.37711960298,332.831751518766,366.802835361892,333.123963186679,333.123963186679,377.731923878334,315.347264412302,332.637832211256,366.802835361892,333.4085010017,364.93922230882,332.831751518766,389.22039171493,280.953004496142,338.11799500954,288.750454791484,332.734539358108,333.123963186679,337.825783341626,333.123963186679,332.734539358108,404.530444727987,333.123963186679,332.734539358108,332.637832211256,333.123963186679,343.468889979324,366.802835361892,332.734539358108,386.376501111526,338.11799500954,340.744904563093,389.22039171493,332.831751518766,332.734539358108,334.03291914654,343.217839584044,366.89507577107,332.831751518766,366.802835361892,333.123963186679,303.563568030333,332.831751518766,359.770116044817,303.563568030333,347.809351850168,330.234578354055,334.03291914654,333.123963186679,332.831751518766,340.355480734522,340.035940548719,332.831751518766,366.802835361892,340.45269289518,309.269862533044,337.617963134726,333.123963186679,332.220799329089,337.967737383513,338.44083386082,332.844831644932,288.849795018647,332.637832211256,332.831751518766,362.742231982066,333.123963186679,260.713871571197,324.937089062767,332.734539358108,389.22039171493,333.123963186679,332.734539358108,357.727786785905,337.825783341626,337.825783341626,332.831751518766,332.637832211256,338.44083386082,338.11799500954,381.20368621036,366.802835361892
"7",367.288966337315,343.955020954747,343.705069470312,367.288966337315,367.288966337315,367.288966337315,303.563568030333,357.869740827792,332.734539358108,367.288966337315,332.734539358108,338.559709331605,367.288966337315,367.288966337315,378.110057411209,366.996754669402,332.831751518766,324.937089062767,298.37711960298,332.831751518766,366.996754669402,367.288966337315,367.288966337315,377.731923878334,315.347264412302,332.637832211256,366.996754669402,358.311782761801,392.192248097417,332.831751518766,389.306313579892,280.953004496142,338.453868358936,288.750454791484,332.734539358108,360.555628600057,337.825783341626,333.209885051641,332.734539358108,404.530444727987,333.209885051641,332.734539358108,333.123963186679,333.209885051641,343.955020954747,367.288966337315,332.734539358108,386.376501111526,367.288966337315,340.744904563093,389.306313579892,332.831751518766,332.734539358108,334.03291914654,343.955020954747,367.424010165972,332.831751518766,367.288966337315,333.209885051641,303.563568030333,332.831751518766,359.770116044817,303.563568030333,352.854719207403,332.637832211256,334.03291914654,333.209885051641,332.831751518766,340.355480734522,367.288966337315,332.831751518766,366.996754669402,340.45269289518,309.269862533044,337.703884999688,333.123963186679,332.885044698796,338.453868358936,338.44083386082,333.20767148096,288.849795018647,332.637832211256,332.831751518766,363.357150119037,333.123963186679,260.713871571197,324.937089062767,332.734539358108,392.192248097417,333.209885051641,332.734539358108,357.727786785905,337.825783341626,337.825783341626,332.831751518766,332.637832211256,338.44083386082,338.453868358936,381.39760551787,366.996754669402
"8",367.374888202277,344.040942819708,343.705069470312,367.374888202277,367.374888202277,367.624839686711,303.563568030333,358.355871803215,332.734539358108,367.374888202277,332.734539358108,338.559709331605,367.374888202277,367.374888202277,378.110057411209,366.996754669402,332.831751518766,324.937089062767,298.37711960298,332.831751518766,366.996754669402,367.624839686711,367.624839686711,377.731923878334,315.347264412302,332.637832211256,366.996754669402,394.921935666383,392.278169962378,332.831751518766,389.306313579892,280.953004496142,399.967303023619,288.750454791484,332.734539358108,367.624839686711,337.825783341626,333.209885051641,332.734539358108,404.530444727987,333.209885051641,332.734539358108,333.123963186679,333.209885051641,368.858302714849,367.374888202277,332.734539358108,393.37433035905,367.624839686711,340.744904563093,389.306313579892,332.831751518766,332.734539358108,334.03291914654,368.858302714849,367.624839686711,332.831751518766,367.288966337315,333.209885051641,303.563568030333,332.831751518766,359.770116044817,303.563568030333,382.025690535179,332.637832211256,334.03291914654,333.209885051641,332.831751518766,340.355480734522,367.374888202277,332.831751518766,366.996754669402,340.45269289518,309.269862533044,337.703884999688,333.209885051641,333.123963186679,363.357150119037,338.44083386082,333.4085010017,288.849795018647,332.637832211256,332.831751518766,392.528121446813,333.209885051641,288.092613701856,324.937089062767,332.734539358108,392.278169962378,333.209885051641,332.734539358108,357.727786785905,337.825783341626,337.825783341626,332.831751518766,333.123963186679,338.44083386082,367.624839686711,381.39760551787,366.996754669402
"9",367.374888202277,344.040942819708,343.705069470312,367.374888202277,367.374888202277,367.710761551672,303.563568030333,368.858302714849,332.734539358108,367.374888202277,332.734539358108,338.559709331605,367.374888202277,367.374888202277,378.110057411209,366.996754669402,332.831751518766,324.937089062767,298.37711960298,332.831751518766,366.996754669402,367.710761551672,367.710761551672,377.731923878334,315.347264412302,333.123963186679,366.996754669402,394.921935666383,392.278169962378,332.831751518766,389.306313579892,280.953004496142,400.05322488858,288.750454791484,332.734539358108,367.710761551672,337.825783341626,333.209885051641,332.734539358108,404.731274248727,333.209885051641,332.734539358108,333.123963186679,333.209885051641,405.46845561943,367.374888202277,332.734539358108,394.721106145643,367.710761551672,340.744904563093,389.306313579892,332.831751518766,332.734539358108,334.03291914654,405.46845561943,367.710761551672,332.831751518766,367.288966337315,333.209885051641,303.563568030333,332.831751518766,359.770116044817,303.563568030333,382.11161240014,332.637832211256,334.03291914654,333.209885051641,332.831751518766,340.355480734522,367.374888202277,332.831751518766,366.996754669402,340.45269289518,309.269862533044,337.703884999688,333.209885051641,333.123963186679,399.967303023619,338.44083386082,338.453868358936,288.849795018647,333.123963186679,332.831751518766,392.614043311774,333.209885051641,288.092613701856,324.937089062767,332.734539358108,392.278169962378,333.209885051641,332.734539358108,357.727786785905,337.825783341626,337.825783341626,332.831751518766,333.123963186679,338.44083386082,367.710761551672,381.39760551787,366.996754669402
"10",367.374888202277,344.040942819708,343.705069470312,367.374888202277,367.374888202277,367.710761551672,303.563568030333,405.46845561943,332.734539358108,367.374888202277,332.734539358108,338.559709331605,367.374888202277,367.374888202277,378.110057411209,366.996754669402,332.831751518766,324.937089062767,298.37711960298,332.831751518766,366.996754669402,367.710761551672,367.710761551672,377.731923878334,315.347264412302,333.209885051641,366.996754669402,394.921935666383,392.278169962378,332.831751518766,389.306313579892,280.953004496142,400.05322488858,288.750454791484,332.734539358108,367.710761551672,337.825783341626,333.209885051641,332.734539358108,404.817196113688,333.209885051641,332.734539358108,333.123963186679,333.209885051641,405.554377484391,367.374888202277,332.734539358108,394.921935666383,367.710761551672,340.744904563093,389.306313579892,332.831751518766,332.734539358108,334.03291914654,405.554377484391,367.710761551672,332.831751518766,367.374888202277,333.209885051641,303.563568030333,332.831751518766,359.770116044817,303.563568030333,382.11161240014,332.637832211256,334.03291914654,333.209885051641,332.831751518766,340.355480734522,367.374888202277,332.831751518766,366.996754669402,340.45269289518,309.269862533044,337.703884999688,333.209885051641,333.123963186679,400.05322488858,338.44083386082,338.539790223897,288.849795018647,333.209885051641,332.831751518766,392.614043311774,333.209885051641,288.092613701856,324.937089062767,332.734539358108,392.278169962378,333.209885051641,332.734539358108,357.727786785905,337.825783341626,337.825783341626,332.831751518766,333.123963186679,338.44083386082,367.710761551672,381.39760551787,366.996754669402
