"","AEHVI","GEHVI","DEHVI","AEI_EI","GEI_EI","DEI_EI"
"1",6,6,7,8,7,7
"2",9,7,5,6,7,6
"3",8,8,7,10,6,6
"4",10,5,6,6,7,6
"5",4,9,7,9,7,7
"6",50,7,7,11,8,7
"7",46,5,2,3,3,2
"8",7,6,6,6,10,8
"9",7,4,4,4,4,3
"10",50,7,6,7,7,5
"11",47,7,8,3,4,8
"12",4,5,5,6,5,5
"13",5,6,7,8,7,7
"14",9,7,7,6,7,7
"15",44,10,5,9,6,6
"16",5,5,5,5,6,5
"17",8,5,5,4,5,5
"18",5,50,5,4,5,5
"19",3,5,2,6,2,3
"20",7,5,5,6,5,6
"21",6,5,6,8,6,5
"22",46,6,6,8,8,8
"23",10,7,8,11,8,8
"24",7,6,4,5,5,5
"25",1,4,2,1,1,1
"26",5,50,4,6,9,6
"27",44,5,5,6,6,4
"28",11,10,9,8,10,8
"29",11,8,7,9,7,7
"30",4,5,5,5,5,5
"31",8,4,6,8,6,7
"32",1,1,1,1,1,1
"33",8,4,6,8,8,6
"34",3,4,4,2,2,4
"35",7,4,5,4,4,3
"36",46,7,8,11,8,7
"37",44,5,5,5,5,6
"38",6,3,6,7,6,5
"39",47,4,5,4,4,3
"40",7,8,6,8,9,7
"41",8,13,6,8,6,7
"42",7,5,4,4,4,5
"43",11,7,8,8,10,8
"44",44,8,6,7,6,6
"45",9,9,5,6,9,8
"46",50,7,7,8,7,6
"47",5,4,3,2,4,6
"48",3,6,3,3,10,3
"49",46,6,8,8,8,8
"50",7,11,7,8,11,6
"51",50,5,6,9,6,6
"52",5,5,6,4,5,5
"53",46,7,5,9,4,6
"54",44,4,5,3,4,3
"55",8,6,7,10,9,8
"56",50,12,8,9,8,8
"57",5,5,5,6,5,5
"58",50,10,7,9,9,8
"59",46,48,6,5,6,4
"60",48,5,4,4,3,3
"61",50,5,5,5,5,6
"62",4,4,3,3,4,4
"63",7,4,5,3,3,3
"64",47,10,8,10,8,8
"65",45,50,5,5,11,3
"66",4,4,4,10,4,4
"67",50,6,6,8,6,6
"68",7,5,2,5,5,3
"69",7,4,4,2,4,3
"70",7,5,5,7,7,7
"71",6,45,4,4,5,4
"72",48,4,4,8,6,7
"73",8,5,4,7,5,5
"74",48,5,3,2,3,5
"75",7,5,4,9,6,7
"76",7,8,7,8,7,7
"77",7,9,7,8,15,8
"78",6,8,8,9,9,8
"79",46,4,4,2,4,3
"80",11,12,8,10,9,10
"81",7,5,5,3,2,6
"82",7,10,7,8,9,7
"83",5,5,4,5,5,5
"84",50,9,7,9,8,7
"85",10,8,6,10,7,6
"86",47,6,8,4,7,7
"87",1,4,2,1,3,5
"88",4,4,6,4,4,4
"89",7,8,7,10,7,8
"90",50,5,6,10,6,7
"91",7,47,6,4,4,5
"92",6,5,4,6,5,5
"93",48,6,4,5,5,5
"94",6,7,4,8,5,5
"95",7,6,7,8,5,7
"96",6,5,6,6,10,8
"97",7,5,6,1,4,3
"98",7,6,5,6,8,5
"99",7,5,6,6,6,4
"100",46,5,6,6,6,5
