"","V1"
"V1",36
"V2",33
"V3",37
"V4",23
"V5",50
"V6",50
"V7",42
"V8",31
"V9",35
"V10",47
"V11",25
"V12",50
"V13",29
"V14",50
"V15",42
"V16",44
"V17",44
"V18",50
"V19",21
"V20",50
"V21",39
"V22",31
"V23",50
"V24",32
"V25",42
"V26",33
"V27",50
"V28",26
"V29",36
"V30",50
"V31",43
"V32",46
"V33",50
"V34",33
"V35",50
"V36",50
"V37",32
"V38",31
"V39",32
"V40",50
"V41",50
"V42",50
"V43",36
"V44",45
"V45",40
"V46",23
"V47",25
"V48",26
"V49",41
"V50",26
"V51",41
"V52",28
"V53",50
"V54",50
"V55",50
"V56",48
"V57",39
"V58",50
"V59",38
"V60",16
"V61",50
"V62",50
"V63",38
"V64",35
"V65",38
"V66",50
"V67",43
"V68",50
"V69",30
"V70",23
"V71",48
"V72",41
"V73",31
"V74",49
"V75",49
"V76",50
"V77",35
"V78",50
"V79",32
"V80",37
"V81",28
"V82",40
"V83",47
"V84",38
"V85",33
"V86",42
"V87",38
"V88",31
"V89",28
"V90",37
"V91",35
"V92",28
"V93",50
"V94",33
"V95",16
"V96",45
"V97",40
"V98",12
"V99",39
"V100",38
