"","V1"
"V1",50
"V2",50
"V3",50
"V4",35
"V5",50
"V6",36
"V7",50
"V8",50
"V9",50
"V10",50
"V11",50
"V12",31
"V13",26
"V14",50
"V15",50
"V16",50
"V17",50
"V18",50
"V19",50
"V20",50
"V21",50
"V22",49
"V23",50
"V24",50
"V25",50
"V26",33
"V27",50
"V28",27
"V29",37
"V30",50
"V31",50
"V32",50
"V33",50
"V34",50
"V35",50
"V36",50
"V37",50
"V38",32
"V39",50
"V40",50
"V41",50
"V42",50
"V43",50
"V44",39
"V45",49
"V46",34
"V47",50
"V48",30
"V49",50
"V50",50
"V51",50
"V52",32
"V53",50
"V54",50
"V55",45
"V56",36
"V57",50
"V58",50
"V59",50
"V60",50
"V61",50
"V62",50
"V63",29
"V64",43
"V65",50
"V66",50
"V67",50
"V68",50
"V69",50
"V70",50
"V71",49
"V72",48
"V73",47
"V74",50
"V75",50
"V76",50
"V77",49
"V78",42
"V79",42
"V80",50
"V81",30
"V82",50
"V83",50
"V84",50
"V85",50
"V86",50
"V87",50
"V88",50
"V89",39
"V90",46
"V91",50
"V92",33
"V93",50
"V94",50
"V95",46
"V96",50
"V97",50
"V98",42
"V99",21
"V100",45
