"","V1"
"V1",31
"V2",50
"V3",50
"V4",22
"V5",50
"V6",50
"V7",50
"V8",50
"V9",28
"V10",50
"V11",20
"V12",50
"V13",23
"V14",50
"V15",50
"V16",50
"V17",50
"V18",50
"V19",28
"V20",36
"V21",35
"V22",27
"V23",50
"V24",44
"V25",42
"V26",39
"V27",46
"V28",21
"V29",50
"V30",50
"V31",50
"V32",50
"V33",50
"V34",50
"V35",50
"V36",50
"V37",50
"V38",18
"V39",50
"V40",50
"V41",50
"V42",50
"V43",50
"V44",50
"V45",41
"V46",50
"V47",50
"V48",49
"V49",50
"V50",25
"V51",50
"V52",16
"V53",50
"V54",50
"V55",50
"V56",50
"V57",42
"V58",50
"V59",50
"V60",15
"V61",50
"V62",50
"V63",39
"V64",31
"V65",50
"V66",50
"V67",50
"V68",50
"V69",34
"V70",23
"V71",43
"V72",47
"V73",32
"V74",50
"V75",50
"V76",50
"V77",50
"V78",50
"V79",34
"V80",28
"V81",29
"V82",50
"V83",50
"V84",50
"V85",50
"V86",50
"V87",50
"V88",50
"V89",50
"V90",33
"V91",50
"V92",38
"V93",50
"V94",50
"V95",12
"V96",50
"V97",50
"V98",25
"V99",47
"V100",30
