"","x"
"1",1
"2",2
"3",3
"4",5
"5",6
"6",7
"7",8
"8",9
"9",10
"10",11
"11",12
"12",13
"13",14
"14",15
"15",16
"16",17
"17",18
"18",19
"19",20
"20",21
"21",22
"22",23
"23",24
"24",25
"25",32
"26",34
"27",35
"28",36
"29",37
"30",39
"31",40
"32",43
"33",45
"34",46
"35",48
"36",50
"37",54
"38",55
"39",56
"40",57
"41",58
"42",59
"43",60
"44",65
"45",66
"46",69
"47",70
"48",71
"49",72
"50",79
"51",80
"52",81
"53",82
"54",83
"55",85
"56",97
"57",98
"58",99
"59",100
"60",101
"61",102
"62",103
"63",104
"64",105
"65",106
"66",107
"67",108
"68",115
"69",116
"70",117
"71",118
"72",122
"73",123
"74",124
"75",131
"76",133
"77",135
"78",143
"79",144
"80",145
"81",146
"82",147
"83",148
"84",149
"85",151
"86",152
"87",153
"88",154
"89",155
"90",157
"91",158
"92",159
"93",160
"94",161
"95",162
"96",163
"97",165
"98",175
"99",176
"100",180
"101",181
"102",182
"103",183
"104",184
"105",185
"106",187
"107",188
"108",189
"109",190
"110",191
"111",192
"112",193
"113",194
"114",195
"115",196
"116",197
"117",201
"118",202
"119",205
"120",206
"121",207
"122",208
"123",209
"124",210
"125",211
"126",212
"127",213
"128",214
"129",217
"130",218
"131",219
"132",223
"133",224
"134",229
"135",230
"136",231
"137",232
"138",233
"139",238
"140",249
"141",250
"142",251
"143",252
"144",253
