"Mg","Zn","Y","Zr","Nd","Gd","solut_T","solut_time","homo_T","homo_time","extrusion_T","extrusion_ratio","A_T","A_time","UTS","YS","EL"
96.92,0,3.08,0,0,0,525,7,0,0,0,0,0,0,160,70,11
95.33,0,4.67,0,0,0,525,7,0,0,0,0,0,0,175,89,10
93.45,0,6.55,0,0,0,525,7,0,0,0,0,0,0,230,110,8
97,0,3,0,0,0,0,0,530,8,350,25,0,0,200,120,33
98.13,0,0,0,0,1.87,0,0,0,0,0,0,0,0,103.73,37.992,6.362
98.13,0,0,0,0,1.87,525,24,0,0,0,0,0,0,87.002,33.43,4.928
98.13,0,0,0,0,1.87,525,24,0,0,0,0,250,6,101.368,41.274,5.686
95.33,0,0,0,0,4.67,0,0,0,0,0,0,0,0,128.468,54.752,6.62
95.33,0,0,0,0,4.67,525,24,0,0,0,0,0,0,98.012,44.85,6.042
95.33,0,0,0,0,4.67,525,24,0,0,0,0,250,6,78.658,42.604,4.27
90.8,0,0,0,0,9.2,0,0,0,0,0,0,0,0,131.152,84.11,2.5
90.8,0,0,0,0,9.2,525,24,0,0,0,0,0,0,111.65,69.12,3.152
90.8,0,0,0,0,9.2,525,24,0,0,0,0,250,6,132.258,85.43,2.182
85.95,0,0,0,0,14.05,0,0,0,0,0,0,0,0,175.22,127.646,3.95
85.95,0,0,0,0,14.05,525,24,0,0,0,0,0,0,186.844,118.052,2.44
85.95,0,0,0,0,14.05,525,24,0,0,0,0,250,6,250.918,201.396,2.74
96.89,0,0,0,0,3.11,535,1.5,0,0,0,0,0,0,160,60,13
94.27,0,0,0,0,5.73,535,4,0,0,0,0,0,0,180,80,11
90.72,0,0,0,0,9.28,535,6.5,0,0,0,0,0,0,190,100,9
85.8,0,0,0,0,14.2,535,9,0,0,0,0,0,0,225,130,8
80.4,0,0,0,0,19.6,540,9.5,0,0,0,0,0,0,255,150,7.5
80,0,0,0,0,20,0,0,0,0,0,0,0,0,254,254,13
98.8,0,0,0,1.2,0,0,0,0,0,0,0,0,0,123,95,4.61
98.15,0,0,0,1.85,0,0,0,0,0,0,0,0,0,155.8,121.2,2.76
96.41,0,0,0,3.59,0,0,0,0,0,0,0,0,0,153.6,141.2,1.08
98,0,0,0,2,0,0,0,0,0,380,16,0,0,193,77,30
