"","V1"
"V1",10
"V2",2
"V3",12
"V4",12
"V5",9
"V6",15
"V7",13
"V8",16
"V9",12
"V10",8
"V11",11
"V12",10
"V13",18
"V14",6
"V15",17
"V16",11
"V17",7
"V18",27
"V19",16
"V20",9
"V21",23
"V22",7
"V23",17
"V24",12
"V25",17
"V26",11
"V27",13
"V28",11
"V29",12
"V30",10
"V31",13
"V32",20
"V33",2
"V34",19
"V35",1
"V36",14
"V37",2
"V38",13
"V39",23
"V40",13
"V41",20
"V42",11
"V43",13
"V44",15
"V45",14
"V46",9
"V47",13
"V48",10
"V49",15
"V50",14
"V51",11
"V52",19
"V53",10
"V54",3
"V55",17
"V56",19
"V57",17
"V58",9
"V59",22
"V60",7
"V61",2
"V62",4
"V63",16
"V64",23
"V65",16
"V66",23
"V67",9
"V68",20
"V69",21
"V70",11
"V71",16
"V72",20
"V73",14
"V74",30
"V75",18
"V76",20
"V77",24
"V78",23
"V79",20
"V80",16
"V81",12
"V82",16
"V83",12
"V84",7
"V85",6
"V86",22
"V87",37
"V88",14
"V89",19
"V90",9
"V91",13
"V92",22
"V93",3
"V94",8
"V95",11
"V96",13
"V97",20
"V98",19
"V99",27
"V100",9
