"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",11249.615704919,11065.8381474432,11045.8840392308,10303.2468850722,10982.769090866,10980.717538207,10983.6322145744,10879.8689174078,10882.0904213912,10995.4493267681,11087.4200955819,10826.7212271013,10896.0675240643,10967.3031716723,10735.1861138021,10840.9818462254,11110.5567145223,10832.8272014641,11050.8725250743,11098.7584393066,10813.1046300049,10002.018201947,11080.1514389966,10814.6955799492,11181.807945101,11045.3401398385,10073.7967194175,11058.1529216606,10367.3595389418,11277.5344911915,10655.2659209673,10710.4310703264,10791.8620209798,10731.6500296051,10770.2517660724,11270.9694860648,10795.2593093219,10761.9974596398,10778.5584330388,10892.7614911718,10941.5720911953,10932.9812673196,10854.9084992169,10530.898373038,10957.1449563944,11077.4829744454,10616.6640919527,10948.4395889541,10771.8339430518,9658.02223130388,10850.7801939756,10525.6471368346,11288.1058052659,11111.4961759425,11007.4844175669,10684.5705475681,11101.4288728722,11258.4914383537,10905.8325228265,11019.4532082324,10831.2538940321,10860.0156473182,10724.1615942434,10427.9070693319,10928.1702219129,11006.7758797247,11262.5982202553,10382.6587614002,11132.7292667635,10852.1332838501,11004.6528675762,10827.0905587459,11218.3043139038,10892.7815951018,10922.7186142993,10478.5477298283,10509.8527228766,11054.4561823219,11020.7713156818,9182.72044396135,10822.0733625125,11053.9093493992,11418.1169116817,11195.9175661142,11321.8253094688,10613.8591290634,11126.5597129162,10544.5373777812,10795.6858052159,11185.1800907877,11045.4152839837,10628.1125792353,10798.3565897136,10903.5585400682,10633.441478807,10954.4395051954,10997.6829006797,10552.3981564836,10713.1119569258,9756.5141931522
"2",11321.0240281674,11065.8381474432,11045.8840392308,10303.2468850722,11006.2150329491,10980.717538207,10983.6322145744,10892.905585294,10882.0904213912,11164.2322160717,11043.1955048292,10864.8048763149,10896.0675240643,11307.92068705,10735.1861138021,10840.9818462254,11110.5567145223,10843.74582116,11050.8725250743,11098.7584393066,10813.1046300049,10618.2660810958,11080.1514389966,10856.6778507261,11181.807945101,11045.3401398385,10937.3965739439,11117.5834536977,10429.3076376292,11277.5344911915,10771.8030766358,10941.0619618872,10926.578548672,10944.8802401492,11030.9011602264,11270.9694860648,10879.1275065475,10761.9974596398,10778.5584330388,10966.2587767546,10941.5720911953,10932.9812673196,10854.9084992169,10612.7434075441,10957.1449563944,11077.4829744454,10616.6640919527,10948.4395889541,10795.6630530052,9804.67804120013,10850.7801939756,10607.9168757393,11186.6868164755,11111.4961759425,11007.4844175669,10926.0634816798,11101.4288728722,11258.4914383537,10935.9406352875,11086.3796817629,10758.5265149895,10650.2776896942,10878.4042526221,10566.569489518,10928.1702219129,11006.7758797247,11262.5982202553,10670.8069518816,11132.7292667635,10852.1332838501,11004.6528675762,10827.0905587459,11316.7123619568,11161.5131109692,10926.07447677,10459.1905314586,10657.7025817623,10994.1681474476,11020.7713156818,9988.10363307743,10822.0733625125,11039.9778637895,11418.1169116817,11195.9175661142,11321.8253094688,10737.5153641031,11191.1228660609,10680.7133020667,10569.6910910294,11202.3457059365,11045.4152839837,10628.1125792353,10798.3565897136,11051.2375488542,10772.6792929199,11045.4705833493,11107.1513896436,10774.105887176,10795.4607067414,10753.8799177351
"3",11321.0240281674,11274.3112121859,11045.8840392308,10629.2702226307,11006.2150329491,11230.2643156532,10983.6322145744,10892.905585294,11353.7684387048,11164.2322160717,11058.5238320654,10864.8048763149,10896.0675240643,11483.6710577712,10853.9123542051,10846.3320180264,11146.5338383397,10843.74582116,11050.8725250743,11111.2047638226,10827.829996641,10618.2660810958,11080.1514389966,10856.6778507261,11364.2993338811,11045.3401398385,11029.8743929517,11359.7110446989,10639.3952567641,11277.5344911915,10771.8030766358,11075.1424250586,11162.5034253111,11003.6969609616,11030.9011602264,11213.6064216956,11213.9383555478,10847.1764757013,11158.546848867,10966.2587767546,10941.5720911953,10932.9812673196,10854.9084992169,10670.4873492872,11002.6206692812,11265.4462961394,10718.4101553831,11060.5524197932,11081.3900036253,10025.0171410254,11018.1579050613,10728.2377596384,11242.9015096926,11183.3487997364,11016.969977703,11010.9250684212,11101.4288728722,11280.4463172021,10957.5943040756,11086.3796817629,10983.6362177035,11099.3718545403,10878.4042526221,10680.2668928023,10928.1702219129,11006.7758797247,11259.0429318101,10882.317448747,11021.7834302338,10986.4261218337,11020.5551787741,10827.0905587459,11316.7123619568,11148.319553678,10960.2396271966,10607.6766305328,10709.6004793287,10994.1681474476,11020.7713156818,10358.7818340648,10982.050915067,11039.9778637895,11418.1169116817,11304.090696394,11258.4914383537,10737.5153641031,11191.1228660609,10680.7133020667,10747.7872184437,11202.3457059365,11129.7620611983,10746.3904150221,10798.3565897136,11207.4467694991,10897.1826659906,11045.4705833493,11123.7964159431,10774.105887176,11177.2751020778,11283.7947383342
"4",11530.9530039651,11274.3112121859,11129.7620611983,11078.8523501755,11006.2150329491,11230.2643156532,11030.6859037001,11334.8313887172,11353.7684387048,11164.2322160717,11058.5238320654,10864.8048763149,10896.0675240643,11483.6710577712,10889.9976841624,11411.2584582446,11199.0261832719,10802.4676805847,11050.8725250743,11547.7695880181,10827.829996641,10736.5217411002,11108.8299517856,10856.6778507261,11364.2993338811,11045.3401398385,11219.9852690088,11359.7110446989,10872.4774212515,11277.5344911915,10986.7444686044,11188.8052197581,11162.5034253111,11101.9605393625,11030.9011602264,11249.9282112469,11213.9383555478,10847.1764757013,11158.546848867,10966.2587767546,10941.5720911953,11054.7457385185,10854.9084992169,11048.9594421772,11002.6206692812,11316.7123619568,11353.7684387048,11320.7036525258,11081.3900036253,10289.1666167237,11018.1579050613,10788.2757228067,11309.7934534626,11213.9383555478,11016.969977703,11010.9250684212,11101.4288728722,11280.4463172021,10957.5943040756,11201.401024406,10983.6362177035,11437.303604802,10878.4042526221,10680.2668928023,10928.1702219129,11006.7758797247,11266.7341353761,10882.317448747,11021.7834302338,11346.4852755135,11020.5551787741,10963.1982426597,11316.7123619568,11201.7002087428,10960.2396271966,10615.3324123292,10789.5433637831,11109.443375651,11020.7713156818,10517.9370093831,11277.6695858186,11039.9778637895,11547.7695880181,11304.090696394,11258.4914383537,10862.5909253116,11161.0062705799,10867.6262384225,10747.7872184437,11202.3457059365,11182.4428664003,10766.9270674045,10596.7083792654,11335.6436407885,10920.8085503777,11359.7110446989,11123.7964159431,10774.105887176,11177.2751020778,11367.5193951959
"5",11530.9530039651,11274.3112121859,11129.7620611983,11477.2039684018,11552.6735935592,11230.2643156532,11085.2546681269,11334.8313887172,11010.2872926807,11164.2322160717,11058.5238320654,11549.2296894603,10896.0675240643,11483.6710577712,11204.4755634357,11411.2584582446,11483.6710577712,10802.4676805847,11052.4065071034,11547.7695880181,10827.829996641,10848.8033256642,11181.8901522925,10856.6778507261,11402.6630543839,11045.3401398385,11219.9852690088,11359.7110446989,11260.0931047047,11266.2868771894,10986.7444686044,11212.9371127481,11162.5034253111,11101.9605393625,11030.9011602264,11402.6630543839,11213.9383555478,11332.9602948039,11158.546848867,10982.2318720856,10941.5720911953,11285.3604997894,10854.9084992169,11048.9594421772,11067.4095096379,11316.7123619568,11353.7684387048,11320.7036525258,11081.3900036253,11251.0986530551,11032.5288565011,10788.2757228067,11336.0617589411,11213.9383555478,11016.969977703,11076.4819667631,11101.4288728722,11395.2592008033,10970.6054087811,11552.6735935592,10983.6362177035,11504.9920763654,10878.4042526221,10775.1441916812,10928.1702219129,11181.4740391073,11266.7341353761,10882.317448747,11111.5450219989,11346.4852755135,11028.3142698806,10987.3746880303,11316.7123619568,11201.7002087428,10960.2396271966,10615.3324123292,10789.5433637831,11109.443375651,11020.7713156818,10637.7523381407,11277.6695858186,11039.9778637895,11547.7695880181,11304.090696394,11294.1980045443,10862.5909253116,11161.0062705799,11549.2296894603,11402.4745675881,11202.3457059365,11182.4428664003,10766.9270674045,10596.7083792654,11482.3519105924,11126.2491130963,11359.7110446989,11123.7964159431,10774.105887176,11177.2751020778,11547.7695880181
"6",11547.7695880181,11274.3112121859,11164.0340450917,11359.7110446989,11552.6735935592,11230.2643156532,11114.1582555277,11334.8313887172,11482.3519105924,11552.6735935592,11028.1744630778,11549.2296894603,11091.1446859031,11497.2387217956,11246.0480328482,11411.2584582446,11483.6710577712,10928.8544455973,11064.6478287053,11547.7695880181,10830.4353340975,10819.8264131827,11192.6348396688,10856.6778507261,11402.6630543839,11045.3401398385,11219.9852690088,11530.9530039651,11260.0931047047,11266.2868771894,10986.7444686044,11219.9852690088,11162.5034253111,11101.9605393625,11030.9011602264,11402.6630543839,11213.9383555478,11332.9602948039,11158.546848867,10982.2318720856,11015.9725576588,11285.3604997894,10897.390377603,11048.9594421772,11040.6953174941,11316.7123619568,11353.7684387048,11320.7036525258,11081.3900036253,11251.0986530551,11141.4954800897,10788.2757228067,11552.6735935592,11213.9383555478,11099.490862465,11076.4819667631,11107.6709456889,11552.6735935592,10970.6054087811,11552.6735935592,10983.6362177035,11504.9920763654,10901.1207908967,10789.9098561064,10928.1702219129,11342.2260000422,11266.7341353761,10947.5467528707,11111.5450219989,11467.8117302112,11028.3142698806,10987.3746880303,11316.7123619568,11244.9881248927,10960.2396271966,10618.3648515484,10631.9011932787,11167.345148227,11002.2018932553,10829.7229075769,11277.6695858186,11039.9778637895,11547.7695880181,11304.090696394,11294.1980045443,10805.5554593226,11161.0062705799,11549.2296894603,11402.4745675881,11202.3457059365,11217.5742607474,10766.9270674045,10596.7083792654,11482.3519105924,11181.8668979187,11359.7110446989,11123.7964159431,10774.105887176,11177.2751020778,11547.7695880181
"7",11547.7695880181,11274.3112121859,11164.0340450917,11530.9530039651,11552.6735935592,11425.8237731562,11192.6348396688,11334.8313887172,11482.3519105924,11552.6735935592,11028.1744630778,11549.2296894603,11091.1446859031,11502.6052558288,11335.8096246133,11411.2584582446,11483.6710577712,10928.8544455973,11064.6478287053,11547.7695880181,10859.0550455459,10974.3540590948,11005.7632365097,10856.6778507261,11409.6265492674,11035.4274003787,11219.9852690088,11547.7695880181,11260.0931047047,11266.2868771894,10986.7444686044,11219.9852690088,11162.5034253111,11101.9605393625,11030.9011602264,11367.5390269911,11213.9383555478,11332.9602948039,11158.546848867,11030.2279944078,11105.5507238015,11547.7695880181,11185.0482038568,11048.9594421772,11071.9634178929,11316.7123619568,10846.6070266725,11547.7695880181,10873.9726200706,11251.0986530551,11230.8880258033,10788.2757228067,11552.6735935592,11213.9383555478,11250.9473040546,11089.5309132523,11107.6709456889,11552.6735935592,10970.6054087811,11552.6735935592,10983.6362177035,11504.9920763654,10901.1207908967,10789.9098561064,10943.2301311391,11342.2260000422,11308.4573090163,10952.1782224784,11123.3589466054,11547.7695880181,11028.3142698806,10996.3806462363,11316.7123619568,11244.9881248927,11055.1416703285,10618.3648515484,10704.5875238204,11167.345148227,11002.2018932553,11062.8050720643,11277.6695858186,11175.3766852028,11547.7695880181,11304.090696394,11434.2411406647,10805.5554593226,11161.0062705799,11549.2296894603,11407.3205227414,11202.3457059365,11277.6695858186,10766.9270674045,10596.7083792654,11482.3519105924,11301.0824768388,11530.9530039651,11057.0296520807,10774.105887176,11177.2751020778,11547.7695880181
"8",11547.7695880181,11274.3112121859,11285.3604997894,11547.7695880181,11552.6735935592,11425.8237731562,11267.0476543343,10923.2825082711,11482.3519105924,11552.6735935592,11136.3475933576,11549.2296894603,11091.1446859031,11502.6052558288,11437.2017153625,10768.7931973475,11489.3890963928,11264.3398007753,11064.6478287053,11547.7695880181,11549.2296894603,11504.9920763654,11005.7632365097,11549.2296894603,11530.9530039651,11150.24028398,11219.9852690088,11547.7695880181,11409.6265492674,11266.2868771894,10986.7444686044,11219.9852690088,11162.5034253111,11219.9852690088,11030.9011602264,11367.5390269911,11213.9383555478,10947.8313460886,11167.4442168485,11145.0408780091,11113.846582923,11547.7695880181,11185.0482038568,11048.9594421772,11547.7695880181,11316.7123619568,11482.3519105924,11547.7695880181,10988.7855036719,10303.198744048,11246.7219372867,10788.2757228067,11552.6735935592,11213.9383555478,11250.9473040546,11089.5309132523,11194.5134544917,11552.6735935592,10970.6054087811,11556.6928994046,10983.6362177035,11504.9920763654,10901.1207908967,10789.9098561064,10943.2301311391,11342.2260000422,11324.8223425093,10827.7716325325,11212.9371127481,11547.7695880181,11028.3142698806,10996.3806462363,11316.7123619568,11244.9881248927,11073.2904982602,10618.7173626276,10704.5875238204,11167.345148227,11002.2018932553,11245.2677114671,11277.6695858186,11263.6815397329,11547.7695880181,11314.2297181337,11434.2411406647,10805.5554593226,11161.0062705799,11552.3705236276,11407.3205227414,11202.3457059365,11277.6695858186,10766.9270674045,10596.7083792654,11482.3519105924,11402.4745675881,11547.7695880181,11151.486244837,10810.5402239415,11177.2751020778,11547.7695880181
"9",11547.7695880181,11274.3112121859,11547.7695880181,11547.7695880181,11583.2070452325,11061.509945293,11388.374109032,11006.2150329491,11482.3519105924,11556.6928994046,11136.3475933576,11549.2296894603,10942.7081042809,11502.6052558288,11437.2017153625,10798.4225692288,11489.3890963928,11264.3398007753,10838.7843133313,11547.7695880181,11549.2296894603,11504.9920763654,11169.7418691159,11549.2296894603,11530.9530039651,11552.6735935592,11219.9852690088,11547.7695880181,11530.9530039651,11280.9905612023,10775.2389772911,11219.9852690088,11162.5034253111,11219.9852690088,11030.9011602264,11482.3519105924,11213.9383555478,11467.8117302112,11167.4442168485,11145.0408780091,11113.846582923,11547.7695880181,11202.3457059365,10662.6034590939,11547.7695880181,11566.2412575837,11482.3519105924,11547.7695880181,10988.7855036719,10303.198744048,11260.2896013112,11475.3030490014,11552.6735935592,11213.9383555478,11250.9473040546,11103.5559791956,11194.5134544917,11566.2412575837,10980.5069509381,11556.6928994046,10983.6362177035,11504.9920763654,10930.944407863,10789.9098561064,10943.2301311391,11342.2260000422,11324.8223425093,10827.7716325325,11212.9371127481,11547.7695880181,11066.4839205751,10996.3806462363,11316.7123619568,11244.9881248927,11166.2042674631,10631.1863663767,10704.5875238204,11167.345148227,11032.0255102215,11245.2677114671,11552.6735935592,11263.6815397329,11547.7695880181,11314.2297181337,11434.2411406647,10805.5554593226,11161.0062705799,11552.3705236276,11407.3205227414,11215.913369961,11552.6735935592,10655.2888295478,10596.7083792654,11511.3137403208,11402.4745675881,11547.7695880181,11151.486244837,10822.4318318953,11177.2751020778,11547.7695880181
"10",11547.7695880181,11274.3112121859,11547.7695880181,11547.7695880181,11586.4746660197,11547.7695880181,11547.7695880181,11552.6735935592,11482.3519105924,11556.6928994046,11136.3475933576,11549.2296894603,11194.5134544917,11502.6052558288,11437.2017153625,11549.2296894603,11489.3890963928,11264.3398007753,10838.7843133313,11576.7314177465,11549.2296894603,11504.9920763654,11169.7418691159,11549.2296894603,11547.7695880181,11552.6735935592,11219.9852690088,11547.7695880181,11547.7695880181,11294.5582252268,11083.9089289916,11219.9852690088,11162.5034253111,11219.9852690088,11030.9011602264,11482.3519105924,11213.9383555478,11547.7695880181,11167.4442168485,11552.6735935592,11113.846582923,11547.7695880181,11202.3457059365,10741.080043235,11547.7695880181,11569.9090588407,11482.3519105924,11547.7695880181,11552.6735935592,10332.8281159292,11260.2896013112,11479.3028233165,11566.2412575837,11213.9383555478,11250.9473040546,11103.5559791956,11425.8237731562,11569.9090588407,10980.5069509381,11556.6928994046,10983.6362177035,11504.9920763654,10959.7505557209,10976.821389795,10921.8419643791,11342.2260000422,11334.4509840672,10955.759116621,11219.9852690088,11547.7695880181,11079.6219793138,10996.3806462363,11316.7123619568,11244.9881248927,11384.165338858,10697.1939467686,10959.2288870766,11167.345148227,11056.9501188423,11245.2677114671,11552.6735935592,11263.6815397329,11547.7695880181,11314.2297181337,11434.2411406647,10888.8280932521,11161.0062705799,11552.3705236276,11407.3205227414,11228.2056870901,11552.6735935592,10744.8669956905,10596.7083792654,11511.3137403208,11402.4745675881,11547.7695880181,11151.486244837,11411.2584582446,11177.2751020778,11576.7314177465
