"","V1"
"V1",12
"V2",7
"V3",12
"V4",21
"V5",13
"V6",16
"V7",11
"V8",19
"V9",12
"V10",8
"V11",10
"V12",16
"V13",17
"V14",8
"V15",8
"V16",13
"V17",7
"V18",26
"V19",14
"V20",11
"V21",10
"V22",7
"V23",12
"V24",18
"V25",17
"V26",14
"V27",2
"V28",10
"V29",10
"V30",10
"V31",13
"V32",1
"V33",2
"V34",6
"V35",2
"V36",16
"V37",1
"V38",14
"V39",21
"V40",11
"V41",6
"V42",15
"V43",10
"V44",22
"V45",13
"V46",9
"V47",14
"V48",12
"V49",21
"V50",20
"V51",3
"V52",9
"V53",12
"V54",6
"V55",14
"V56",18
"V57",17
"V58",9
"V59",23
"V60",9
"V61",5
"V62",5
"V63",8
"V64",11
"V65",11
"V66",23
"V67",7
"V68",17
"V69",10
"V70",9
"V71",19
"V72",8
"V73",11
"V74",31
"V75",18
"V76",21
"V77",11
"V78",20
"V79",8
"V80",17
"V81",8
"V82",15
"V83",14
"V84",9
"V85",6
"V86",17
"V87",40
"V88",9
"V89",4
"V90",11
"V91",14
"V92",19
"V93",2
"V94",7
"V95",14
"V96",12
"V97",13
"V98",19
"V99",15
"V100",8
