"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",11249.615704919,11065.8381474432,11045.8840392308,10303.2468850722,10982.769090866,10980.717538207,10983.6322145744,10879.8689174078,10882.0904213912,10995.4493267681,11087.4200955819,10826.7212271013,10896.0675240643,10967.3031716723,10735.1861138021,10840.9818462254,11110.5567145223,10832.8272014641,11050.8725250743,11098.7584393066,10813.1046300049,10002.018201947,11080.1514389966,10814.6955799492,11181.807945101,11045.3401398385,10073.7967194175,11058.1529216606,10367.3595389418,11277.5344911915,10655.2659209673,10710.4310703264,10791.8620209798,10731.6500296051,10770.2517660724,11270.9694860648,10795.2593093219,10761.9974596398,10778.5584330388,10892.7614911718,10941.5720911953,10932.9812673196,10854.9084992169,10530.898373038,10957.1449563944,11077.4829744454,10616.6640919527,10948.4395889541,10771.8339430518,9658.02223130388,10850.7801939756,10525.6471368346,11288.1058052659,11111.4961759425,11007.4844175669,10684.5705475681,11101.4288728722,11258.4914383537,10905.8325228265,11019.4532082324,10831.2538940321,10860.0156473182,10724.1615942434,10427.9070693319,10928.1702219129,11006.7758797247,11262.5982202553,10382.6587614002,11132.7292667635,10852.1332838501,11004.6528675762,10827.0905587459,11218.3043139038,10892.7815951018,10922.7186142993,10478.5477298283,10509.8527228766,11054.4561823219,11020.7713156818,9182.72044396135,10822.0733625125,11053.9093493992,11418.1169116817,11195.9175661142,11321.8253094688,10613.8591290634,11126.5597129162,10544.5373777812,10795.6858052159,11185.1800907877,11045.4152839837,10628.1125792353,10798.3565897136,10903.5585400682,10633.441478807,10954.4395051954,10997.6829006797,10552.3981564836,10713.1119569258,9756.5141931522
"2",11321.0240281674,11083.815011216,11045.8840392308,10303.2468850722,11017.1922853961,10980.717538207,11125.4600646385,10892.905585294,10882.0904213912,10995.4493267681,11043.1955048292,10896.8627333168,10896.0675240643,11307.92068705,10735.1861138021,10840.9818462254,11146.5338383397,10821.6619047115,11050.8725250743,11098.7584393066,10813.1046300049,10002.018201947,11080.1514389966,10886.0263647442,11181.807945101,11045.3401398385,10368.9400838462,10961.7039678246,11063.9086559357,11277.5344911915,10771.8030766358,10507.5567311153,10926.578548672,10944.8802401492,11203.5004414241,11270.9694860648,10983.6362177035,10847.1764757013,10778.5584330388,10916.2242916938,11273.2230827564,11054.7457385185,10854.9084992169,10713.6719544848,10957.1449563944,11265.4462961394,10771.0564905887,10948.4395889541,10751.1198786164,10433.4516205848,10908.9681548827,10655.0954330957,11186.6868164755,11183.3487997364,11126.6212236634,11076.4819667631,11101.4288728722,11280.4463172021,10875.4457656876,11086.3796817629,10747.4476380933,10860.0156473182,10878.4042526221,10900.7021266628,10928.1702219129,11006.7758797247,11262.5982202553,10882.317448747,10643.6851255982,10986.4261218337,11020.5551787741,10827.0905587459,11235.6656812599,11181.2599915303,10960.2396271966,10607.6766305328,10601.4823608016,10830.9642874861,11020.7713156818,10358.7818340648,11042.9710832316,11053.9093493992,11418.1169116817,11304.090696394,11321.8253094688,10680.2832013743,11155.5952429638,10956.3059819977,10569.6910910294,11212.4407356395,11045.4152839837,10399.2204427005,10798.3565897136,11051.2375488542,10897.1826659906,10832.8657043312,11033.6269668534,10577.1887436123,10713.1119569258,10753.8799177351
"3",11321.0240281674,11083.815011216,11129.7620611983,11078.8523501755,11017.1922853961,11262.5738131306,11125.4600646385,10892.905585294,10882.0904213912,10995.4493267681,11099.4920241444,11412.2033896311,10896.0675240643,11322.3409315429,10777.7640518123,10840.9818462254,11317.7757976059,10933.2923785116,11052.4065071034,11111.2047638226,10813.1046300049,10618.2660810958,11181.8901522925,11412.2033896311,11181.807945101,11045.3401398385,11327.4458775698,11409.6265492674,11292.3202963597,11383.0773958207,10771.8030766358,10507.5567311153,11162.5034253111,11016.86378877,11464.1498355781,10762.0085877018,10983.6362177035,10847.1764757013,11180.4899130784,10982.2318720856,11273.2230827564,11054.7457385185,10897.390377603,10713.6719544848,10988.3549846746,11265.4462961394,11275.2918545637,10948.4395889541,10871.6289895983,11119.1123010448,11032.5288565011,10957.0703953957,11242.9015096926,11229.983152901,11170.3527982068,11076.4819667631,11101.4288728722,11432.9567044168,10970.6054087811,11275.1930306649,11064.1844289129,10650.2776896942,10891.0370033123,11440.5383914392,10928.1702219129,11006.7758797247,11259.0429318101,11009.9349940123,11021.7834302338,10990.7107846925,11028.3142698806,10993.4529593723,11235.6656812599,11201.0545942313,10960.2396271966,10616.7241551411,10991.729633919,11017.946848028,11020.7713156818,10637.7523381407,11058.6185303778,11169.0377774435,11418.1169116817,11516.573861875,11527.6495093708,10680.2832013743,11162.7857432522,11417.5671013312,10990.7107846925,11417.1230604133,11129.7620611983,10399.2204427005,10486.693550336,11420.0516485172,11032.0111846893,11359.7110446989,11212.6755866397,10813.4235105731,10780.0276813945,11283.7947383342
"4",11321.0240281674,11299.629564529,11164.0340450917,11078.8523501755,11482.3519105924,11262.5738131306,11125.4600646385,10892.905585294,10882.0904213912,11043.4682485706,11432.9567044168,11481.2581854356,11147.6677460399,11516.573861875,10877.2154789686,11214.8405903283,11547.7695880181,11249.0727897757,11069.7824481494,11111.2047638226,10900.2502679532,10724.4641060757,11221.2488753398,11481.2581854356,11190.2767899568,11402.6630543839,11327.4458775698,11409.6265492674,11292.3202963597,11287.9475303231,10794.5057517524,10507.5567311153,11162.5034253111,11304.090696394,11464.1498355781,11050.8002703357,10983.6362177035,10847.1764757013,11180.4899130784,10982.2318720856,11437.2017153625,11054.7457385185,11027.5663765702,10718.3630998143,10696.4165525131,11316.7123619568,11275.2918545637,11098.0195364501,10871.6289895983,11119.1123010448,11088.5025461659,10989.7086977763,11221.2488753398,11229.983152901,11256.8613371379,11128.0482773375,11109.2962973432,11547.7695880181,10980.5069509381,11455.4432234872,11166.3711935501,11099.3718545403,10988.901326028,11452.4059959726,10928.1702219129,11185.732055926,11266.7341353761,11037.4243403542,11304.090696394,11477.2039684018,11028.3142698806,10368.8005212553,11481.2581854356,11202.0192302614,11070.6027864051,10616.7241551411,11140.9369796935,11224.8375739585,10955.558028093,11062.8050720643,11508.4432067248,11169.0377774435,11547.7695880181,11516.573861875,11527.6495093708,10770.2736325488,11162.7857432522,11547.7695880181,11427.4761746416,11482.3519105924,11182.4428664003,10262.7124130048,10486.693550336,11530.9530039651,11214.9365581826,11359.7110446989,11282.410186893,10966.6835355269,10891.1177659762,11547.7695880181
"5",11530.9530039651,11299.629564529,11409.6265492674,11078.8523501755,11482.3519105924,11262.5738131306,11420.0516485172,11334.8313887172,11359.7110446989,11043.4682485706,11432.9567044168,11481.2581854356,11147.6677460399,11516.573861875,11246.0480328482,11218.6131849282,11547.7695880181,11249.0727897757,10844.3703883846,11111.2047638226,10960.5371740946,11187.4136517829,11388.374109032,11547.7695880181,11292.3202963597,11402.6630543839,11327.4458775698,11409.6265492674,11292.3202963597,11287.9475303231,11045.3397269874,10507.5567311153,11162.5034253111,11552.6735935592,11464.1498355781,11050.8002703357,10983.6362177035,10858.0583682282,11180.4899130784,11030.2279944078,11437.2017153625,11286.0137100253,11027.5663765702,11249.5615650044,10882.1532138771,11316.7123619568,11275.2918545637,11264.2095262546,11384.165338858,11119.1123010448,11088.5025461659,11532.3660457946,11336.0617589411,11533.557824364,11342.2260000422,11128.0482773375,11109.2962973432,11547.7695880181,11031.4894895837,11455.4432234872,11473.3753945262,11437.303604802,10988.901326028,11460.8727624586,10728.7452597575,11185.732055926,11266.7341353761,11091.542633622,11483.6710577712,11477.2039684018,11087.7782942021,10996.3806462363,11547.7695880181,11202.0192302614,11070.6027864051,11119.7323428061,11359.763538617,11224.8375739585,11168.2306670273,11062.8050720643,11508.4432067248,11169.0377774435,11547.7695880181,11516.573861875,11530.4175396332,10791.2928874232,11250.7216457469,11547.7695880181,11511.9187479402,11482.3519105924,11164.0340450917,10890.2925379857,10486.693550336,11547.7695880181,11361.524415389,11359.7110446989,11239.8842285701,11162.7259524864,11261.3442940199,11547.7695880181
"6",11547.7695880181,11299.629564529,11409.6265492674,11078.8523501755,11547.7695880181,11402.6630543839,11477.2039684018,11334.8313887172,11530.9530039651,11088.3000474639,11547.7695880181,11547.7695880181,11147.6677460399,11516.573861875,11516.573861875,11402.6630543839,11547.7695880181,11249.0727897757,11359.7110446989,11564.4946287888,10995.0863066718,11437.303604802,11388.374109032,11547.7695880181,11420.0516485172,11402.6630543839,11327.4458775698,11530.9530039651,11420.0516485172,11482.540737839,11045.3397269874,10507.5567311153,11162.5034253111,11566.2412575837,11464.1498355781,11050.8002703357,10983.6362177035,10985.7897203857,11244.9881248927,11432.9567044168,11441.6441821217,11530.9530039651,11027.5663765702,11249.5615650044,11121.6582364225,11516.7666069918,11353.7684387048,11504.7269673641,11384.165338858,11119.1123010448,11088.5025461659,11433.7767303474,11516.7666069918,11533.557824364,11342.2260000422,11128.0482773375,11227.0572961111,11547.7695880181,11088.0068972949,11516.7666069918,11599.6908254558,11504.9920763654,10964.7906851868,11552.3705236276,11367.5193951959,11269.4697323678,11325.5749110359,11181.1827807974,11483.6710577712,11530.9530039651,11162.7259524864,11150.5362815694,11547.7695880181,11202.0192302614,11084.0825984105,11119.7323428061,11359.763538617,11282.4785335519,11168.2306670273,11260.0931047047,11508.4432067248,11175.3766852028,11547.7695880181,11516.573861875,11613.343815314,10974.0604274139,11250.7216457469,11547.7695880181,11511.9187479402,11482.3519105924,11409.6265492674,11063.075104369,10486.693550336,11547.7695880181,11432.9567044168,11530.9530039651,11417.5671013312,11162.7259524864,11261.3442940199,11596.7747092569
"7",11547.7695880181,11533.557824364,11409.6265492674,11078.8523501755,11547.7695880181,11402.6630543839,11530.9530039651,11334.8313887172,11530.9530039651,11556.726904661,11547.7695880181,11547.7695880181,10979.8790032977,11516.573861875,11516.573861875,11402.6630543839,11583.2070452325,11282.4785335519,11359.7110446989,11547.7695880181,11520.1300745218,11505.4433822578,11530.9530039651,11547.7695880181,11530.9530039651,11402.6630543839,11327.4458775698,11530.9530039651,11420.0516485172,11496.9673420113,11353.7684387048,10507.5567311153,11162.5034253111,11569.9090588407,11464.1498355781,11050.8002703357,10983.6362177035,11530.9530039651,11244.9881248927,11432.9567044168,11534.6980451829,11530.9530039651,11027.5663765702,11249.5615650044,11530.9530039651,11552.6735935592,11367.5390269911,11504.7269673641,11384.165338858,11119.1123010448,11088.5025461659,11433.7767303474,11552.6735935592,11599.6908254558,11342.2260000422,11128.0482773375,11364.2993338811,11547.7695880181,11088.0068972949,11579.3595154912,11599.6908254558,11504.9920763654,11145.0408780091,11552.3705236276,11367.5193951959,11269.4697323678,11356.547288547,11309.5594739256,11483.6710577712,11547.7695880181,11307.3107897048,11395.2592008033,11547.7695880181,11199.4007497199,11166.2042674631,10713.5256672217,11373.9109582522,11282.4785335519,11514.1306653121,11260.0931047047,11564.4946287888,11295.6234616209,11547.7695880181,11516.573861875,11611.2516764818,11256.7327915449,11250.7216457469,11547.7695880181,11511.9187479402,11547.7695880181,11409.6265492674,11378.3875326193,10486.693550336,11547.7695880181,11547.7695880181,11547.7695880181,11547.7695880181,11162.7259524864,11261.3442940199,11596.7747092569
"8",11547.7695880181,11599.6908254558,11481.2581854356,11078.8523501755,11547.7695880181,11402.6630543839,11564.4946287888,11334.8313887172,11547.7695880181,11556.726904661,11552.6735935592,11547.7695880181,10991.2095836589,11530.1415258995,11583.2070452325,11030.0786445955,11586.4746660197,11282.4785335519,11359.7110446989,11547.7695880181,11520.1300745218,11599.6908254558,11547.7695880181,11547.7695880181,11530.9530039651,11409.6265492674,11327.4458775698,11547.7695880181,11420.0516485172,11299.629564529,10923.3313957777,10507.5567311153,11162.5034253111,11569.9090588407,11464.1498355781,11050.8002703357,10983.6362177035,11530.9530039651,11244.9881248927,11432.9567044168,11534.6980451829,11547.7695880181,10917.841698936,11249.5615650044,11547.7695880181,11552.6735935592,11482.3519105924,11504.7269673641,11384.165338858,11122.7282866611,11088.5025461659,11447.8289015886,11552.6735935592,11599.6908254558,11425.8237731562,11174.6941718959,11315.8205455811,11583.2070452325,11159.4570006184,11552.6735935592,11599.6908254558,11504.9920763654,11516.7666069918,11552.3705236276,11482.540737839,11269.4697323678,11599.6908254558,11342.2260000422,11583.2070452325,11547.7695880181,11307.3107897048,11395.2592008033,11547.7695880181,11282.4785335519,11166.2042674631,11179.7967990998,11552.6735935592,11282.4785335519,11514.1306653121,11402.6630543839,11564.4946287888,11193.26270272,11547.7695880181,11516.573861875,11611.2516764818,11256.7327915449,11282.4785335519,11596.7747092569,11511.9187479402,11547.7695880181,11530.9530039651,11552.6735935592,10486.693550336,11576.7314177465,11547.7695880181,11547.7695880181,11547.7695880181,11162.7259524864,11261.3442940199,11596.7747092569
"9",11547.7695880181,11599.6908254558,11547.7695880181,11078.8523501755,11547.7695880181,11409.6265492674,11547.7695880181,11384.165338858,11547.7695880181,11611.2516764818,11552.6735935592,11547.7695880181,11008.0392169762,11534.6980451829,11586.4746660197,11530.9530039651,11586.4746660197,11282.4785335519,11530.9530039651,11547.7695880181,11520.1300745218,11599.6908254558,11547.7695880181,11547.7695880181,11530.9530039651,11530.9530039651,11327.4458775698,11547.7695880181,11530.9530039651,11533.557824364,11482.3519105924,10507.5567311153,11162.5034253111,11569.9090588407,11464.1498355781,11535.3087852345,10983.6362177035,11530.9530039651,11244.9881248927,11547.7695880181,11534.6980451829,11547.7695880181,11400.361428512,11249.5615650044,11547.7695880181,11552.6735935592,11482.3519105924,11547.7695880181,11384.165338858,11122.7282866611,11088.5025461659,11447.8289015886,11552.6735935592,11599.6908254558,11432.9567044168,11256.4341217396,11402.6630543839,11583.2070452325,11250.7216457469,11583.2070452325,11599.6908254558,11504.9920763654,11545.7284367203,11552.3705236276,11482.540737839,11342.2260000422,11599.6908254558,11221.9010195977,11583.2070452325,11547.7695880181,11307.3107897048,11424.2210305318,11547.7695880181,11282.4785335519,11342.2260000422,11230.2643156532,11552.6735935592,11282.4785335519,11556.6928994046,11402.6630543839,11576.7314177465,11193.26270272,11547.7695880181,11552.6735935592,11611.2516764818,11256.7327915449,11282.4785335519,11596.7747092569,11511.9187479402,11547.7695880181,11530.9530039651,11552.6735935592,10486.693550336,11576.7314177465,11547.7695880181,11547.7695880181,11547.7695880181,11168.8656438775,11261.3442940199,11599.6908254558
"10",11547.7695880181,11599.6908254558,11547.7695880181,11078.8523501755,11552.6735935592,11530.9530039651,11579.3595154912,10923.2825082711,11547.7695880181,11611.2516764818,11566.2412575837,11547.7695880181,11017.7611185916,11534.6980451829,11586.4746660197,11547.7695880181,11586.4746660197,11282.4785335519,11547.7695880181,11547.7695880181,11520.1300745218,11599.6908254558,11547.7695880181,11547.7695880181,11547.7695880181,11547.7695880181,11327.4458775698,11547.7695880181,11547.7695880181,11533.557824364,11482.3519105924,10507.5567311153,11162.5034253111,11569.9090588407,11464.1498355781,11530.9530039651,10983.6362177035,11547.7695880181,11216.7162720603,11547.7695880181,11534.6980451829,11547.7695880181,11400.361428512,11255.1161245657,11547.7695880181,11556.6928994046,11482.3519105924,11547.7695880181,11384.165338858,11179.2715424233,11088.5025461659,11599.6908254558,11552.6735935592,11599.6908254558,11547.7695880181,11256.4341217396,11409.6265492674,11586.4746660197,11250.7216457469,11586.4746660197,11599.6908254558,11504.9920763654,11545.7284367203,11552.3705236276,11547.7695880181,11342.2260000422,11599.6908254558,11425.8237731562,11596.7747092569,11576.7314177465,11310.6931864543,11424.2210305318,11547.7695880181,11282.4785335519,11342.2260000422,11262.4970434305,11552.6735935592,11262.5738131306,11556.6928994046,11402.6630543839,11576.7314177465,11320.9940548774,11547.7695880181,11556.6928994046,11611.2516764818,11017.7611185916,11282.4785335519,11599.6908254558,11511.9187479402,11547.7695880181,11530.9530039651,11552.6735935592,10486.693550336,11576.7314177465,11547.7695880181,11547.7695880181,11547.7695880181,11342.2260000422,11425.8237731562,11599.6908254558
