"","V1"
"V1",37
"V2",18
"V3",17
"V4",14
"V5",50
"V6",40
"V7",12
"V8",50
"V9",50
"V10",21
"V11",18
"V12",50
"V13",25
"V14",7
"V15",9
"V16",29
"V17",10
"V18",50
"V19",15
"V20",39
"V21",8
"V22",18
"V23",12
"V24",50
"V25",31
"V26",23
"V27",2
"V28",30
"V29",21
"V30",11
"V31",46
"V32",4
"V33",2
"V34",7
"V35",9
"V36",13
"V37",1
"V38",37
"V39",50
"V40",33
"V41",7
"V42",20
"V43",15
"V44",50
"V45",28
"V46",13
"V47",50
"V48",24
"V49",50
"V50",50
"V51",2
"V52",4
"V53",20
"V54",5
"V55",27
"V56",32
"V57",26
"V58",9
"V59",39
"V60",13
"V61",27
"V62",18
"V63",21
"V64",9
"V65",21
"V66",50
"V67",6
"V68",24
"V69",12
"V70",18
"V71",33
"V72",8
"V73",20
"V74",50
"V75",50
"V76",50
"V77",24
"V78",27
"V79",9
"V80",28
"V81",47
"V82",27
"V83",19
"V84",12
"V85",8
"V86",25
"V87",50
"V88",15
"V89",7
"V90",14
"V91",18
"V92",50
"V93",2
"V94",13
"V95",25
"V96",50
"V97",12
"V98",50
"V99",44
"V100",37
