"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",11249.615704919,11065.8381474432,11045.8840392308,10303.2468850722,10982.769090866,10980.717538207,10983.6322145744,10879.8689174078,10882.0904213912,10995.4493267681,11087.4200955819,10826.7212271013,10896.0675240643,10967.3031716723,10735.1861138021,10840.9818462254,11110.5567145223,10832.8272014641,11050.8725250743,11098.7584393066,10813.1046300049,10002.018201947,11080.1514389966,10814.6955799492,11181.807945101,11045.3401398385,10073.7967194175,11058.1529216606,10367.3595389418,11277.5344911915,10655.2659209673,10710.4310703264,10791.8620209798,10731.6500296051,10770.2517660724,11270.9694860648,10795.2593093219,10761.9974596398,10778.5584330388,10892.7614911718,10941.5720911953,10932.9812673196,10854.9084992169,10530.898373038,10957.1449563944,11077.4829744454,10616.6640919527,10948.4395889541,10771.8339430518,9658.02223130388,10850.7801939756,10525.6471368346,11288.1058052659,11111.4961759425,11007.4844175669,10684.5705475681,11101.4288728722,11258.4914383537,10905.8325228265,11019.4532082324,10831.2538940321,10860.0156473182,10724.1615942434,10427.9070693319,10928.1702219129,11006.7758797247,11262.5982202553,10382.6587614002,11132.7292667635,10852.1332838501,11004.6528675762,10827.0905587459,11218.3043139038,10892.7815951018,10922.7186142993,10478.5477298283,10509.8527228766,11054.4561823219,11020.7713156818,9182.72044396135,10822.0733625125,11053.9093493992,11418.1169116817,11195.9175661142,11321.8253094688,10613.8591290634,11126.5597129162,10544.5373777812,10795.6858052159,11185.1800907877,11045.4152839837,10628.1125792353,10798.3565897136,10903.5585400682,10633.441478807,10954.4395051954,10997.6829006797,10552.3981564836,10713.1119569258,9756.5141931522
"2",11249.615704919,11071.4548350191,11045.8840392308,10303.2468850722,11017.1922853961,10980.717538207,11019.1466396774,10879.8689174078,10882.0904213912,10995.4493267681,11087.4200955819,10896.8627333168,10896.0675240643,11024.8127022637,10735.1861138021,10840.9818462254,11114.3638316574,10854.9252518515,11050.8725250743,11098.7584393066,10813.1046300049,10002.018201947,11080.1514389966,10886.0263647442,11181.807945101,11045.3401398385,10368.9400838462,11058.1529216606,10439.7589989812,11277.5344911915,10688.5259775075,10838.2190521256,10841.4006548457,10804.2074891545,10777.6662794858,11270.9694860648,10851.9247274908,10769.5122411272,10778.5584330388,10916.2242916938,10994.6873788048,10932.9812673196,10854.9084992169,10549.2243217483,10957.1449563944,11125.5087342804,10631.5779182406,10948.4395889541,10802.0633187506,9735.98409616549,10850.7801939756,10548.4861949463,11288.1058052659,11131.4658847532,11014.6035162111,10708.562562615,11101.4288728722,11280.4463172021,10931.9758203282,11086.3796817629,10831.2538940321,10860.0156473182,10724.1615942434,10465.9566629353,10928.1702219129,11006.7758797247,11262.5982202553,10434.2799871458,11174.3385187835,10865.3203531748,11007.1480984385,10827.0905587459,11218.3043139038,10896.797597512,10928.8285046269,10516.2564228223,10601.4823608016,11056.8976939634,11020.7713156818,9551.89779029663,10872.7602773483,11053.9093493992,11418.1169116817,11202.8820312671,11321.8253094688,10672.3177126295,11126.5597129162,10571.8719071007,10846.5609942616,11212.4407356395,11045.4152839837,10677.2587988395,10798.3565897136,10928.7278172239,10642.0496669325,10954.4395051954,11033.6269668534,10552.3981564836,10713.1119569258,10085.5605258889
"3",11249.615704919,11071.4548350191,11064.5673367713,10390.9814167435,11022.6643584974,10982.0568273059,11023.9327873339,10879.8689174078,10887.1758938943,10995.4493267681,11132.6064178739,10903.4419949333,10896.0675240643,11039.2329467566,10750.8329038692,10840.9818462254,11123.851404784,10859.4031460912,11051.2550704487,11111.2047638226,10813.1046300049,10156.0567495798,11095.6301140289,10886.0263647442,11181.807945101,11082.0250449623,10392.4869539157,11059.007980397,10471.5339904653,11297.3355852008,10688.5259775075,10862.3509451156,10876.4131899511,10877.0167719596,10777.6662794858,11287.2437314452,10851.9247274908,10769.5122411272,10784.6688998884,10920.2871561843,10994.6873788048,10963.8542740157,10862.353112797,10563.0081821994,10963.5908334595,11125.5087342804,10631.8138704065,10948.4395889541,10806.0699221832,9735.98409616549,10932.9483303555,10684.5480341563,11303.9407978005,11178.1002379178,11014.9892977714,10728.575805131,11101.4288728722,11284.3153760057,10933.8236289312,11106.1393687889,10831.2538940321,10883.8134588052,10736.0940042015,10491.591357496,10928.1702219129,11006.7758797247,11262.5982202553,10437.3342725644,11174.3385187835,10869.6050160337,11007.1480984385,10847.2044698918,11235.6656812599,10909.9083178023,10928.8285046269,10523.9122046187,10632.0683318911,11064.0371486718,11020.7713156818,9609.99840853641,10917.6784122143,11053.9093493992,11418.1169116817,11227.017504294,11321.8253094688,10672.3177126295,11130.7705942579,10586.8768357074,10851.9853318425,11216.3243715628,11064.2029937832,10686.9698789511,10880.3674497007,10952.5032817541,10678.3347876581,10954.4395051954,11048.5010611743,10615.3765966912,10713.4490722483,10151.4001245295
"4",11249.615704919,11109.8787580251,11098.8393206647,10391.7807817453,11022.6643584974,10982.7729719155,11040.1734953455,10879.8689174078,10887.1758938943,11043.4682485706,11141.0661331792,10908.2950763636,10902.1398561675,11045.1181846347,10750.8329038692,10861.8611246562,11130.8967332085,10859.4031460912,11102.7315416277,11111.2047638226,10813.1046300049,10177.1719721442,11130.8721115021,10894.1826360745,11190.2767899568,11082.0250449623,10392.4869539157,11062.3711115814,10511.6635121031,11297.3355852008,10699.560373188,10899.2841494625,10876.4131899511,10894.6834469711,10777.6662794858,11289.1223718881,10851.9247274908,10769.5122411272,10784.9785002069,10920.2871561843,11000.5726166829,10972.5597240924,10911.6998563548,10564.6760763576,11000.4668545919,11137.8647830637,10631.8138704065,10976.9137677913,10810.5301546822,9742.95306204755,10932.9483303555,10712.3032823323,11304.9770403834,11178.1002379178,11018.7769197469,10728.575805131,11109.2962973432,11291.1511770048,10934.4553530464,11108.4816101275,10831.2538940321,10895.3174994387,10760.7379471432,10537.6799863561,10928.1702219129,11012.5993793627,11262.5982202553,10463.0313044694,11174.3385187835,10899.7232301744,11024.3149959508,10894.9467978833,11237.97848233,10912.830173599,10931.5815905435,10531.1144851814,10655.9806007502,11066.2056834838,11056.9046579359,9645.89889490316,10920.4113260273,11053.9093493992,11420.8702276728,11230.135236656,11349.9301577115,10710.1130616726,11131.7423754878,10591.705055034,10857.9906582131,11223.1765788811,11070.7671395404,10698.8677187743,10880.3674497007,10957.5887542572,10685.1608355216,10954.4395051954,11056.2909455262,10630.0830193715,10739.7152163158,10151.4001245295
"5",11249.615704919,11120.8862684513,11101.1521217348,10391.7807817453,11024.3239493317,10993.4754236175,11057.8668308136,10879.8689174078,10895.4731417544,11056.006256848,11143.5263550899,10908.2950763636,10910.2216944156,11046.5586239952,10833.7300970274,10870.4576381541,11132.9042719673,10865.5629167359,11105.1407333406,11145.3545832706,10856.7658949898,10189.2058136909,11140.3596846287,10900.7618976911,11193.7905906959,11082.0250449623,10392.4869539157,11062.3711115814,10511.6635121031,11297.3355852008,10701.7587605225,10904.7424346827,10876.4131899511,10908.3673811265,10794.5207865152,11289.1223718881,10851.9247274908,10780.3941336541,10802.7652841028,10968.2832785064,11005.8440324212,10972.5597240924,10911.6998563548,10564.6760763576,11012.7801817767,11144.5842312779,10631.8138704065,11005.33686014,10810.5301546822,9746.37089556254,10932.9483303555,10725.9154776154,11323.3193242532,11190.1732663782,11023.4173829746,10743.4647716736,11115.6881783436,11300.0730350179,10943.6327456586,11108.7285867432,10831.2538940321,10895.3174994387,10764.6441703236,10553.5636391833,10955.1051962884,11012.5993793627,11280.1010769409,10463.563850808,11210.2554289439,10899.7232301744,11027.1513276573,10953.0942488513,11237.97848233,10913.7948096291,10948.7552275687,10537.4677051741,10686.6266687778,11066.2056834838,11056.9046579359,9674.04813144741,10921.1978452859,11053.9093493992,11420.8702276728,11231.5756760165,11352.698187974,10713.9844406025,11131.7423754878,10591.705055034,10897.5355998334,11225.055219324,11098.4749776766,10699.1027660281,10880.3674497007,10965.8860021172,10712.2204419283,10958.1585008917,11075.7097031046,10630.1034509803,10746.6558842033,10166.6909854787
"6",11249.615704919,11120.8862684513,11101.1521217348,10391.7807817453,11055.8168615049,11008.4848173749,11066.2360072305,10879.8689174078,10895.4731417544,11058.9775753639,11143.5263550899,10908.2950763636,10911.8720973565,11050.2406403154,10846.1463959715,10882.3057608067,11137.9642500298,10878.2327344019,11105.1407333406,11147.7191771887,10896.9028092828,10190.0920537298,11147.7573084437,10904.6455336144,11193.7905906959,11082.0250449623,10392.4869539157,11063.0445287757,10525.6649012548,11297.3355852008,10703.6587250825,10904.7424346827,10876.4131899511,10911.5082152937,10794.5207865152,11291.5723342166,10851.9247274908,10787.8692059174,10802.7652841028,10978.5001633326,11007.2844717817,10972.5597240924,10935.627761827,10569.3672216871,11016.6346046939,11162.1402777872,10631.8138704065,11010.3659769242,10810.5301546822,9746.4789234553,10932.9483303555,10725.9154776154,11328.1232311436,11194.7955397933,11023.4173829746,10743.4647716736,11127.794796492,11304.0904226498,10944.4007241166,11119.4604350299,10833.8207939326,10895.3174994387,10771.3120414858,10561.5786937771,11003.8863347706,11012.5993793627,11311.073454452,10464.2585805634,11210.2554289439,10899.7232301744,11027.1513276573,10969.6114276906,11240.7317983212,10925.1483919461,10948.7552275687,10540.7876830864,10707.7987646901,11066.2056834838,11094.6982974866,9674.58067778606,10921.1978452859,11053.9093493992,11420.8702276728,11231.5756760165,11360.0182998683,10717.2913920729,11131.7877005042,10591.705055034,10897.5355998334,11225.055219324,11100.7877787467,10699.1027660281,10880.3674497007,10973.0189333779,10720.7616107964,10963.6915442286,11083.8742313302,10631.3320339688,10746.8424238916,10211.7753502499
"7",11268.9659421199,11120.8862684513,11101.1521217348,10428.211232463,11055.8168615049,11008.4848173749,11070.491789234,10879.8689174078,10895.4731417544,11061.4412561578,11143.5263550899,10912.178712287,10922.94216634,11064.9319407646,10849.0853850416,10882.3057608067,11152.9802886922,10881.4752913558,11115.6240615734,11151.7365648205,10931.45194186,10196.3542896662,11147.7573084437,10904.6455336144,11200.4161741945,11082.0250449623,10392.4869539157,11063.0445287757,10528.0195431207,11311.3200001254,10745.8994373435,10904.7424346827,10876.4131899511,10932.9654090621,10794.5207865152,11291.5723342166,10851.9247274908,10797.1542043861,10805.9804005315,10981.5961128649,11010.966488102,11003.8037088226,10949.6310419937,10592.276129345,11044.1884597087,11163.1813835256,10637.0777787435,11010.3659769242,10811.6379708813,9746.4789234553,10932.9483303555,10725.9154776154,11328.1232311436,11194.7955397933,11027.8748174532,10743.4647716736,11135.4076568538,11307.0927026177,10948.3139359855,11123.7162170334,10833.8207939326,10895.3174994387,10771.3500798498,10568.877901049,11011.426109614,11015.5815767204,11315.6957278671,10469.4586427766,11216.1406668219,10899.7232301744,11027.6681028864,10975.8895165958,11240.7317983212,10925.1483919461,10948.7552275687,10587.2280387358,10717.2528289277,11070.1112492291,11121.2455761641,9677.66466500832,10921.6491907868,11053.9093493992,11420.8702276728,11231.5756760165,11360.0182998683,10748.4088305636,11131.7877005042,10591.705055034,10901.791381837,11225.055219324,11100.7877787467,10711.6446570689,10880.3674497007,10980.7172926054,10743.1932657531,10963.6915442286,11091.5812959268,10631.3320339688,10748.0719430023,10221.2294144876
"8",11272.9058549317,11129.0656787688,11111.0077459183,10436.9667516333,11060.0726435084,11017.7611185916,11085.6570848283,10893.0403259228,10902.606073015,11061.4900694002,11160.4312331879,10912.178712287,10938.8275084928,11068.1995615518,10849.0853850416,10895.5067802285,11158.5613301438,10881.4752913558,11115.6240615734,11151.7365648205,10943.9899501373,10197.7638761108,11161.0258247191,10904.6455336144,11206.7579976388,11088.2026278811,10392.4869539157,11065.5679731384,10528.0195431207,11320.623222048,10754.1966852036,10904.7424346827,10876.4131899511,10935.8815252609,10804.4717385228,11304.0350640179,10851.9247274908,10797.1542043861,10808.1391378795,11003.3567102859,11014.2341088892,11003.8037088226,10949.6310419937,10603.3401821031,11044.1884597087,11163.1813835256,10645.3750266035,11010.3659769242,10811.6379708813,9746.4789234553,10932.9483303555,10725.9154776154,11328.9148236309,11194.7955397933,11040.275782088,10743.4647716736,11140.0426172898,11310.774718938,10948.3139359855,11127.7336046653,10869.5169425299,10895.3174994387,10771.4581077426,10577.1301385406,11014.3556981432,11016.3494972229,11315.6957278671,10473.6226741051,11217.5811061824,10909.149957654,11028.0110732435,10984.9811606341,11240.7317983212,10925.2564198388,10950.336296986,10592.6482024959,10735.5735410201,11070.1112492291,11127.4916993678,9677.66466500832,10928.5371298725,11053.9093493992,11421.4648435631,11231.5756760165,11360.4873263069,10748.4088305636,11131.7877005042,10591.705055034,10908.873320735,11240.7326253904,11108.0762051371,10713.4015409328,10880.3674497007,10998.3221056821,10752.1901712291,10969.267963592,11094.8844222684,10639.4609122268,10762.2635229269,10328.1755716106
"9",11272.9058549317,11129.0656787688,11112.093136266,10441.2225336368,11060.0726435084,11027.2153825205,11089.6744724602,10893.0403259228,10902.606073015,11061.4900694002,11160.4312331879,10912.178712287,10938.8275084928,11068.1995615518,10863.3550732184,10898.4960254368,11162.2433464641,10881.4752913558,11115.6240615734,11151.7365648205,10948.9572802332,10206.1018947484,11165.0432123509,10904.6455336144,11212.6812438106,11088.2026278811,10392.4869539157,11065.5679731384,10528.0195431207,11321.9263027349,10761.3296164642,10904.7424346827,10876.4131899511,10935.8815252609,10821.2584718793,11304.0350640179,10851.9247274908,10797.1542043861,10815.2227019512,11003.3567102859,11014.2341088892,11008.9325624019,10950.9830498412,10626.9210546283,11048.4442417122,11163.1813835256,10645.3750266035,11010.6129535399,10834.57630946,9746.4789234553,10932.9483303555,10725.9154776154,11332.5968399512,11194.7955397933,11040.275782088,10743.4647716736,11147.0061121733,11313.1300452931,10948.6175400182,11134.6980698182,10871.9057338224,10896.9785177252,10771.4581077426,10611.29665317,11023.9710221443,11016.3699288317,11315.6957278671,10482.613935265,11220.6988385444,10914.1790744382,11033.0370105647,10989.0004664795,11240.7317983212,10926.0200594835,10950.336296986,10592.6482024959,10756.7379651213,11070.1316808379,11132.8666871785,9718.59354073528,10928.5371298725,11053.9093493992,11421.4648435631,11231.5756760165,11364.414095661,10748.4088305636,11131.7877005042,10628.0294722009,10908.873320735,11244.7500130223,11115.9743364963,10717.172629426,10880.3674497007,11013.0134061313,10773.0840749967,10969.267963592,11108.281434789,10647.649024236,10762.9028978364,10335.8955107394
"10",11275.5473350553,11129.0656787688,11112.093136266,10475.4074758778,11060.0726435084,11027.2153825205,11102.6589070503,10906.1788563554,10902.606073015,11061.4900694002,11164.6870151915,10912.178712287,10938.8275084928,11068.1995615518,10874.3920462064,10898.4960254368,11163.366697561,10883.2321752197,11125.1116346999,11151.7365648205,10948.9572802332,10206.1018947484,11173.5629644824,10904.6455336144,11217.7103605948,11095.1661227646,10392.4869539157,11071.31009684,10528.0195431207,11321.9263027349,10761.3296164642,10904.7424346827,10876.4131899511,10935.8815252609,10834.8706671623,11308.2908460214,10851.9247274908,10797.1542043861,10815.24313356,11003.3567102859,11014.2341088892,11009.7190816605,10950.9830498412,10640.4996448558,11052.1318587417,11167.1987711575,10645.3750266035,11010.6129535399,10845.3856966209,9746.4789234553,10932.9483303555,10725.9154776154,11332.5968399512,11194.7955397933,11048.7627952732,10743.4647716736,11148.7467792581,11316.0461614919,10948.6175400182,11138.3800861385,10876.3652988206,10898.1904435862,10771.4581077426,10615.3159590154,11047.0050501759,11016.3699288317,11315.6957278671,10512.6899732876,11220.6988385444,10918.4348564418,11044.9636712672,10989.0004664795,11240.7317983212,10926.0200594835,10950.336296986,10592.6482024959,10764.2315848506,11070.1316808379,11138.3249723986,9743.18936748923,10928.5371298725,11053.9093493992,11421.4648435631,11232.0447024552,11364.414095661,10748.4088305636,11131.7877005042,10630.9525976609,10908.873320735,11245.7911187607,11134.690860906,10717.172629426,10880.3674497007,11019.3513733837,10780.4107881622,10969.267963592,11108.281434789,10647.649024236,10766.9657623269,10343.3891304687
