"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",7062.5003237181,7052.25308459983,7353.57448982449,7166.63574971762,7567.4061864471,7221.2809547379,7345.76061921415,7305.88994077567,7777.57173331906,5864.16674850029,6986.26883250445,7365.61965358737,6795.82182305563,7688.03334067225,6763.43388033523,7089.25312387432,7364.87703279475,6729.61623118427,6798.36682257803,7745.09959672143,6809.6188462989,6915.1721089311,7641.70345706943,7625.01006929095,7054.98534951405,6952.40035462039,7500.35794059676,6830.40200631146,7006.87181988352,7687.44868009673,7466.90377508104,7139.62935132196,7125.13531426128,7542.08937547596,7208.74392533452,6697.86475949557,7377.59859970259,7099.12615582389,6947.65995770021,7139.91612241977,6970.30469620337,7255.47511624582,6781.62786322308,6216.97190541161,7547.5641950274,6600.34755745012,6748.14484423418,6778.65965903958,7107.96654989758,7375.45176975557,6727.11278135308,7032.2465339447,7228.73529647865,6778.26442447874,7415.63402765302,7381.26827549703,6987.15853350691,7295.66840140857,6680.95915901341,7527.84165134752,7545.83703259613,7229.16635663806,6956.69508169566,7412.87374180132,6393.916013837,6493.19898175806,6971.07263366066,7140.40124266876,7427.81188750822,7259.81571390822,7118.4588589444,6487.72747026923,7327.09292790605,6108.05861632175,7404.43038751177,7363.39687374343,7275.51612701455,7319.1577750803,6969.87993786588,6758.72957190081,7307.3464631707,6124.25790584773,7059.73417911026,7582.56639685891,5844.88433523718,6709.10709632928,7232.54366028717,7567.11844017961,7100.97972451547,7445.21573557032,7804.58208609315,6071.93641853164,6132.20669296895,7208.50695212144,7387.86277517096,7481.21892477545,6775.72434870278,6878.73059737875,7784.08395953139,7278.06940269944
"2",7320.11851806058,7771.56769001716,7368.05710619344,7168.12187548091,7634.75155178247,7476.59925271291,7387.13831384789,7336.83934414629,7806.97667729981,7357.32911353778,7158.26407759937,7489.92294946242,7645.14355307227,7712.51164371787,6871.38441236859,7443.22420034398,7557.31491311671,6729.61623118427,6955.66881922885,7759.6388395796,7304.08410085355,6985.6018907041,7675.57210037701,7681.23794610145,7140.80957416735,6973.49243200103,7652.63735935246,7157.55535791079,7020.66158459819,7750.14462964085,7570.75171281655,7217.92202682045,7471.22471347507,7687.63775456296,7295.27918792579,6735.75144359773,7587.60859538493,7776.58035835623,7741.03074830012,7174.25851120994,7044.42143722462,7493.46772520647,7567.31610075686,6342.97882931942,7607.14099113321,7141.03466806499,6766.84953939608,6941.96878975148,7129.33213060624,7423.56418167865,7505.31696444931,7188.5030620854,7441.76150677311,7591.70761689194,7515.1505474031,7409.253153105,7010.59286537225,7343.68013177555,6751.19444472542,7558.42137616635,7679.34759873291,7862.60290997329,7192.09588658062,7435.04590880857,7652.81916075823,6493.19898175806,6982.74089811576,7185.78638444683,7498.22277255026,7330.75125562815,7145.79081783525,6532.60854941725,7402.63082696003,6163.62670916999,7453.7900193542,7383.98589197007,7367.14576493958,7496.13961724696,7042.73202512915,6987.64140156819,7457.45607881364,6363.13188419325,7156.66571879423,7637.30792181863,7349.93664266639,6779.07571577013,7286.39460139007,7591.92950029352,7252.83478814222,7498.46919093915,7819.00827846811,6121.23529386099,7326.27367387585,7244.80834009515,7396.47096329648,7607.83521032494,6801.50154525666,6896.29897434398,7794.41788128879,7607.11573543618
"3",7384.56437617996,7828.81624261212,7370.88651519415,7195.94197944725,7661.27936739312,7504.3425628316,7410.18086579477,7344.61441704647,7843.06959053237,7416.32734311142,7161.17032374868,7554.0952743755,7645.14355307227,7726.59310037001,6903.83104703045,7862.41150436742,7578.69103551497,6802.13897869537,7107.81387086223,7806.29173032246,7353.10861390609,7599.68726404451,7697.10179056466,7716.09284286654,7213.32097224574,6974.9889617742,7747.61493827864,7242.26409675947,7032.93720880808,7836.75730128622,7621.43338069254,7246.26034887054,7586.6845471561,7899.45548198327,7295.27918792579,6931.28258780188,7638.23396769143,7821.58015630277,7786.39367000109,7214.63896125573,7216.86972817176,7546.21460848927,7633.74229770947,6626.55029311377,7659.87554582194,7258.6860082241,6776.85573110791,6958.43934729794,7145.579408429,7613.71029411591,7634.8335898587,7336.56093069332,7469.26269214962,7655.69754802471,7583.86152022261,7596.88349487378,7139.65557256602,7386.97762298481,6751.19444472542,7576.27064956653,7766.51426185064,7873.02036789029,7195.7156049282,7437.95215495788,7724.38195052593,6521.71890493476,6990.01940972704,7216.84865925357,7523.35226599903,7411.06927805097,7170.50344512573,7756.16959008637,7448.64251210992,6210.52270718541,7519.09640176242,7394.04294177111,7392.2656863509,7554.3119631968,7107.87947386788,7127.90691823609,7472.7448361973,6473.16127957066,7203.43498249815,7643.78607849835,7419.09363429399,6830.40477046733,7329.03090152861,7653.65035963967,7297.26551124533,7516.77695637236,7832.08206105337,6209.92912065843,7439.54929899229,7257.73896132765,7415.56198341356,7694.09810150444,6818.1465715562,6908.0218595207,7805.20115399532,7672.95533407671
"4",7431.11320546549,7843.77367457457,7396.34213285739,7214.33393858517,7675.36082404526,7565.19412895016,7415.27072997439,7360.61572107628,7860.73911794471,7459.2176684373,7161.17032374868,7579.06709976152,7692.77655044287,7798.44995379235,7062.45220527281,7911.91064683358,7611.92336410606,6866.98198115469,7253.84990968631,7821.64459146666,7393.76079774715,7653.53368886292,7761.98103105496,7736.88518974792,7217.12878718804,6987.68991937576,7821.74086000059,7317.80199581345,7032.93720880808,7911.4488754628,7634.50716327781,7283.48081247243,7649.48480092717,7960.8664937004,7295.27918792579,7684.45546205586,7673.72748853967,7855.06698495381,7821.79749370656,7249.03351550488,7250.53723208828,7560.29606514141,7686.00487998584,6904.6820587292,7695.85057379524,7367.57831310095,6931.20442783704,6975.78274245022,7155.9133301864,7663.71960971361,7677.88165159755,7475.06749966262,7536.3419981888,7701.63295791802,7644.86550100212,7610.04914088104,7258.8654623415,7454.97593770244,6808.66544702434,7583.94694801054,7775.58671206305,7905.22296323417,7219.68155581371,7446.94906043384,7784.67152114729,6639.48023420569,6996.06048341732,7236.10970925516,7611.14644964563,7450.2753323225,7170.50344512573,7822.00433198984,7458.76257391826,6294.7257234197,7577.30029027712,7414.66704465842,7403.50594585102,7584.79196180667,7139.64392975956,7182.50620746517,7573.06501859246,6479.98732743412,7218.91501157216,7659.94668347156,7471.73516576477,6876.59748132424,7329.22937412141,7665.55351126494,7763.56865177587,7520.39667471993,7866.79940492785,7195.65806181522,7530.02952736018,7521.85062177335,7421.60305710383,7705.91061001023,6923.49698590509,6927.00708471634,7814.19805947129,7696.86760293574
"5",7451.93290310299,7900.47849624554,7403.09248130865,7214.92765332787,7704.42780753761,7613.11879787741,7476.76118442075,7365.95809201219,7872.74433162109,7488.57307175778,7258.32562047512,7592.14088234678,7763.96492384898,7838.34599920928,7319.81029437111,7946.40922633025,7656.90733525416,6924.40783359311,7392.67666910797,7860.47832499264,7424.1645823845,7653.53368886292,7844.35958885039,7749.27083122871,7281.64926935302,6987.9352772411,7837.32830210784,7326.50482354202,7039.74663748515,7957.5891489522,7648.7047358921,7360.41395315405,7694.34497056642,8008.72740771994,7295.27918792579,7709.12905110597,7703.26875177714,7883.40506441273,7885.92601861154,7279.55777254867,7263.61101467354,7571.53632464153,7725.8236259069,7176.38425158788,7716.56845646241,7674.4751117494,7078.45079886932,7038.91265627601,7166.69660289294,7696.38715373774,7835.89490629853,7679.30723756714,7569.28779956396,7732.21268273684,7690.69887193492,7628.38660835646,7427.46871522461,7566.32819772551,6817.8480547039,7595.95216168692,7812.60745241335,7948.05012502652,7412.63580402609,7467.87660219695,7832.30451851789,7780.86067309694,7031.02352216649,7261.1048964962,7642.1242646673,7459.74322005859,7401.02803398641,7882.2939026112,7461.66882006757,6305.45992266859,7627.26078332215,7414.66704465842,7413.05803323229,7626.24590284679,7227.36129844819,7238.39963510109,7573.06501859246,6652.0807425955,7218.91501157216,7663.56640181914,7841.01838988561,6887.34267732912,7330.92351288639,7682.32109705316,7793.07936155522,7526.46697407502,7874.51934405664,7306.85670915562,7600.4131951445,7777.04887778031,7421.60305710383,7736.3906086201,7181.4199359718,6940.71630103841,7823.87778259816,7727.36350546435
"6",7459.86898762263,7911.03133091874,7415.315820938,7224.9301132877,7739.38472995249,7635.38723898284,7513.27870923648,7365.95809201219,7887.74695553026,7506.89378385014,7285.23545705086,7603.26197019333,7817.08294935717,7872.62553181014,7566.70056579485,7968.4802250998,7665.45060147339,6970.43287083516,7523.05176622134,7869.93238923033,7443.3743057451,7725.04452599395,7857.52523485765,7760.39191907526,7339.07512179144,6987.9352772411,7893.24196903665,7733.35752473808,7045.03684166666,7989.73122284935,7658.62689672109,7502.37551977385,7723.96389223884,8043.81957240144,7295.27918792579,7722.29469711323,7726.23802761094,7908.64486633897,7885.92601861154,7316.41309838883,7278.07968758582,7806.53663585558,7749.82421432083,7440.49591203358,7725.64090667482,7687.64075775665,7283.37970587149,7076.41376848944,7175.6935083689,7714.42176138941,7835.89490629853,7696.13705620642,7613.13108956932,7750.06195613702,7836.24725102192,7628.38660835646,7893.77185575515,7670.38730102668,6835.98855255295,7605.16266266813,7812.60745241335,7948.22884181205,7422.721260139,7477.33066643463,7863.73263097,7833.29880844124,7069.3423777333,7261.1048964962,7659.52761269628,7488.69581016852,7434.61510557143,7929.92689998181,7470.66572554354,6335.72633806357,7669.50396375438,7425.23058571524,7422.52592096838,7642.3275712994,7227.36129844819,7247.58224278065,7573.06501859246,6696.03379076278,7239.3009594173,7699.00964633581,7878.83826911665,7132.08600832348,7330.92351288639,7691.77516129085,7808.66680366246,7535.92103831271,7914.79192689524,7386.04211539297,7653.32553600107,7789.33655559343,7430.14632332306,7745.19150871663,7455.68414842986,6940.71630103841,7833.33184683585,7736.36041094031
"7",7479.55488911884,7911.12370776811,7415.315820938,7225.1285858805,7770.12561339336,7650.16144990171,7568.4941093339,7375.51017939345,7897.66911635925,7514.38740357943,7285.23545705086,7616.6589827139,7854.66228687413,7903.14819671969,7801.7008770089,7984.29496040534,7678.02258666211,7120.8361502501,7643.59514808448,7882.71221727574,7453.8235274506,7758.49958186277,7857.52523485765,7773.78893159583,7385.10015903349,6987.9352772411,7893.24196903665,7781.92486126295,7049.41256993022,8002.34275102699,7712.63578043952,7545.74399125667,7779.86725127325,8051.31319213072,7295.27918792579,7722.29469711323,7739.30792304466,7942.09992220778,7885.92601861154,7457.70597689886,7464.2852020147,7855.42253229792,7786.39379370283,7695.69416804054,7725.64090667482,7699.92843556976,7789.5239763169,7085.41067396541,7193.7963355834,7720.46283507968,7841.88026656933,7696.13705620642,7643.73730723923,7762.67348431467,7846.67697383761,7628.38660835646,7909.35929786239,7765.7225243918,6842.26232444255,7615.08482349711,7887.7701875604,7948.42731440484,7792.00448425984,7550.16612413133,7879.57859688309,7874.98181821148,7078.00006098468,7299.96593202512,7659.52761269628,7516.63974860392,7689.8133615784,7938.8157744709,7486.85252849617,6389.43053172382,7678.20679148295,7601.35255281045,7449.00190694406,7642.52604389219,7257.78038270551,7265.7227406297,7579.48726937652,6934.41488505576,7244.0356891176,7706.30885360772,7884.82362938746,7363.56120890873,7367.44886779443,7769.14103133275,7825.83406351203,7621.27386177711,7920.77728716604,7417.07893511537,7691.32402639239,7799.74586207087,7452.85366855073,7761.27317716924,7575.75447681453,6950.39602416528,7862.39231000402,7751.65127188955
"8",7540.09224931213,7917.40179667333,7415.315820938,7232.20326710459,7795.06981731905,7664.82552899032,7601.28633610928,7384.97806712954,7922.43517562629,7524.31025927215,7294.23236252682,7626.58114354289,7888.11734274294,7935.32838514127,7801.7008770089,7991.78858013463,7719.91203682564,7364.96192622217,7752.79238313809,7917.42956115022,7823.10675157144,7821.56238490721,7857.52523485765,7783.71109242481,7392.37867064477,7055.81798561285,7893.24196903665,7798.44434402013,7055.31014555527,8012.4282071399,7723.04508691696,7576.10670871865,7779.86725127325,8085.06170854541,7295.27918792579,7722.29469711323,7739.30792304466,7949.37843381906,7936.71648763714,7826.98920101969,7471.77882174399,7855.42253229792,7797.13898970771,7707.98184585365,7731.62626694562,7710.33774204721,7802.68962232416,7101.26772014794,7203.25039982109,7720.46283507968,7875.13578687245,7696.13705620642,7653.65946806822,7772.75894042758,7855.26722613927,7628.38660835646,7909.35929786239,7773.21614412108,6850.80754496402,7724.76857551093,7887.7701875604,7980.09602522662,7799.0930315134,7666.06435886569,7897.58919335283,7904.42256951072,7272.84470988106,7321.34494749747,7668.98167693396,7526.56190943291,7703.42502019369,7945.69832366294,7496.30659273386,6395.70430361343,7792.18370491334,7616.64131019411,7472.91417580309,7642.70476067772,7278.5101365829,7294.31679876736,7622.08651237265,6974.16555637821,7244.0356891176,7706.30885360772,7884.82362938746,7580.40080225382,7367.66639827043,7779.06319216174,7825.83406351203,7628.7674815064,7920.77728716604,7483.49697842409,7716.9053428306,7813.98434377342,7472.33895275265,7761.47164976204,7575.75447681453,7101.10338260155,7925.02150430939,7761.10533612724
"9",7546.9016779892,7917.40179667333,7424.91140265757,7240.51746238892,7819.72069983561,7700.80362172848,7649.93463242142,7392.70859340853,7932.84448210373,7542.81372749516,7314.72840595949,7650.49737417773,7912.66926870983,7945.88121981447,7801.7008770089,8001.82844257702,7812.61439721029,7596.2603932644,7752.79238313809,7925.14950027901,7829.09211184224,7839.18370352145,7857.52523485765,7791.04460637879,7398.41974433505,7098.79115008413,7903.67169185234,7816.71955605461,7060.16460134808,8022.06790383216,7764.58040700122,7607.28675796927,7779.86725127325,8116.3242941628,7295.27918792579,7722.29469711323,7771.38348071367,7957.87134588892,7959.04203637253,7832.9745612905,7485.58138998751,7855.42253229792,7805.51603355158,7718.3911523311,7731.62626694562,7736.74109158586,7814.97730013727,7110.72178438563,7400.91170286159,7720.46283507968,7875.13578687245,7696.13705620642,7708.48038585449,7786.6289683544,7886.6392476963,7628.38660835646,7909.35929786239,7781.58034812279,6857.61697364109,7735.17788198837,7895.26380728969,7988.7782491484,7805.0783917842,7712.62938620727,7940.47256947454,7920.01001161797,7778.98898032647,7383.30603780049,7687.8830633052,7541.90796828762,7703.42502019369,8001.5927896708,7615.02568373391,6411.108181618,7819.84219594277,7616.64131019411,7484.91938947947,7642.92229115372,7711.47120490944,7301.12622744443,7622.08651237265,7727.33843063218,7244.0356891176,7715.76291784541,7884.82362938746,7587.21023093089,7396.00447772936,7825.84584379702,7825.83406351203,7636.48742063519,7920.77728716604,7535.75956070046,7729.19302064371,7837.34641882702,7480.99663600402,7761.68918023803,7830.9527328215,7137.40477057526,7946.86179651978,7868.05149325021
"10",7555.27872183307,7917.40179667333,7674.31137907623,7246.34636339759,8054.72101104966,7708.79989432971,7735.38051815105,7426.29566499355,7997.95987674258,7912.09695161599,7324.18247019717,7657.99099390702,7930.29058732406,7945.97359666384,7801.7008770089,8021.21910539543,7903.38762033525,7813.23598047633,7752.79238313809,7965.4220831176,7829.09211184224,7885.79841292092,7857.52523485765,7815.81066564583,7403.27420012786,7104.44946365053,7914.0660843929,7852.17938530457,7085.7128413299,8045.45888435624,7764.58040700122,7690.63064538081,7779.86725127325,8142.63868694269,7295.27918792579,7722.29469711323,7771.38348071367,7963.91241957919,7959.04203637253,7832.9745612905,7605.65171837219,7855.42253229792,7812.32546222865,7728.03084902335,7731.62626694562,7772.78885055003,7825.38660661472,7209.58005021587,7408.63164199038,7720.46283507968,7875.13578687245,7696.13705620642,7858.8794020509,7799.28543654505,7897.20278875312,7658.80569261379,7909.35929786239,7790.2413596939,6862.90717782261,7844.37511704197,7937.8478624893,7998.44867367674,7805.0783917842,7712.62938620727,7963.33301402394,7920.01001161797,7792.15462633373,7849.60917833103,7697.80522413419,7570.55828749538,7703.42502019369,8007.63386336108,7622.5193034632,6679.06854622363,7832.94094932355,7616.64131019411,7503.54033595299,7670.2179386503,7724.6368509167,7306.41643162594,7633.64081340329,7753.46419939208,7253.03259459356,7728.13703403955,7884.82362938746,7592.5004351124,7397.0519019047,7833.3394635263,7825.99362502137,7644.79794471,7928.27090689533,7602.99612906997,7739.60232712116,7844.84003855631,7554.63149592527,7761.86789702356,7830.9527328215,7643.54904102067,7946.86179651978,7875.54511297949
