"","AEHVI","GEHVI","DEHVI","AEI_EI","GEI_EI","DEI_EI"
"1",50,12,13,43,37,12
"2",50,2,2,16,18,7
"3",50,14,12,28,17,12
"4",50,47,12,39,14,21
"5",50,9,9,44,50,13
"6",50,16,15,35,40,16
"7",50,11,13,30,12,11
"8",50,27,19,50,50,19
"9",50,14,12,35,50,12
"10",50,7,9,26,21,8
"11",50,11,11,24,18,10
"12",50,16,10,37,50,16
"13",50,18,17,46,25,17
"14",50,29,5,16,7,8
"15",50,10,17,29,9,8
"16",50,13,11,25,29,13
"17",50,10,7,35,10,7
"18",50,30,27,50,50,26
"19",50,16,15,30,15,14
"20",50,11,9,33,39,11
"21",50,8,23,26,8,10
"22",50,7,8,43,18,7
"23",50,12,17,21,12,12
"24",50,13,12,50,50,18
"25",50,18,17,38,31,17
"26",50,12,11,39,23,14
"27",3,3,13,23,2,2
"28",50,21,10,26,30,10
"29",50,35,12,34,21,10
"30",50,10,11,29,11,10
"31",50,17,13,30,46,13
"32",50,47,20,15,4,1
"33",4,2,2,30,2,2
"34",50,50,18,22,7,6
"35",50,1,1,1,9,2
"36",50,13,14,39,13,16
"37",5,2,2,11,1,1
"38",50,18,12,34,37,14
"39",50,27,23,50,50,21
"40",50,12,13,23,33,11
"41",50,24,21,16,7,6
"42",50,10,11,29,20,15
"43",50,14,26,40,15,10
"44",50,14,17,31,50,22
"45",50,17,14,37,28,13
"46",50,10,9,16,13,9
"47",50,13,12,32,50,14
"48",50,11,11,23,24,12
"49",50,17,15,36,50,21
"50",50,50,13,30,50,20
"51",50,37,10,20,2,3
"52",50,11,20,29,4,9
"53",50,11,10,24,20,12
"54",50,7,3,17,5,6
"55",50,18,17,42,27,14
"56",50,50,19,39,32,18
"57",50,20,18,37,26,17
"58",50,10,9,19,9,9
"59",50,26,22,44,39,23
"60",50,7,8,17,13,9
"61",50,5,17,25,27,5
"62",50,18,4,28,18,5
"63",50,13,16,36,21,8
"64",50,50,23,21,9,11
"65",50,16,15,33,21,11
"66",50,29,24,45,50,23
"67",50,8,6,25,6,7
"68",50,50,20,33,24,17
"69",50,12,21,21,12,10
"70",50,10,10,23,18,9
"71",50,18,16,30,33,19
"72",50,50,21,28,8,8
"73",50,16,14,21,20,11
"74",50,32,30,50,50,31
"75",50,19,17,47,50,18
"76",50,17,21,39,50,21
"77",50,50,24,33,24,11
"78",50,24,24,47,27,20
"79",50,13,20,30,9,8
"80",50,50,16,36,28,17
"81",50,13,11,27,47,8
"82",50,20,18,30,27,15
"83",50,15,12,42,19,14
"84",50,10,8,21,12,9
"85",50,3,3,25,8,6
"86",50,27,23,42,25,17
"87",50,50,36,50,50,40
"88",50,30,14,23,15,9
"89",50,6,19,29,7,4
"90",50,9,9,18,14,11
"91",50,14,14,19,18,14
"92",50,24,23,50,50,19
"93",50,3,3,20,2,2
"94",50,30,8,17,13,7
"95",50,50,11,37,25,14
"96",50,20,13,48,50,12
"97",50,23,20,29,12,13
"98",50,24,19,29,50,19
"99",50,25,26,48,44,15
"100",50,50,9,20,37,8
