"","V1"
"V1",12
"V2",2
"V3",14
"V4",47
"V5",9
"V6",16
"V7",11
"V8",27
"V9",14
"V10",7
"V11",11
"V12",16
"V13",18
"V14",29
"V15",10
"V16",13
"V17",10
"V18",30
"V19",16
"V20",11
"V21",8
"V22",7
"V23",12
"V24",13
"V25",18
"V26",12
"V27",3
"V28",21
"V29",35
"V30",10
"V31",17
"V32",47
"V33",2
"V34",50
"V35",1
"V36",13
"V37",2
"V38",18
"V39",27
"V40",12
"V41",24
"V42",10
"V43",14
"V44",14
"V45",17
"V46",10
"V47",13
"V48",11
"V49",17
"V50",50
"V51",37
"V52",11
"V53",11
"V54",7
"V55",18
"V56",50
"V57",20
"V58",10
"V59",26
"V60",7
"V61",5
"V62",18
"V63",13
"V64",50
"V65",16
"V66",29
"V67",8
"V68",50
"V69",12
"V70",10
"V71",18
"V72",50
"V73",16
"V74",32
"V75",19
"V76",17
"V77",50
"V78",24
"V79",13
"V80",50
"V81",13
"V82",20
"V83",15
"V84",10
"V85",3
"V86",27
"V87",50
"V88",30
"V89",6
"V90",9
"V91",14
"V92",24
"V93",3
"V94",30
"V95",50
"V96",20
"V97",23
"V98",24
"V99",25
"V100",50
