"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",11249.615704919,11065.8381474432,11045.8840392308,10303.2468850722,10982.769090866,10980.717538207,10983.6322145744,10879.8689174078,10882.0904213912,10995.4493267681,11087.4200955819,10826.7212271013,10896.0675240643,10967.3031716723,10735.1861138021,10840.9818462254,11110.5567145223,10832.8272014641,11050.8725250743,11098.7584393066,10813.1046300049,10002.018201947,11080.1514389966,10814.6955799492,11181.807945101,11045.3401398385,10073.7967194175,11058.1529216606,10367.3595389418,11277.5344911915,10655.2659209673,10710.4310703264,10791.8620209798,10731.6500296051,10770.2517660724,11270.9694860648,10795.2593093219,10761.9974596398,10778.5584330388,10892.7614911718,10941.5720911953,10932.9812673196,10854.9084992169,10530.898373038,10957.1449563944,11077.4829744454,10616.6640919527,10948.4395889541,10771.8339430518,9658.02223130388,10850.7801939756,10525.6471368346,11288.1058052659,11111.4961759425,11007.4844175669,10684.5705475681,11101.4288728722,11258.4914383537,10905.8325228265,11019.4532082324,10831.2538940321,10860.0156473182,10724.1615942434,10427.9070693319,10928.1702219129,11006.7758797247,11262.5982202553,10382.6587614002,11132.7292667635,10852.1332838501,11004.6528675762,10827.0905587459,11218.3043139038,10892.7815951018,10922.7186142993,10478.5477298283,10509.8527228766,11054.4561823219,11020.7713156818,9182.72044396135,10822.0733625125,11053.9093493992,11418.1169116817,11195.9175661142,11321.8253094688,10613.8591290634,11126.5597129162,10544.5373777812,10795.6858052159,11185.1800907877,11045.4152839837,10628.1125792353,10798.3565897136,10903.5585400682,10633.441478807,10954.4395051954,10997.6829006797,10552.3981564836,10713.1119569258,9756.5141931522
"2",11249.615704919,11065.8381474432,11045.8840392308,10303.2468850722,11006.2150329491,10980.717538207,10983.6322145744,10879.8689174078,10882.0904213912,10995.4493267681,11087.4200955819,10864.8048763149,10896.0675240643,11024.8127022637,10735.1861138021,10840.9818462254,11110.5567145223,10834.0217736841,11050.8725250743,11098.7584393066,10813.1046300049,10156.0567495798,11080.1514389966,10856.6778507261,11181.807945101,11045.3401398385,10404.1958750409,11062.3711115814,10391.3496059715,11277.5344911915,10688.5259775075,10798.286027854,10841.4006548457,10804.2074891545,10815.711683184,11270.9694860648,10824.2855804995,10761.9974596398,10778.5584330388,10904.3140608533,10941.5720911953,10932.9812673196,10854.9084992169,10551.1997683582,10957.1449563944,11077.4829744454,10616.6640919527,10948.4395889541,10778.7726644917,9706.13464322695,10850.7801939756,10547.5983834386,11288.1058052659,11111.4961759425,11007.4844175669,10729.0524396538,11101.4288728722,11258.4914383537,10911.8693362275,11086.3796817629,10831.2538940321,10883.8134588052,10724.1615942434,10461.1176681669,10928.1702219129,11006.7758797247,11262.5982202553,10449.2082933754,11132.7292667635,10852.1332838501,11004.6528675762,10827.0905587459,11230.6603626871,10905.892315392,10923.4275639042,10478.5477298283,10547.5533329314,11054.4561823219,11020.7713156818,9411.63227362873,10822.0733625125,11053.9093493992,11418.1169116817,11195.9175661142,11321.8253094688,10613.8591290634,11126.5597129162,10561.9209831183,10846.5609942616,11202.3457059365,11045.4152839837,10643.7870845459,10798.3565897136,10928.7278172239,10649.7985383967,10954.4395051954,11023.4600972336,10552.3981564836,10733.5159908401,10085.5605258889
"3",11249.615704919,11096.9205818788,11045.8840392308,10361.7093097604,11006.2150329491,10980.717538207,10983.6322145744,10879.8689174078,10887.1758938943,10995.4493267681,11092.0068465884,10864.8048763149,10896.0675240643,11027.4137520722,10735.1861138021,10846.3320180264,11114.3638316574,10835.9938886835,11050.8725250743,11111.2047638226,10827.829996641,10156.0567495798,11080.1514389966,10856.6778507261,11182.2535454998,11045.3401398385,10496.6736940487,11062.3711115814,10455.4270778414,11277.5344911915,10688.5259775075,10864.4656300865,10876.4131899511,10877.0167719596,10815.711683184,11270.9694860648,10855.7227129528,10769.5122411272,10778.5584330388,10904.3140608533,10941.5720911953,10932.9812673196,10854.9084992169,10561.3194550219,10964.4661925329,11125.5087342804,10632.1501171194,10974.8106091732,10794.1810281602,9742.02591938118,10889.8669534062,10547.5983834386,11288.1058052659,11131.4658847532,11008.5680087156,10738.2607514832,11101.4288728722,11280.4463172021,10933.5230050156,11086.3796817629,10831.2538940321,10883.8134588052,10736.0940042015,10499.1672617703,10928.1702219129,11006.7758797247,11262.5982202553,10471.0600721651,11174.3385187835,10865.3203531748,11007.1480984385,10827.0905587459,11230.6603626871,10914.0175420861,10928.9909883967,10516.2564228223,10594.8220805518,11054.4561823219,11020.7713156818,9609.99840853641,10825.0429372476,11053.9093493992,11418.1169116817,11202.8820312671,11321.8253094688,10648.7509988996,11126.5597129162,10589.2555124378,10846.5609942616,11202.3457059365,11064.2029937832,10643.7870845459,10798.3565897136,10948.9026153793,10653.8621754383,10954.4395051954,11040.1051235331,10569.312299188,10747.812094843,10204.6515525194
"4",11249.615704919,11096.9205818788,11045.8840392308,10361.7093097604,11006.2150329491,11017.7611185916,10986.5681299658,10879.8689174078,10895.4731417544,10995.4493267681,11120.8585333345,10864.8048763149,10896.0675240643,11035.1233336209,10833.7300970274,10846.3320180264,11123.851404784,10835.9938886835,11051.2550704487,11111.2047638226,10827.829996641,10262.2547745597,11086.1255881488,10856.6778507261,11182.2535454998,11045.3401398385,10520.2205641181,11062.3711115814,10492.2181945327,11277.5344911915,10690.724364842,10888.5975230765,10876.4131899511,10894.6834469711,10815.711683184,11270.9694860648,10855.7227129528,10769.5122411272,10778.5584330388,10904.3140608533,10941.5720911953,10963.8542740157,10854.9084992169,10567.0214413555,10964.4661925329,11125.5087342804,10643.1781956167,10981.9428845755,10807.1777383823,9744.7438032226,10908.3234934844,10604.4274279756,11293.4251520763,11131.4658847532,11015.1202914401,10746.7984707036,11101.4288728722,11280.4463172021,10934.5719518909,11097.1115300496,10831.2538940321,10883.8134588052,10757.0420869428,10517.1682905967,10928.1702219129,11006.7758797247,11269.0379265998,10478.4055242511,11174.3385187835,10865.3203531748,11007.1480984385,10827.0905587459,11230.6603626871,10918.0142161476,10928.9909883967,10516.2564228223,10594.8220805518,11056.8976939634,11020.7713156818,9645.89889490316,10904.2022372122,11053.9093493992,11420.8702276728,11212.8009024808,11340.634990922,10678.1470803707,11126.5597129162,10592.0119718276,10846.5609942616,11202.3457059365,11070.7671395404,10643.7870845459,10880.3674497007,10961.9240936818,10668.5367442974,10954.4395051954,11054.979217854,10602.2464985926,10750.7187486939,10297.6401541103
"5",11249.615704919,11096.9205818788,11052.0228857942,10412.5649047538,11006.2150329491,11017.7611185916,11022.0825550688,10879.8689174078,10902.606073015,10995.4493267681,11120.8585333345,10864.8048763149,10896.0675240643,11048.5203461415,10848.2448488723,10846.3320180264,11132.0730753477,10845.9244542984,11063.4963920506,11111.2047638226,10827.829996641,10277.8623420122,11097.2410727544,10856.6778507261,11190.2767899568,11045.3401398385,10520.2205641181,11062.3711115814,10504.9191521343,11297.3355852008,10690.724364842,10896.1491097888,10876.4131899511,10908.3673811265,10815.711683184,11285.0435699929,10855.7227129528,10769.957841526,10778.5584330388,10968.2832785064,10941.5720911953,10971.9065138566,10854.9084992169,10567.0214413555,10964.4661925329,11137.8647830637,10643.1781956167,10981.9428845755,10807.1777383823,9804.52666239382,10908.3234934844,10716.7315705102,11304.9770403834,11131.4658847532,11015.4632617973,10746.7984707036,11101.4288728722,11287.2821182011,10935.1443575559,11104.0759952025,10855.3461227593,10883.8134588052,10806.4757160739,10517.1682905967,10928.1702219129,11006.7758797247,11269.0379265998,10488.3034088607,11174.3385187835,10865.3203531748,11014.907189545,10858.1639395324,11230.6603626871,10918.0142161476,10928.9909883967,10522.0695905874,10603.874023136,11056.8976939634,11020.7713156818,9706.42413794456,10906.9351510252,11053.9093493992,11420.8702276728,11212.8009024808,11340.634990922,10698.0486132699,11130.7705942579,10604.0459087998,10853.1140511194,11202.3457059365,11071.8749557395,10644.2387467128,10880.3674497007,10971.6097920095,10684.3827102105,10954.4395051954,11054.979217854,10626.4930934878,10750.7187486939,10350.7648808172
"6",11249.615704919,11096.9205818788,11069.3102190253,10442.4413037409,11006.2150329491,11017.7611185916,11038.1608086707,10879.8689174078,10909.441874014,11010.2319926241,11120.8585333345,10864.8048763149,10910.2216944156,11049.5788225647,10860.6611478164,10897.6104640811,11135.956711271,10854.9652131769,11071.5376653456,11111.2047638226,10828.2935649589,10384.3607508867,11107.9857601307,10856.6778507261,11190.2767899568,11045.3401398385,10520.2205641181,11062.3711115814,10510.4548872833,11297.3355852008,10701.7587605225,10896.1491097888,10876.4131899511,10915.9189678388,10815.711683184,11285.0435699929,10855.7227129528,10769.957841526,10784.6688998884,10978.5001633326,10952.1034244481,10974.5232340754,10862.353112797,10582.8412489717,10964.4661925329,11142.9247611261,10652.6657687432,10981.9428845755,10807.1777383823,9857.37500691351,10921.0629114997,10725.5485996361,11310.3478879359,11131.4658847532,11015.4632617973,10752.002490894,11102.7230184516,11291.1511770048,10935.1443575559,11106.0188754753,10855.3461227593,10885.5398280933,10815.4841559991,10517.9919285314,10928.1702219129,11008.3413625441,11269.0379265998,10488.3034088607,11174.3385187835,10870.349469959,11027.4180407937,10882.340384903,11230.6603626871,10918.0142161476,10928.9909883967,10529.7253723838,10655.7667071734,11056.8976939634,11031.9766024743,9772.40504630597,10923.7088114723,11053.9093493992,11420.8702276728,11212.8009024808,11340.634990922,10698.0486132699,11130.8159192744,10606.5167868106,10858.5383887002,11202.3457059365,11092.8167989225,10657.3895804063,10880.3674497007,10983.3745908563,10732.2384936653,10954.4395051954,11054.979217854,10626.4930934878,10750.7187486939,10410.8683358941
"7",11271.088028243,11096.9205818788,11097.5700691465,10462.866301036,11031.9690791254,11017.7611185916,11055.4634293206,10879.8689174078,10909.441874014,11010.2319926241,11121.8557589718,10864.8048763149,10911.8720973565,11056.8407223792,10866.5463856945,10897.6104640811,11135.9598974002,10873.3488898519,11071.5376653456,11111.2047638226,10856.9132764073,10448.4419043475,11119.4184460875,10856.6778507261,11196.9023734554,11082.5773619589,10520.2205641181,11062.3711115814,10510.4548872833,11297.3355852008,10701.7587605225,10896.1491097888,10876.4131899511,10915.9189678388,10815.711683184,11289.9127433823,10855.7227129528,10772.6515844181,10784.6688998884,10985.7394182997,10975.4114979488,10974.5232340754,10877.6219608978,10608.6462871203,10965.8874977458,11142.9247611261,10660.0633925582,10983.9228510514,10807.1777383823,9857.37500691351,10934.1328069334,10725.5485996361,11310.3478879359,11131.4658847532,11023.4478205681,10752.8732568913,11109.5187511609,11294.1534569727,10935.1443575559,11106.0188754753,10855.3461227593,10897.0438687267,10815.4841559991,10532.936197064,10929.8230508035,11013.3672998653,11304.8485025817,10497.0062365892,11174.3385187835,10872.6595868765,11027.4180407937,10908.2757815911,11230.6603626871,10918.0142161476,10952.9076379131,10533.624308416,10668.378235351,11056.8976939634,11031.9766024743,9785.74536868213,10923.7088114723,11053.9093493992,11420.8702276728,11214.7437827535,11340.634990922,10698.0486132699,11131.7877005042,10614.8273108855,10864.0180138961,11202.3457059365,11106.7954645488,10657.3895804063,10880.3674497007,11000.8248924315,10741.692557903,10958.1585008917,11064.7425336123,10626.4930934878,10750.7187486939,10410.8683358941
"8",11271.088028243,11096.9205818788,11099.8828702166,10472.5781602542,11031.9690791254,11024.3867020902,11072.5695827705,10879.8689174078,10912.444153982,11010.2319926241,11144.1742584183,10864.8048763149,10911.8720973565,11059.9815565465,10867.3327971005,10897.6104640811,11135.9598974002,10873.3488898519,11105.0861834936,11111.2047638226,10897.5755922263,10459.6469835929,11119.4184460875,10856.6778507261,11201.9314902396,11086.6059191682,10520.2205641181,11062.3711115814,10519.1410261612,11297.3355852008,10701.7587605225,10896.1491097888,10876.4131899511,10915.9189678388,10815.711683184,11291.5723342166,10855.7227129528,10772.6515844181,10794.126076166,10992.7038834526,10981.689586854,10974.5232340754,10877.6219608978,10624.1942459312,11006.3940272496,11142.9279472554,10660.0633925582,10986.2329679689,10807.1777383823,9873.84673529245,10937.3231250076,10725.5485996361,11310.3478879359,11162.0554405646,11024.0871954776,10764.6349073112,11109.5187511609,11294.1534569727,10935.1443575559,11110.0381813207,10855.3461227593,10898.1904435862,10825.7010408252,10532.936197064,10931.4909449617,11013.3672998653,11311.073454452,10503.8950337601,11177.0437025907,10872.6595868765,11027.4180407937,10916.9771309648,11230.6603626871,10923.0921268667,10955.0922495033,10539.9063890715,10695.0146130593,11056.8976939634,11031.9766024743,9832.68142509761,10927.7506106139,11058.1812585301,11420.8702276728,11214.7437827535,11340.634990922,10703.4084670526,11131.7877005042,10621.1053997907,10864.0180138961,11202.3457059365,11113.6615354261,10657.3895804063,10880.3674497007,11006.2969655328,10756.529444777,10958.1585008917,11081.5849005458,10626.4930934878,10750.7187486939,10421.4211705673
"9",11273.7295083666,11096.9205818788,11109.3704433432,10481.7915121532,11031.9690791254,11024.3867020902,11086.0165609981,10879.8689174078,10912.444153982,11010.2319926241,11146.9275744094,10864.8048763149,10914.1046849752,11059.9815565465,10867.3327971005,10897.9027667845,11135.9598974002,10873.3488898519,11105.0861834936,11111.2047638226,10904.9710415876,10459.6469835929,11122.9453649494,10856.6778507261,11204.2416071571,11096.6908994873,10520.2205641181,11062.3711115814,10527.2165822641,11297.3355852008,10726.0384544657,10896.1491097888,10876.4131899511,10915.9189678388,10815.711683184,11291.5723342166,10855.7227129528,10789.5306713437,10794.2341040587,10994.6467637253,10984.8304210212,10974.5232340754,10878.0675612966,10628.864343769,11013.714482815,11146.0687814226,10667.0532137874,10986.2329679689,10857.0822315571,9889.77868102008,10937.3231250076,10725.5485996361,11318.0285534188,11162.0554405646,11024.0871954776,10773.4244633979,11115.6881783436,11294.1534569727,10935.1443575559,11110.0381813207,10855.3461227593,10898.3279288114,10826.0138074418,10532.936197064,10931.4909449617,11013.3672998653,11315.6957278671,10528.1767827912,11194.7103776022,10872.6595868765,11034.8020939656,10925.3413349665,11230.6603626871,10923.4350972239,10960.2115430794,10560.0249924009,10695.0146130593,11056.8976939634,11031.9832354444,9849.07154628921,10927.7506106139,11061.4298407501,11420.8702276728,11214.7437827535,11340.634990922,10706.0750621775,11131.7877005042,10621.1053997907,10864.0180138961,11203.5531937641,11117.7441794924,10657.3895804063,10880.3674497007,11008.3725169381,10769.1968042408,10963.6915442286,11096.8137802217,10626.4930934878,10750.7187486939,10436.4307150565
"10",11275.5473350553,11096.9205818788,11116.3140266824,10481.7915121532,11033.6473972702,11029.4158188744,11094.5617924811,10879.8689174078,10912.444153982,11010.2319926241,11146.9275744094,10864.8048763149,10914.1046849752,11059.9815565465,10870.4736312677,10912.6801999765,11139.1007315675,10873.4974505785,11112.2191147543,11111.2047638226,10904.9710415876,10459.6469835929,11142.8812435775,10856.6778507261,11222.9581315667,11096.8382809048,10520.2205641181,11062.3711115814,10529.7922118064,11297.3355852008,10759.0123140614,10903.1972660495,10876.4131899511,10915.9189678388,10815.711683184,11291.5723342166,10855.7227129528,10795.4946135518,10794.2341040587,10994.6467637253,10984.8304210212,10974.5232340754,10879.2684415903,10628.864343769,11017.5689057322,11146.0687814226,10672.1100635516,10986.2329679689,10871.2631823249,9899.91749292661,10937.3231250076,10729.075518498,11327.4731639849,11162.0554405646,11026.7809383698,10773.4244633979,11120.3231387796,11296.5087833278,10935.526935537,11110.0381813207,10855.3461227593,10898.3279288114,10831.0706572059,10532.936197064,10939.5940024222,11013.3672998653,11315.6957278671,10530.2790987686,11197.8512117694,10872.6595868765,11042.7005590932,10941.7858001239,11238.418997251,10923.8761058022,10962.477207968,10589.9940318436,10773.5262509581,11056.8976939634,11056.9078440651,9865.58410174983,10931.2649211257,11062.8060659018,11420.8702276728,11217.8846169208,11340.634990922,10707.8271988098,11131.7877005042,10624.2462339579,10864.0180138961,11215.8455108932,11117.7441794924,10657.7721583873,10880.3674497007,11015.9241036504,10776.6904239701,10963.6915442286,11104.0727988974,10626.4930934878,10750.7187486939,10436.4307150565
