"","V1"
"V1",51
"V2",32
"V3",25
"V4",22
"V5",44
"V6",49
"V7",44
"V8",38
"V9",58
"V10",59
"V11",66
"V12",60
"V13",26
"V14",22
"V15",39
"V16",47
"V17",54
"V18",35
"V19",21
"V20",52
"V21",44
"V22",56
"V23",48
"V24",33
"V25",21
"V26",46
"V27",31
"V28",51
"V29",36
"V30",60
"V31",51
"V32",48
"V33",25
"V34",52
"V35",20
"V36",52
"V37",26
"V38",49
"V39",50
"V40",60
"V41",42
"V42",44
"V43",30
"V44",46
"V45",47
"V46",49
"V47",51
"V48",46
"V49",30
"V50",55
"V51",36
"V52",44
"V53",59
"V54",48
"V55",20
"V56",29
"V57",46
"V58",50
"V59",46
"V60",32
"V61",37
"V62",60
"V63",11
"V64",38
"V65",48
"V66",59
"V67",50
"V68",44
"V69",66
"V70",46
"V71",53
"V72",33
"V73",32
"V74",42
"V75",64
"V76",68
"V77",35
"V78",51
"V79",31
"V80",61
"V81",30
"V82",25
"V83",21
"V84",54
"V85",17
"V86",49
"V87",49
"V88",56
"V89",57
"V90",35
"V91",23
"V92",17
"V93",55
"V94",55
"V95",47
"V96",42
"V97",38
"V98",29
"V99",54
"V100",26
