"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",3199.92856,2833.7612,3207.46944,2838.59976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2429.31524,3256.76376,3109.53212,2777.57616,3176.08136,2434.57904,2749.80412,3240.43896,3113.47616,2514.43324,2789.7914,3264.08976,2188.97404,3186.83936,3174.46976,2785.5176,2728.0956,2460.67388,3114.28988,3244.87636,2464.97476,2705.5264,3264.08976,3107.25212,2660.43656,3057.26652,2378.68576,2451.56724,2951.7761,2822.60016,2541.56056,2755.08396,2518.13164,3212.88056,2435.35924,2407.52064,2397.8126,2650.02824,2844.48562,3246.28536,3121.42016,3149.85176,3054.17952,2807.47176,2471.408,3136.45752,2600.81836,2851.54416,2557.53636,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2694.02536,2807.06736,3070.78456,3298.40116,2507.03644,2822.60016,3046.51136,2312.38016,2876.96256,2712.37896,2771.72616,3005.75692,3107.30112,3162.43944,3244.80216,3234.92716,2523.08604,2803.97716,2476.62248,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,2954.90536
"2",3199.92856,2833.7612,3207.46944,2838.59976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2429.31524,3256.76376,3109.53212,2777.57616,3176.08136,2434.57904,2749.80412,3240.43896,3113.47616,2514.43324,2789.7914,3264.08976,2188.97404,3186.83936,3174.46976,2785.5176,2728.0956,2460.67388,3114.28988,3244.87636,2464.97476,2705.5264,3264.08976,3107.25212,2660.43656,3057.26652,2378.68576,2451.56724,2951.7761,2822.60016,2541.56056,2755.08396,2518.13164,3212.88056,2435.35924,2407.52064,2397.8126,2650.02824,2844.48562,3246.28536,3121.42016,3149.85176,3054.17952,2807.47176,2471.408,3136.45752,2600.81836,2851.54416,2557.53636,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2694.02536,2807.06736,3070.78456,3298.40116,2507.03644,2822.60016,3046.51136,2312.38016,2876.96256,2712.37896,2771.72616,3005.75692,3107.30112,3162.43944,3244.80216,3234.92716,2523.08604,2803.97716,2476.62248,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,2954.90536
"3",3199.92856,2833.7612,3207.46944,2838.59976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2429.31524,3256.76376,3109.53212,2777.57616,3176.08136,2434.57904,2749.80412,3240.43896,3113.47616,2514.43324,2789.7914,3264.08976,2188.97404,3186.83936,3174.46976,2785.5176,2728.0956,2460.67388,3114.28988,3244.87636,2464.97476,2705.5264,3264.08976,3107.25212,2660.43656,3057.26652,2378.68576,2451.56724,2951.7761,2822.60016,2541.56056,2755.08396,2518.13164,3212.88056,2435.35924,2407.52064,2397.8126,2650.02824,2844.48562,3246.28536,3121.42016,3149.85176,3054.17952,2807.47176,2471.408,3136.45752,2600.81836,2851.54416,2557.53636,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2694.02536,2807.06736,3070.78456,3298.40116,2507.03644,2822.60016,3046.51136,2312.38016,2876.96256,2712.37896,2771.72616,3005.75692,3107.30112,3162.43944,3244.80216,3234.92716,2523.08604,2803.97716,2476.62248,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,2954.90536
"4",3199.92856,2833.7612,3207.46944,2838.59976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2429.31524,3256.76376,3109.53212,2777.57616,3176.08136,2434.57904,2749.80412,3240.43896,3113.47616,2514.43324,2789.7914,3264.08976,2188.97404,3186.83936,3174.46976,2785.5176,2728.0956,2460.67388,3114.28988,3244.87636,2464.97476,2705.5264,3264.08976,3107.25212,2660.43656,3057.26652,2378.68576,2451.56724,2951.7761,2822.60016,2541.56056,2755.08396,2518.13164,3212.88056,2435.35924,2407.52064,2397.8126,2650.02824,2844.48562,3246.28536,3121.42016,3149.85176,3054.17952,2807.47176,2471.408,3136.45752,2600.81836,2851.54416,2557.53636,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2694.02536,2807.06736,3070.78456,3298.40116,2507.03644,2822.60016,3046.51136,2312.38016,2876.96256,2712.37896,2771.72616,3005.75692,3107.30112,3162.43944,3244.80216,3234.92716,2523.08604,2803.97716,2476.62248,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,2954.90536
"5",3199.92856,2833.7612,3207.46944,2838.59976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2429.31524,3256.76376,3109.53212,2777.57616,3176.08136,2434.57904,2749.80412,3240.43896,3113.47616,2514.43324,2789.7914,3264.08976,2188.97404,3186.83936,3174.46976,2785.5176,2728.0956,2460.67388,3114.28988,3244.87636,2464.97476,2705.5264,3264.08976,3107.25212,2660.43656,3057.26652,2378.68576,2451.56724,2951.7761,2822.60016,2541.56056,2755.08396,2518.13164,3212.88056,2435.35924,2407.52064,2397.8126,2650.02824,2844.48562,3246.28536,3121.42016,3149.85176,3054.17952,2807.47176,2471.408,3136.45752,2600.81836,2851.54416,2557.53636,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2694.02536,2807.06736,3070.78456,3298.40116,2507.03644,2822.60016,3046.51136,2312.38016,2876.96256,2712.37896,2771.72616,3005.75692,3107.30112,3162.43944,3244.80216,3234.92716,2523.08604,2803.97716,2476.62248,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,2954.90536
"6",3199.92856,2833.7612,3207.46944,2838.59976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2429.31524,3256.76376,3109.53212,2777.57616,3176.08136,2434.57904,2749.80412,3240.43896,3113.47616,2514.43324,2789.7914,3264.08976,2188.97404,3186.83936,3174.46976,2785.5176,2728.0956,2460.67388,3114.28988,3244.87636,2464.97476,2705.5264,3264.08976,3107.25212,2660.43656,3057.26652,2378.68576,2451.56724,2951.7761,2822.60016,2541.56056,2755.08396,2518.13164,3212.88056,2435.35924,2407.52064,2397.8126,2650.02824,2844.48562,3246.28536,3121.42016,3149.85176,3054.17952,2807.47176,2471.408,3136.45752,2600.81836,2851.54416,2557.53636,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2694.02536,2807.06736,3070.78456,3298.40116,2507.03644,2822.60016,3046.51136,2312.38016,2876.96256,2712.37896,2771.72616,3005.75692,3107.30112,3162.43944,3244.80216,3234.92716,2523.08604,2803.97716,2476.62248,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,2954.90536
"7",3199.92856,2833.7612,3207.46944,2838.59976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2429.31524,3256.76376,3109.53212,2777.57616,3176.08136,2434.57904,2749.80412,3240.43896,3113.47616,2514.43324,2789.7914,3264.08976,2188.97404,3186.83936,3174.46976,2785.5176,2728.0956,2460.67388,3114.28988,3244.87636,2464.97476,2705.5264,3264.08976,3107.25212,2660.43656,3057.26652,2378.68576,2451.56724,2951.7761,2822.60016,2541.56056,2755.08396,2518.13164,3212.88056,2435.35924,2407.52064,2397.8126,2650.02824,2844.48562,3246.28536,3121.42016,3149.85176,3054.17952,2807.47176,2471.408,3136.45752,2600.81836,2851.54416,2557.53636,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2694.02536,2807.06736,3070.78456,3298.40116,2507.03644,2822.60016,3046.51136,2312.38016,2876.96256,2712.37896,2771.72616,3005.75692,3107.30112,3162.43944,3244.80216,3234.92716,2523.08604,2803.97716,2476.62248,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,2954.90536
"8",3199.92856,2833.7612,3207.46944,2838.59976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2429.31524,3256.76376,3109.53212,2777.57616,3176.08136,2434.57904,2749.80412,3240.43896,3113.47616,2514.43324,2789.7914,3264.08976,2188.97404,3186.83936,3174.46976,2785.5176,2728.0956,2460.67388,3114.28988,3244.87636,2464.97476,2705.5264,3264.08976,3107.25212,2660.43656,3057.26652,2378.68576,2451.56724,2951.7761,2822.60016,2541.56056,2755.08396,2518.13164,3212.88056,2435.35924,2407.52064,2397.8126,2650.02824,2844.48562,3246.28536,3121.42016,3149.85176,3054.17952,2807.47176,2471.408,3136.45752,2600.81836,2851.54416,2557.53636,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2694.02536,2807.06736,3070.78456,3298.40116,2507.03644,2822.60016,3046.51136,2312.38016,2876.96256,2712.37896,2771.72616,3005.75692,3107.30112,3162.43944,3244.80216,3234.92716,2523.08604,2803.97716,2476.62248,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,2954.90536
"9",3199.92856,2833.7612,3207.46944,2838.59976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2429.31524,3256.76376,3109.53212,2777.57616,3176.08136,2434.57904,2749.80412,3240.43896,3113.47616,2514.43324,2789.7914,3264.08976,2188.97404,3186.83936,3174.46976,2785.5176,2728.0956,2460.67388,3114.28988,3244.87636,2464.97476,2705.5264,3264.08976,3107.25212,2660.43656,3057.26652,2378.68576,2451.56724,2951.7761,2822.60016,2541.56056,2755.08396,2518.13164,3212.88056,2435.35924,2407.52064,2397.8126,2650.02824,2844.48562,3246.28536,3121.42016,3149.85176,3054.17952,2807.47176,2471.408,3136.45752,2600.81836,2851.54416,2557.53636,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2694.02536,2807.06736,3070.78456,3298.40116,2507.03644,2822.60016,3046.51136,2312.38016,2876.96256,2712.37896,2771.72616,3005.75692,3107.30112,3162.43944,3244.80216,3234.92716,2523.08604,2803.97716,2476.62248,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,2954.90536
"10",3199.92856,2833.7612,3207.46944,2838.59976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2429.31524,3256.76376,3109.53212,2777.57616,3176.08136,2434.57904,2749.80412,3240.43896,3113.47616,2514.43324,2789.7914,3264.08976,2188.97404,3186.83936,3174.46976,2785.5176,2728.0956,2460.67388,3114.28988,3244.87636,2464.97476,2705.5264,3264.08976,3107.25212,2660.43656,3057.26652,2378.68576,2451.56724,2951.7761,2822.60016,2541.56056,2755.08396,2518.13164,3212.88056,2435.35924,2407.52064,2397.8126,2650.02824,2844.48562,3246.28536,3121.42016,3149.85176,3054.17952,2807.47176,2471.408,3136.45752,2600.81836,2851.54416,2557.53636,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2694.02536,2807.06736,3070.78456,3298.40116,2507.03644,2822.60016,3046.51136,2312.38016,2876.96256,2712.37896,2771.72616,3005.75692,3107.30112,3162.43944,3244.80216,3234.92716,2523.08604,2803.97716,2476.62248,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,2954.90536
