"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",1498.137,1419.284,1512.178,1544.0297,1522.124,1532.4777,1485.5207,1411.9687,1522.033,1502.921,1447.987,1469.962,1527.191,1539.668,1333.9016,1514.411,1454.6518,1506.0647,1520.9337,1526.948,1511.0477,1522.6138,1505.0766,1464.6017,1495.679,1400.5231,1513.218,1515.392,1518.2077,1537.565,1415.2336,1498.2967,1499.898,1528.5107,1537.903,1498.2537,1493.15,1499.898,1520.506,1542.0557,1526.7675,1374.1526,1530.1752,1529.171,1540.339,1534.0497,1514.596,1525.1909,1521.89,1524.458,1497.71,1525.5037,1523.638,1503.8272,1515.397,1519.159,1503.6829,1518.1768,1517.57,1502.4897,1511.376,1511.315,1397.7308,1538.8997,1489.279,1455.4647,1418.3895,1530.3697,1394.1786,1504.7207,1520.2518,1521.93,1387.5366,1514.4477,1513.936,1526.082,1492.9,1507.924,1507.4917,1508.437,1496.1608,1499.771,1527.608,1525.698,1387.5696,1522.7737,1460.2144,1471.382,1511.2315,1522.259,1543.6767,1503.776,1525.729,1536.723,1498.311,1444.37,1514.06,1536.228,1542.5187,1516.642
"2",1878.164,1613.4422,1883.036,1568.54,1522.124,1754.5177,1828.2857,1452.4247,1751.508,1826.41,1711.9595,1843.64,1888.52,1539.668,1560.206,1828.426,1454.6518,1828.2857,1783.7037,1598.4178,1568.968,1888.52,1890.956,1515.436,1495.679,1711.9595,1727.148,1876.148,1577.41,1751.521,1415.2336,1721.2457,1740.38,1579.345,1751.521,1882.0657,1687.2,1552.842,1888.52,1844.1597,1661.6547,1792.976,1582.9272,1578.617,1711.9595,1558.56,1875.084,1574.5512,1577.5121,1883.036,1875.084,1591.0918,1523.638,1567.7012,1838.332,1941.482,1734.1297,1951.482,1876.148,1502.4897,1883.036,1564.259,1792.976,1563.41,1843.64,1511.4897,1633.0785,1752.7177,1421.4366,1861.0077,1582.8458,1586.96,1387.5366,1562.526,1875.084,1949.046,1545.652,1507.983,1882.0657,1876.148,1879.956,1635.321,1646.734,1525.698,1623.5958,1576.9441,1517.1424,1595.912,1562.0658,1575.011,1543.6767,1821.304,1890.956,1888.52,1737.759,1572.588,1888.52,1709.604,1711.9595,1655.745
"3",1878.164,1845.1482,1935.98,1568.54,1562.184,1754.5177,1879.12,1538.166,1751.508,1867.439,1711.9595,1876.148,1888.52,1602.262,1560.206,1883.569,1458.1518,1828.2857,1882.0657,1608.2617,1568.968,1888.52,1890.956,1933.964,1821.304,1711.9595,1875.084,1876.148,1599.464,1751.521,1804.9748,1798.9138,1811.8498,1579.345,1751.521,1932.9,1687.2,1886.242,1888.52,1893.52,1744.1737,1869.932,1893.52,1602.667,1711.9595,1920.14,1932.9,1632.184,1696.6381,1883.036,1932.9,1593.8512,1751.126,1707.5772,1903.362,1941.482,1882.0657,1951.482,1933.964,1553.324,1935.98,1883.712,1869.932,1869.952,1843.64,1514.5337,1633.0785,1894.3477,1421.4366,1861.0077,1953.55,1953.55,1387.5366,1943.708,1932.9,1949.046,1893.52,1932.018,1932.9,1933.964,1879.956,1712.026,1718.2038,1580.886,1804.9748,1791.6331,1549.2268,1691.144,1883.712,1805.741,1680.589,1862.333,1890.956,1888.52,1878.164,1572.588,1888.52,1709.604,1711.9595,1655.745
"4",1878.164,1845.1482,1935.98,1869.952,1939.14,1754.5177,1879.12,1869.932,1751.508,1881.553,1711.9595,1876.148,1888.52,1721.388,1786.856,1883.569,1680.467,1828.2857,1932.9,1963.2917,1641.938,2054.576,1890.956,1939.369,1879.12,1711.9595,1932.9,1933.964,1922.866,1838.332,1804.9748,2013.7538,1821.7397,1933.964,1751.521,1932.9,1687.2,1886.242,1943.708,1893.52,1954.8737,1927.748,1893.52,1675.3648,1711.9595,1920.14,1932.9,1746.7805,1791.1301,1883.036,1932.9,1963.9772,1951.482,1721.6472,1903.362,1941.482,1882.0657,1951.482,1939.369,1883.712,1941.385,1938.855,1927.748,1925.095,1843.64,1852.4297,1633.0785,1943.708,1421.4366,1952.7778,1953.55,1962.748,1504.251,1948.663,1938.855,1949.046,1893.52,1932.018,1932.9,1933.964,1879.956,1771.176,1728.0477,1893.52,1804.9748,1932.6821,1927.748,1748.072,1938.855,1893.52,1837.6805,1876.447,1895.911,1943.708,1935.98,1574.688,1888.52,1709.838,1711.9595,1730.74
"5",1878.164,1889.9514,1941.385,1905.43,1939.14,1821.3878,1879.12,1927.748,1751.508,1937.124,1711.9595,1933.964,1893.475,1815.88,1786.856,1941.385,1680.751,1883.4287,1932.9,1963.2917,2014.076,2078.348,1895.911,1939.369,1934.263,1711.9595,1932.9,1933.964,1922.866,1893.52,1979.388,2013.7538,1963.2917,1994.94,1751.521,1932.9,1714.521,1886.242,1948.663,1948.663,1954.8737,1934.263,1928.122,1680.6547,1711.9595,1925.095,1932.9,1843.4045,1932.6821,1883.036,1938.855,1963.9772,1951.482,1806.3872,1912.56,1941.482,1932.9,1951.482,1939.369,1883.712,1941.385,1938.855,1934.263,1925.095,1925.108,1852.4297,1633.0785,1960.7327,1421.4366,1963.2917,1953.55,1970.448,1821.304,1948.663,1938.855,1949.046,1912.56,1932.018,1932.9,1933.964,1879.956,1931.412,1822.5397,1948.663,1804.9748,1957.5167,1927.748,1782.093,1938.855,1948.663,1885.0355,1932.018,2060.471,1948.663,1957.2652,1574.688,1888.52,1949.046,1711.9595,1949.046
"6",1878.164,1922.964,1941.385,1960.573,1939.14,1821.3878,1934.263,1927.748,1751.508,1937.124,1711.9595,1933.964,1949.046,1815.88,1962.0525,1941.385,1680.751,1934.263,1932.9,1963.2917,2014.076,2078.348,1948.663,1939.369,1934.263,1711.9595,1938.855,1939.369,2050.21,1893.52,2014.948,2013.7538,1963.2917,1994.94,1888.52,1932.9,1730.553,1941.385,1948.663,1948.663,1954.8737,1934.263,1928.122,1680.6547,1727.5471,1960.573,1932.9,1843.4045,1963.2917,1935.98,1938.855,1969.2671,1951.482,1942.398,1916.31,1941.482,1938.855,1951.482,1960.143,1883.712,1941.385,1994.426,1934.263,1925.095,1933.964,1852.4297,1633.0785,1969.2671,1422.5256,1963.2917,1953.55,1970.898,1879.12,1948.663,1938.855,1949.046,2047.2,1932.018,1938.855,1933.964,1879.956,1931.412,1822.5397,1948.663,1804.9748,1966.0511,1934.263,1927.748,1938.855,1948.663,1885.0355,1932.018,2083.303,1948.663,1966.0511,1917.316,1888.52,1949.046,1727.5471,1949.046
"7",1939.14,1929.16,1996.956,1983.265,1939.14,1860.4378,1934.263,1927.748,1751.508,1937.124,1711.9595,1933.964,2004.234,1815.88,1962.0525,1960.143,1680.751,1934.263,1938.855,2024.1527,2014.076,2105.582,1948.663,1939.369,1934.263,1727.5471,1938.855,1960.9422,2050.21,1893.52,2043.242,2013.7538,1963.2917,1994.94,1943.708,1932.9,1931.412,1941.385,1948.663,1948.663,1954.8737,1934.263,1928.122,1692.9628,1727.5471,1960.573,1938.855,1903.7255,1963.2917,1935.98,1938.855,1977.7505,1951.482,1945.068,1928.122,1941.482,1938.855,1951.482,1998.6235,1905,1941.385,1994.426,1934.263,1925.095,1939.369,1852.4297,1633.3755,1969.2671,1792.976,1963.2917,1973.304,1984.068,1934.263,1948.663,1938.855,2004.234,2121.038,1932.018,1938.855,1939.369,1879.956,1931.412,1822.5397,1948.663,1804.9748,1966.0511,1934.263,1934.263,1938.855,1948.663,1885.0355,1932.018,2084.943,1948.663,1966.0511,1958.345,1888.52,1949.046,1758.1567,1949.046
"8",1939.14,1939.336,1996.956,1983.265,1939.14,1861.3258,1934.263,1927.748,1888.52,1937.124,1727.5471,1939.369,2004.234,1920.19,1962.0525,1983.265,1680.751,1934.263,1938.855,2024.1527,2014.076,2124.244,1948.663,1939.369,1934.263,1727.5471,1938.855,1960.9422,2053.3712,1949.84,2208.652,2013.7538,1963.2917,1994.94,1943.708,1938.855,1931.412,1941.385,1948.663,2072.975,1954.8737,1934.263,2024.746,1694.8888,1727.5471,1960.573,1938.855,1903.7255,1966.0511,1941.385,1938.855,1977.7505,1951.482,1945.068,1983.265,1941.482,1938.855,1951.482,1998.6235,1905,1941.385,1994.426,1934.263,1960.573,1939.369,1852.4297,1633.3755,2093.5791,1792.976,1963.2917,2102.734,2125.104,1934.263,1948.663,1938.855,2004.234,2121.038,1932.018,1938.855,1939.369,1879.956,1931.412,1822.5397,1960.573,1804.9748,1966.0511,1934.263,1998.6235,1960.1402,1948.663,1885.1655,1989.834,2147.061,1948.663,1966.0511,2028.03,1888.52,1949.046,1758.1567,1949.046
"9",1939.14,1940.936,1996.956,1991.623,1996.956,2021.7438,1989.834,1934.263,1973.304,1994.94,1727.5471,1939.369,2004.234,1923.94,1962.0525,2117.905,1847.756,1934.263,1938.855,2024.1527,2014.076,2134.94,1948.663,2001.127,1934.263,1727.5471,1938.855,1971.3411,2084.6512,1949.84,2208.652,2013.7538,1963.2917,1994.94,1948.663,1938.855,1931.412,1941.385,2045.287,2084.885,2014.076,1934.263,2041.306,1694.8888,1727.5471,2063.233,1938.855,1903.7255,1974.5345,1941.385,1938.855,2016.3345,1951.482,2009.5785,1983.265,1994.426,1938.855,1951.482,1998.6235,1905,1941.385,1994.426,1934.263,1983.265,1939.369,1852.4297,1633.3755,2097.5145,1792.976,1966.0511,2107.439,2125.104,1934.263,1948.663,1938.855,2004.234,2121.038,1932.018,1938.855,1939.369,1879.956,2013.7538,1822.5397,1983.265,1872.4958,1966.0511,1998.6235,1998.6235,1971.3411,1998.6235,1918.8805,1989.834,2147.061,1965.6877,1971.3411,2028.03,1943.708,1949.046,1758.1567,1949.046
"10",1939.14,1969.23,1996.956,1991.623,1996.956,2021.7438,1989.834,1934.263,1973.304,1994.94,1727.5471,1998.6235,2004.234,1925.45,1962.0525,2117.905,1905.116,1934.263,1938.855,2024.1527,2014.076,2134.94,1948.663,2030.241,1960.143,1855.5471,1938.855,2026.9121,2095.2912,1949.84,2208.652,2013.7538,2024.1527,1994.94,1948.663,1938.855,1931.412,1941.385,2051.311,2084.885,2017.826,1934.263,2098.914,1842.1008,1758.1567,2063.233,1938.855,1909.4435,1974.5345,1941.385,1938.855,2016.3345,1951.482,2009.5785,2063.233,1994.426,1938.855,1951.482,2133.2635,1905,1941.385,1994.426,1934.263,1983.265,1998.6235,1852.4297,1856.9595,2097.5145,1792.976,1966.0511,2107.439,2125.104,1934.263,1948.663,1938.855,2004.234,2176.181,1932.018,1938.855,1939.369,1879.956,2013.7538,1963.2917,2079.889,1872.4958,1966.0511,1998.6235,1998.6235,1971.3411,1998.6235,1921.3105,1989.834,2151.651,1974.2221,2067.9651,2028.03,1948.663,1949.046,1758.1567,2004.234
