"","V1"
"V1",66
"V2",48
"V3",28
"V4",5
"V5",55
"V6",56
"V7",49
"V8",42
"V9",67
"V10",70
"V11",33
"V12",69
"V13",72
"V14",52
"V15",53
"V16",45
"V17",58
"V18",42
"V19",52
"V20",44
"V21",11
"V22",56
"V23",53
"V24",24
"V25",53
"V26",17
"V27",70
"V28",53
"V29",28
"V30",73
"V31",64
"V32",45
"V33",40
"V34",37
"V35",68
"V36",42
"V37",55
"V38",29
"V39",65
"V40",64
"V41",63
"V42",37
"V43",44
"V44",72
"V45",60
"V46",10
"V47",66
"V48",66
"V49",54
"V50",33
"V51",60
"V52",9
"V53",67
"V54",27
"V55",65
"V56",56
"V57",58
"V58",45
"V59",49
"V60",33
"V61",41
"V62",37
"V63",49
"V64",8
"V65",55
"V66",26
"V67",29
"V68",54
"V69",60
"V70",54
"V71",49
"V72",63
"V73",57
"V74",6
"V75",68
"V76",76
"V77",54
"V78",58
"V79",43
"V80",53
"V81",39
"V82",53
"V83",40
"V84",52
"V85",53
"V86",32
"V87",24
"V88",37
"V89",34
"V90",56
"V91",43
"V92",57
"V93",47
"V94",64
"V95",41
"V96",66
"V97",69
"V98",50
"V99",57
"V100",69
