"ref, doi",num,P,v,HT_T,HT_t,VED,Elongation,UTS
https://doi.org/10.1016/j.dib.2023.108911,1,275,800,670,5,69.86788618,10.7,942
https://doi.org/10.1016/j.dib.2023.108911,2,275,760,670,5,73.54514335,9.19,931
https://doi.org/10.1016/j.dib.2023.108911,3,275,720,670,5,77.63098464,8.98,904
https://doi.org/10.1016/j.dib.2023.108911,4,275,680,670,5,82.19751315,8.5,929
https://doi.org/10.1016/j.dib.2023.108911,5,275,640,670,5,87.33485772,7.23,914
https://doi.org/10.1016/j.dib.2023.108911,6,275,600,670,5,93.15718157,6.95,892
https://doi.org/10.1016/j.dib.2023.108911,7,275,840,670,5,66.54084398,10.76,960
https://doi.org/10.1016/j.dib.2023.108911,8,275,880,670,5,63.51626016,11.87,974
https://doi.org/10.1016/j.dib.2023.108911,9,275,920,670,5,60.75468363,12.35,984
https://doi.org/10.1016/j.dib.2023.108911,10,275,960,670,5,58.22323848,14.03,994
https://doi.org/10.1016/j.dib.2023.108911,11,275,1000,670,5,55.89430894,13.91,1000
https://doi.org/10.1016/j.dib.2023.108911,12,175,800,670,5,44.46138211,12.39,1025
https://doi.org/10.1016/j.dib.2023.108911,13,195,800,670,5,49.54268293,12.53,1014
https://doi.org/10.1016/j.dib.2023.108911,14,215,800,670,5,54.62398374,12.82,1005
https://doi.org/10.1016/j.dib.2023.108911,15,235,800,670,5,59.70528455,11.86,988
https://doi.org/10.1016/j.dib.2023.108911,16,255,800,670,5,64.78658537,10.71,965
https://doi.org/10.1016/j.dib.2023.108911,17,295,800,670,5,74.94918699,9.28,940
https://doi.org/10.1016/j.dib.2023.108911,18,315,800,670,5,80.0304878,9.7,927
https://doi.org/10.1016/j.dib.2023.108911,19,335,800,670,5,85.11178862,9.33,923
https://doi.org/10.1016/j.dib.2023.108911,20,355,800,670,5,90.19308943,9.32,921
https://doi.org/10.1016/j.dib.2023.108911,21,375,800,670,5,95.27439024,9.2,913
https://doi.org/10.1016/j.dib.2023.108911,22,135,400,670,5,68.59756098,7.57,894
https://doi.org/10.1016/j.dib.2023.108911,23,205,600,670,5,69.44444444,8.03,936
https://doi.org/10.1016/j.dib.2023.108911,24,345,1000,670,5,70.12195122,12.46,955
https://doi.org/10.1016/j.dib.2023.108911,25,415,1200,670,5,70.29132791,13.58,977
https://doi.org/10.1016/j.dib.2023.108911,26,485,1400,670,5,70.41231127,7.88,962
https://doi.org/10.1016/j.dib.2023.108911,27,500,1480,670,5,68.6662272,4.47,946
https://doi.org/10.1016/j.dib.2023.108911,28,155,400,670,5,78.7601626,5.1,897
https://doi.org/10.1016/j.dib.2023.108911,29,235,600,670,5,79.60704607,7.79,926
https://doi.org/10.1016/j.dib.2023.108911,30,395,1000,670,5,80.28455285,12.39,955
https://doi.org/10.1016/j.dib.2023.108911,31,475,1200,670,5,80.45392954,12.5,975
https://doi.org/10.1016/j.dib.2023.108911,32,500,1290,670,5,78.77985757,10.81,959
https://doi.org/10.1016/j.dib.2023.108911,33,115,400,670,5,58.43495935,4.38,901
https://doi.org/10.1016/j.dib.2023.108911,34,175,600,670,5,59.28184282,8.55,972
https://doi.org/10.1016/j.dib.2023.108911,35,295,1000,670,5,59.95934959,13.46,993
https://doi.org/10.1016/j.dib.2023.108911,36,355,1200,670,5,60.12872629,14.09,997
https://doi.org/10.1016/j.dib.2023.108911,37,475,1600,670,5,60.34044715,3.01,902
https://doi.org/10.1016/j.dib.2023.108911,38,75,400,670,5,38.1097561,1.26,829
https://doi.org/10.1016/j.dib.2023.108911,39,115,600,670,5,38.95663957,3.05,989
https://doi.org/10.1016/j.dib.2023.108911,40,195,1000,670,5,39.63414634,14.22,1047
https://doi.org/10.1016/j.dib.2023.108911,41,235,1200,670,5,39.80352304,15.38,1048
https://doi.org/10.1016/j.dib.2023.108911,42,315,1600,670,5,40.0152439,11.77,1014
https://doi.org/10.1016/j.msea.2018.03.021,43,200,150,0,0,888.8888889,8.9,910
https://doi.org/10.1016/j.msea.2018.03.021,44,150,100,0,0,1000,11.9,1008
https://doi.org/10.1016/j.msea.2018.03.021,45,200,100,0,0,1333.333333,9.1,850
https://doi.org/10.1016/j.jallcom.2012.07.022,46,250,1600,540,5,86.80555556,5.36,1223
https://doi.org/10.1016/j.jallcom.2012.07.022,47,250,1600,850,2,86.80555556,12.84,1004
https://doi.org/10.1016/j.jallcom.2012.07.022,48,250,1600,1020,2,86.80555556,14.06,840
https://doi.org/10.1016/j.jallcom.2012.07.022,49,250,1600,705,3,86.80555556,9.04,1082
https://doi.org/10.1016/j.actamat.2018.05.044,50,280,1200,650,3,55.55555556,7.8,1091
https://doi.org/10.1016/j.actamat.2018.05.044,51,340,1250,650,3,64.76190476,9.7,1183
https://doi.org/10.1016/j.msea.2019.138319,52,70,620,0,0,45.89562025,10.5,1100
https://doi.org/10.1016/j.msea.2019.138319,53,79,620,0,0,51.79648571,10.5,1170
https://doi.org/10.1016/j.msea.2019.138319,54,88,620,0,0,57.69735117,7.2,1200
https://doi.org/10.1016/j.msea.2019.138319,55,97,620,0,0,63.59821663,6.8,1190
https://doi.org/10.1016/j.msea.2019.138319,56,106,620,0,0,69.49908209,6.3,1185
https://doi.org/10.1016/j.msea.2019.138319,57,88,496,0,0,72.12168896,5.7,1200
https://doi.org/10.1016/j.msea.2019.138319,58,88,558,0,0,64.10816796,6,1200
https://doi.org/10.1016/j.msea.2019.138319,59,88,682,0,0,52.45213742,9.8,1200
https://doi.org/10.1016/j.msea.2019.138319,60,88,744,0,0,48.08112597,10.3,1200
https://doi.org/10.1016/j.mtcomm.2019.02.006,61,200,200,0,0,111.1111111,3.3,1035
https://doi.org/10.1016/j.mtcomm.2019.02.006,62,160,600,500,1,33.33333333,7.6,1206
https://doi.org/10.1016/j.mtcomm.2019.02.006,63,160,600,950,1,33.33333333,8.5,1036
https://doi.org/10.1016/j.mtcomm.2019.02.006,64,175,710,0,0,68.46635368,2,1321
https://doi.org/10.1016/j.mtcomm.2019.02.006,65,250,1600,0,0,86.80555556,7.28,1267
https://doi.org/10.1016/j.mtcomm.2019.02.006,66,250,1600,940,1,19.53125,13.59,948
https://doi.org/10.1016/j.mtcomm.2019.02.006,67,157,225,0,0,139.5555556,7.6,1199
https://doi.org/10.1016/j.mtcomm.2019.02.006,68,157,225,730,2,139.5555556,7,1065
https://doi.org/10.1016/j.jmapro.2021.06.035,69,270,1800,0,0,58.82352941,6.3,1393
https://doi.org/10.1016/j.jmapro.2021.06.035,70,270,1800,670,5,58.82352941,8.9,1247
https://doi.org/10.1016/j.jmapro.2021.06.035,71,270,1800,850,2,58.82352941,10.35,1142
https://doi.org/10.1108/RPJ-02-2016-0022,72,100,700,0,0,63.49206349,3.15,1351
https://doi.org/10.1108/RPJ-02-2016-0022,73,100,700,600,2,63.49206349,3.2,1287
https://doi.org/10.1108/RPJ-02-2016-0022,74,100,700,750,2,63.49206349,3.4,1185
https://doi.org/10.1108/RPJ-02-2016-0022,75,100,700,925,2,63.49206349,12.2,988
https://doi.org/10.1108/RPJ-02-2016-0022,76,100,700,1050,2,63.49206349,9.2,980
https://doi.org/10.3390/ma11040537,77,200,1250,819,4,66.66666667,8,1045
https://doi.org/10.3390/ma11040537,78,200,1250,800,2,66.66666667,5,962
https://doi.org/10.3390/ma11040537,79,200,1250,800,4,66.66666667,11.4,937
https://doi.org/10.3390/ma11040537,80,200,1250,710,2,66.66666667,12,1096
https://doi.org/10.3390/ma11040537,81,160,600,500,3,33.33333333,10,1046
https://doi.org/10.3390/mi13020331,82,170,900,0,0,89.94708995,5.5,1250
https://doi.org/10.3390/mi13020331,83,170,1100,0,0,73.59307359,6.3,1230
https://doi.org/10.3390/mi13020331,84,170,1300,0,0,62.27106227,7.8,1200
https://doi.org/10.3390/mi13020331,85,170,1500,0,0,53.96825397,5.4,1250
https://doi.org/10.3390/mi13020331,86,170,1300,750,2,62.27106227,7,1094
https://doi.org/10.3390/mi13020331,87,170,1300,850,2,62.27106227,11,1055
https://doi.org/10.3390/mi13020331,88,170,1300,950,2,62.27106227,14,1007
https://doi.org/10.3390/mi13020331,89,170,1300,1050,2,62.27106227,11,877
https://doi.org/10.1007/s41230-018-8064-8,90,280,1200,0,0,55.55555556,8.8,1300
https://doi.org/10.1007/s41230-018-8064-8,91,280,1200,650,2,55.55555556,7,1190
https://doi.org/10.1007/s41230-018-8064-8,92,280,1200,800,2,55.55555556,11.8,1100
https://doi.org/10.1007/s41230-018-8064-8,93,280,1200,800,4,55.55555556,14,1100
https://doi.org/10.1007/s41230-018-8064-8,94,280,1200,900,2,55.55555556,13,1000
https://doi.org/10.1016/j.msea.2020.140649,95,100,1400,0,0,22.67573696,3.465,1283.1
https://doi.org/10.1016/j.msea.2020.140649,96,100,1400,0,0,17.00680272,3.9753,1267.02
https://doi.org/10.1016/j.msea.2020.140649,97,100,1400,0,0,13.60544218,5.0617,1225.13
https://doi.org/10.1016/j.msea.2020.140649,98,100,1400,0,0,11.33786848,5.786,1190.6
https://doi.org/10.1016/j.msea.2020.140649,99,100,1400,0,0,9.718172983,6.9547,1178.22
https://doi.org/10.1016/j.msea.2020.140649,100,100,1400,0,0,8.503401361,7.9918,1206.4
https://doi.org/10.1016/j.msea.2020.140649,101,100,1400,0,0,7.558578987,8.6008,1173.11
https://doi.org/10.1016/j.msea.2020.140649,102,100,1400,0,0,6.802721088,8.1893,1105.39
https://doi.org/10.1016/j.msea.2020.140649,103,100,1400,0,0,6.184291899,7.3992,1061.03
https://doi.org/10.1016/j.msea.2020.140649,104,100,1400,0,0,5.66893424,5.8354,1025.28
https://doi.org/10.1016/j.msea.2020.140649,105,100,1400,0,0,5.232862376,4.5185,985.84
https://doi.org/10.1016/j.msea.2020.140649,106,100,1400,0,0,4.859086492,3.6955,924.28
https://doi.org/10.1016/j.jallcom.2018.06.076,107,280,1200,0,0,93.33333333,6,1241
https://doi.org/10.1016/j.jallcom.2018.06.076,108,280,1200,800,2,93.33333333,7,1223
https://doi.org/10.1016/j.jallcom.2018.06.076,109,280,1200,900,2,93.33333333,18,945
https://doi.org/10.1016/j.jallcom.2018.06.076,110,280,1200,920,2,93.33333333,15,933
https://doi.org/10.1016/j.jallcom.2018.06.076,111,280,1200,950,2,93.33333333,12,919
https://doi.org/10.1016/j.jallcom.2018.06.076,112,280,1200,1080,2,93.33333333,4,979
https://doi.org/10.1016/j.msea.2021.142294,113,370,1500,800,2,208,11.46,984
https://doi.org/10.1016/j.msea.2021.142294,114,210,1400,800,2,58.82352941,3.8,1310
https://doi.org/10.1016/j.msea.2021.142294,115,194,1000,800,2,138.5714286,4.2,1268
https://doi.org/10.1016/j.msea.2021.142294,116,120,960,800,2,41.66666667,8.8,1237
https://doi.org/10.3139/146.111615,117,180,720,0,0,40,5.62,1200
