"","V1"
"V1",50
"V2",32
"V3",25
"V4",22
"V5",44
"V6",49
"V7",44
"V8",38
"V9",50
"V10",50
"V11",50
"V12",50
"V13",26
"V14",22
"V15",39
"V16",47
"V17",50
"V18",35
"V19",21
"V20",50
"V21",44
"V22",50
"V23",48
"V24",33
"V25",21
"V26",46
"V27",31
"V28",50
"V29",36
"V30",50
"V31",50
"V32",48
"V33",25
"V34",50
"V35",20
"V36",50
"V37",26
"V38",49
"V39",50
"V40",50
"V41",42
"V42",44
"V43",30
"V44",46
"V45",47
"V46",49
"V47",50
"V48",46
"V49",30
"V50",50
"V51",36
"V52",44
"V53",50
"V54",48
"V55",20
"V56",29
"V57",46
"V58",50
"V59",46
"V60",32
"V61",37
"V62",50
"V63",11
"V64",38
"V65",48
"V66",50
"V67",50
"V68",44
"V69",50
"V70",46
"V71",50
"V72",33
"V73",32
"V74",42
"V75",50
"V76",50
"V77",35
"V78",50
"V79",31
"V80",50
"V81",30
"V82",25
"V83",21
"V84",50
"V85",17
"V86",49
"V87",49
"V88",50
"V89",50
"V90",35
"V91",23
"V92",17
"V93",50
"V94",50
"V95",47
"V96",42
"V97",38
"V98",29
"V99",50
"V100",26
