"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",1501.17,1383.396,1499.4138,1505.708,1466.578,1335.945,1537.543,1485.894,1453.9492,1336.102,1328.007,1399.3491,1471.09,1471.98,1295.7686,1456.9377,1473.078,1506.185,1526.586,1472.462,1420.9827,1442.7714,1487.874,1502.21,1519.8877,1405.393,1511.8398,1449.9277,1483.22,1492.09,1343.494,1355.5475,1334.0328,1312.875,1417.573,1370.031,1342.202,1496.4138,1475.889,1478.002,1502.865,1338.4922,1482.3277,1382.2876,1456.156,1456.434,1403.043,1502.6735,1516.732,1359.1451,1332.3177,1329.014,1399.6676,1419.2025,1536.254,1510.154,1447.438,1499.778,1486.028,1355.7968,1448.907,1423.3386,1509.9872,1331.7348,1410.9959,1363.6885,1433.283,1376.439,1418.613,1401.0098,1399.8141,1478.246,1537.565,1477.654,1424.374,1410.457,1460.724,1452.508,1506.3277,1501.885,1387.8446,1260.0128,1379.58,1392.06,1383.161,1414.2375,1435.41,1444.3086,1536.228,1485.975,1498.2957,1389.0962,1369.596,1384.3405,1526.082,1416.1856,1506.37,1406.551,1390.002,1452.568
"2",1501.17,1554.398,1546.7919,1568.302,1466.578,1335.945,1537.543,1687.208,1453.9492,1565.542,1572.807,1399.3491,1471.09,1471.98,1295.7686,1592.808,1473.078,1679.561,1691.146,1843.64,1420.9827,1730.73,1487.874,1722.054,1656.8,1517.74,1667.9878,1586.84,1843.64,1936.61,1573.03,1786.856,1626.772,1630.043,1417.573,1786.856,1506.991,1496.4138,1533.705,1478.002,1676.373,1602.6538,1482.3277,1645.0576,1487.311,1773.802,1403.043,1502.6735,1672.88,1359.1451,1509.347,1524.566,1847.756,1710.518,1536.254,1677.706,1904.616,1673.178,1826.176,1510.8788,1506.723,1647.18,1509.9872,1857.972,1470.9679,1363.6885,1664.616,1671.049,1676.373,1681.0198,1399.8141,1659.262,1537.565,1477.654,1429.756,1410.457,1875.084,1452.508,1656.648,1771.667,1602.5926,1300.77,1560.596,1874.804,1383.161,1716.454,1435.41,1745.55,1888.52,1605.101,1498.2957,1389.0962,1804.9748,1384.3405,1668.822,1904.616,1571.4,1475.297,1390.002,1525.2658
"3",1949.046,1658.708,1577.4015,1590.456,1673.134,1432.695,1656.669,1687.208,1455.5092,1575.921,1658.43,1847.756,1543.7878,1562.8851,1511.9336,1670.208,1639.134,1776.371,1753.396,1843.64,1594.344,1809.3438,1904.616,1722.054,1685.6876,1780.51,1733.176,1889.63,1843.64,1936.61,1669.84,1786.856,1626.772,1786.856,1843.64,1962.0525,1688.925,1888.52,1557.837,1730.74,1869.932,1804.9748,1544.092,1645.0576,1540.255,1773.802,1665.572,1561.8758,1699.88,1545.8071,1509.347,1524.566,1905.116,1710.518,1591.442,1722.7066,1904.616,1769.988,1879.12,1680.1541,1527.787,1743.99,1572.5812,1857.972,1622.5618,1786.856,1874.804,1680.739,1676.373,1820.3797,1399.8141,1736.662,1656.691,1652.122,1488.8728,1522.5368,1875.084,1838.332,1656.648,1874.804,1786.856,1355.864,1624.9286,1874.804,1573.68,1716.454,1932.018,1745.55,1888.52,1636.196,1563.96,1419.3902,1905.116,1598.4405,1718.202,1904.616,1701.018,1615.173,1857.972,1526.5258
"4",1949.046,1678.148,1703.3053,1741.829,1690.355,1432.695,1949.046,1784.018,1680.6572,1575.921,1658.43,1847.756,1756.4163,1701.5233,1607.1656,1685.408,1646.46,1932.018,1774.046,1952.7778,1713.47,1847.6097,1904.616,1866.99,1690.9775,1788.058,1735.34,1889.63,1843.64,1993.5431,1857.972,1962.0525,1626.772,1786.856,1843.64,1962.0525,1785.735,1888.52,1566.195,1730.74,1927.748,1804.9748,1683.968,1840.9138,1927.748,1783.378,1752.701,1815.718,1701.894,1545.8071,1563.821,1857.972,1927.748,1710.518,1715.754,1740.0255,1904.616,1932.018,1934.263,1691.7231,1543.337,1743.99,1815.451,2019.3735,1756.9618,1786.856,1874.804,1680.739,1932.018,1905.116,1399.8141,1800.9946,1949.046,1656.042,1905.116,1836.1288,1875.084,1893.52,1754.788,1927.748,1962.0525,1402.224,1640.8475,1927.748,1941.07,1787.2331,1932.018,1767.819,1888.52,1904.616,1574.17,1559.9342,1927.748,1598.4405,1718.202,1904.616,1729.312,1648.423,1857.972,1652.4296
"5",1949.046,1705.398,1703.3053,2033.58,1690.355,1433.289,1949.046,1936.61,1708.3012,1786.856,1904.616,1847.756,1756.4163,1719.3985,1857.972,1685.408,1646.46,1932.018,1775.446,1952.7778,1713.47,1963.2917,1904.616,1866.99,1857.0865,1788.058,1736.26,1918.5176,1843.64,2024.1527,1857.972,1962.0525,1626.772,1962.0525,1843.64,1962.0525,1789.383,2031.26,1660.179,1949.046,1934.263,1905.116,1754.108,2009.0158,1927.748,1936.61,1827.676,1955.594,1701.894,1545.8071,1563.821,1857.972,1927.748,1869.932,1715.754,1782.8935,1904.616,2009.0158,1934.263,1760.2181,1677.977,1904.616,1815.451,2019.3735,1756.9618,1962.0525,1874.804,1849.0948,1932.018,1927.748,1565.542,1813.0725,1949.046,1658.792,1905.116,1947.0098,1936.61,1893.52,1754.788,1927.748,1962.0525,1402.224,1775.6695,1934.263,1941.07,1817.8427,1932.018,1767.819,1943.708,1904.616,1678.48,1655.396,1927.748,1598.4405,1718.202,1904.616,1733.062,1667.863,2019.3735,1656.8879
"6",1949.046,1871.9405,1703.3053,2033.58,1749.306,1433.289,1949.046,1993.5431,1710.5332,1962.0525,1904.616,1847.756,1905.5741,1765.3625,2019.3735,1770.558,1647.12,1989.834,1794.996,1955.5372,1719.676,1963.2917,1904.616,1867.47,1857.0865,1905.323,1765.58,1923.8075,1843.64,2024.1527,2019.3735,1998.2835,1636.668,1962.0525,1843.64,2019.3735,1905.116,2031.26,1660.179,1949.046,1934.263,1927.748,1754.108,2009.0158,1927.748,1936.61,1827.676,1955.594,1725.246,1545.8071,1563.821,2019.3735,1927.748,1927.748,1732.7787,1782.8935,1904.616,2009.0158,1934.263,1835.426,1679.617,1904.616,1955.327,2019.3735,2009.0158,1962.0525,1874.804,1850.9348,1932.018,1927.748,1576.423,1813.0725,1949.046,1888.52,1927.748,1947.0098,1936.61,1893.52,1758.2866,1934.263,1962.0525,1498.446,1799.7195,1934.263,2080.946,1820.6021,1932.018,1843.64,1948.663,1904.616,1682.0276,1655.396,1927.748,1739.9583,1718.202,1904.616,1738.158,1669.263,2019.3735,1773.6299
"7",1949.046,1903.7255,1703.3053,2033.58,1912.782,1433.289,1949.046,2024.1527,1710.5332,1962.0525,1904.616,1847.756,1905.5741,1884.0605,2034.9611,1770.558,1742.964,1989.834,1794.996,1955.5372,1755.142,1963.2917,1904.616,1867.47,1857.0865,1905.323,1769.018,1929.8945,1925.108,2024.1527,2019.3735,1998.2835,1637.724,1962.0525,1843.64,2019.3735,1927.748,2031.26,1726.147,1949.046,1934.263,1934.263,1771.028,2024.1527,1927.748,1936.61,1912.782,1988.844,1737.156,1545.8071,1659.6123,2019.3735,1927.748,1927.748,1741.3131,1784.0821,1904.616,2011.7752,1934.263,1836.826,1745.217,1904.616,1959.077,2019.3735,2024.1527,1962.0525,1927.748,1877.9277,1932.018,1927.748,1662.837,1822.5685,1949.046,1888.52,1927.748,1947.0098,1936.61,1934.549,1796.7866,1934.263,2157.3645,1504.566,1894.3675,1934.263,2080.946,1820.6021,1989.834,1925.108,1948.663,1904.616,1692.8529,1837.6805,1927.748,1778.079,1720.2,1904.616,1755.888,1672.023,2019.3735,1773.6299
"8",1949.046,1903.7255,1728.4335,2033.58,2019.3735,1624.969,1949.046,2024.1527,1741.564,1962.0525,1904.616,1847.756,1905.5741,1896.4025,2034.9611,1770.558,1742.964,1989.834,1800.446,1966.0511,1822.703,1963.2917,1904.616,1888.83,1857.0865,1905.323,1769.018,1929.8945,1933.964,2024.1527,2019.3735,1998.2835,1686.212,2019.3735,1925.108,2019.3735,1934.263,2060.1476,1737.635,1949.046,1934.263,1934.263,1772.078,2024.1527,1927.748,1936.61,1912.782,1994.104,1762.698,1545.8071,1671.7755,2019.3735,1934.263,1927.748,1771.2331,1814.8821,1986.084,2011.7752,1934.263,1839.586,1745.777,1986.084,1974.887,2019.3735,2024.1527,2019.3735,1927.748,1888.6667,1932.018,1927.748,1724.1348,1827.2685,1949.046,1961.2178,1989.834,1949.7692,1936.61,1948.663,1829.0866,1934.263,2157.3645,1711.9595,1894.3675,1934.263,2138.1595,1820.6021,1989.834,1925.108,1948.663,1904.616,1701.0609,1837.6805,1934.263,1879.12,1720.2,1904.616,1755.888,1683.863,2019.3735,1773.6299
"9",1949.046,1903.7255,1728.4335,2033.58,2055.6045,1628.479,1949.046,2024.1527,1912.782,1962.0525,1904.616,1847.756,1913.3591,1896.4025,2034.9611,1771.244,1742.964,1989.834,1847.166,1966.0511,1822.703,1963.2917,1904.616,1907.81,1863.1311,1927.748,1880.2715,1945.7555,1939.369,2026.9121,2019.3735,1998.2835,1692.636,2019.3735,1930.513,2019.3735,1934.263,2060.1476,1739.893,1949.046,1934.263,1934.263,1783.878,2024.1527,1934.263,1936.61,1912.782,2026.634,1792.368,1545.8071,1751.7435,2019.3735,1934.263,1934.263,1772.0881,1867.1151,1986.084,2011.7752,1989.834,1876.816,1766.677,1994.94,1974.887,2019.3735,2024.1527,2019.3735,1927.748,1963.2917,1932.018,1927.748,1757.268,1827.2685,1949.046,1961.2178,1989.834,1949.7692,1993.5431,1948.663,1832.8366,1934.263,2157.3645,1711.9595,1894.3675,1934.263,2138.1595,1820.6021,1989.834,1925.108,1948.663,1904.616,1766.1909,1861.7555,1934.263,1879.12,1720.2,1904.616,1892.048,1703.689,2019.3735,1817.5916
"10",1949.046,1903.7255,1793.1215,2068.1535,2055.6045,1822.0315,1949.046,2026.9121,1912.782,1962.0525,1904.616,1874.804,1913.3591,1896.4025,2034.9611,1771.244,1742.964,1989.834,1905.216,1966.0511,1822.703,1963.2917,1904.616,1912.814,1868.4203,1934.263,1880.2715,1947.0055,1939.369,2045.6665,2019.3735,2007.4815,1692.636,2019.3735,1939.369,2019.3735,1934.263,2060.1476,1766.893,1949.046,1989.834,1934.263,1783.878,2024.1527,1934.263,1936.61,1912.782,2055.584,1822.288,1557.1111,1857.0865,2034.9611,1934.263,1934.263,1783.8912,1874.8895,1986.084,2026.9121,1989.834,1895.478,1766.677,1994.94,2043.3715,2019.3735,2024.1527,2019.3735,1934.263,1963.2917,1932.018,1934.263,1759.34,1921.0705,1996.4241,1961.2178,1989.834,1956.2042,2018.3777,1948.663,1903.9766,1934.263,2214.6855,1711.9595,1894.3675,1934.263,2138.1595,1889.2911,1989.834,1957.5167,1948.663,1904.616,1780.2056,1861.7555,1934.263,1920.149,1720.2,1904.616,1894.384,1703.689,2019.3735,1891.918
