"","V1"
"V1",45
"V2",33
"V3",47
"V4",50
"V5",50
"V6",27
"V7",35
"V8",47
"V9",50
"V10",45
"V11",38
"V12",50
"V13",31
"V14",17
"V15",50
"V16",35
"V17",10
"V18",50
"V19",15
"V20",50
"V21",35
"V22",39
"V23",46
"V24",38
"V25",32
"V26",36
"V27",39
"V28",30
"V29",50
"V30",50
"V31",50
"V32",33
"V33",50
"V34",50
"V35",45
"V36",50
"V37",50
"V38",50
"V39",38
"V40",50
"V41",50
"V42",47
"V43",35
"V44",35
"V45",47
"V46",50
"V47",50
"V48",43
"V49",31
"V50",43
"V51",10
"V52",50
"V53",45
"V54",50
"V55",32
"V56",40
"V57",45
"V58",36
"V59",50
"V60",29
"V61",45
"V62",50
"V63",32
"V64",50
"V65",33
"V66",50
"V67",50
"V68",50
"V69",50
"V70",50
"V71",36
"V72",37
"V73",32
"V74",16
"V75",48
"V76",40
"V77",45
"V78",18
"V79",43
"V80",37
"V81",40
"V82",23
"V83",50
"V84",50
"V85",42
"V86",36
"V87",48
"V88",31
"V89",50
"V90",50
"V91",9
"V92",9
"V93",50
"V94",50
"V95",26
"V96",31
"V97",34
"V98",35
"V99",50
"V100",44
