"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",1501.17,1383.396,1499.4138,1505.708,1466.578,1335.945,1537.543,1485.894,1453.9492,1336.102,1328.007,1399.3491,1471.09,1471.98,1295.7686,1456.9377,1473.078,1506.185,1526.586,1472.462,1420.9827,1442.7714,1487.874,1502.21,1519.8877,1405.393,1511.8398,1449.9277,1483.22,1492.09,1343.494,1355.5475,1334.0328,1312.875,1417.573,1370.031,1342.202,1496.4138,1475.889,1478.002,1502.865,1338.4922,1482.3277,1382.2876,1456.156,1456.434,1403.043,1502.6735,1516.732,1359.1451,1332.3177,1329.014,1399.6676,1419.2025,1536.254,1510.154,1447.438,1499.778,1486.028,1355.7968,1448.907,1423.3386,1509.9872,1331.7348,1410.9959,1363.6885,1433.283,1376.439,1418.613,1401.0098,1399.8141,1478.246,1537.565,1477.654,1424.374,1410.457,1460.724,1452.508,1506.3277,1501.885,1387.8446,1260.0128,1379.58,1392.06,1383.161,1414.2375,1435.41,1444.3086,1536.228,1485.975,1498.2957,1389.0962,1369.596,1384.3405,1526.082,1416.1856,1506.37,1406.551,1390.002,1452.568
"2",1501.17,1554.398,1546.7919,1590.456,1466.578,1539.813,1537.543,1490.766,1453.9492,1341.253,1711.9595,1399.3491,1471.09,1471.98,1295.7686,1592.808,1473.078,1768.955,1589.18,1843.64,1420.9827,1521.4268,1487.874,1722.054,1822.8178,1603.987,1576.8698,1509.13,1843.64,1496.962,1517.962,1355.5475,1739.1978,1630.043,1417.573,1370.031,1506.991,1496.4138,1548.639,1478.002,1560.681,1602.6538,1544.092,1645.0576,1509.1,1491.684,1403.043,1502.6735,1682.788,1359.1451,1713.5568,1464.852,1847.756,1419.2025,1536.254,1677.706,1843.64,1577.6878,1538.972,1525.0721,1506.723,1647.18,1509.9872,1857.972,1562.5898,1363.6885,1874.804,1671.049,1418.613,1681.0198,1565.542,1659.262,1537.565,1477.654,1429.756,1410.457,1875.084,1452.508,1809.2578,1771.667,1583.1138,1300.77,1481.77,1715.39,1383.161,1821.304,1435.41,1745.55,1888.52,1605.101,1498.2957,1389.0962,1486.9922,1384.3405,1762.018,1597.2016,1571.4,1475.297,1390.002,1569.31
"3",1528.17,1749.454,1577.4015,1741.829,1673.134,1636.833,1602.573,1490.766,1711.9595,1570.693,1748.1905,1847.756,1543.7878,1518.22,1511.9336,1670.208,1639.134,1776.371,1784.236,1952.7778,1594.344,1527.9644,1590.064,1866.99,1832.5122,1664.712,1706.4878,1613.44,1843.64,1496.962,1532.8453,1355.5475,1748.8922,1786.856,1598.589,1857.972,1775.532,1888.52,1557.837,1730.74,1560.681,1804.9748,1544.092,1840.9138,1776.382,1491.684,1498.847,1561.8758,1739.828,1394.7331,1713.5568,1660.404,1905.116,1710.518,1678.994,1723.906,1952.7778,1840.4578,1927.748,1593.5671,1735.6,1743.99,1572.5812,1857.972,1622.5618,1563.2448,1874.804,1671.049,1932.018,1820.3797,1565.542,1711.762,1602.595,1620.394,1429.756,1507.553,1875.084,1838.332,1818.4978,1874.804,1797.8618,1507.256,1586.08,1768.334,1573.68,1892.182,1932.018,1843.64,1888.52,1636.196,1563.96,1553.6562,1523.8922,1598.4405,1765.05,1655.3416,1701.018,1615.173,1390.002,1642.0078
"4",1529.09,1760.414,1703.3053,2033.58,1690.355,1655.733,1610.273,1779.808,1748.1905,1575.921,1888.0665,1847.756,1756.4163,1666.288,1624.9336,1770.558,1642.092,1869.932,1799.196,1963.2917,1637.184,1560.7165,1719.682,1906.41,1832.5122,1740.581,1714.1878,1621.14,1843.64,1941.482,1532.8453,1570.7471,1748.8922,1857.972,1651.089,1857.972,1905.116,2044.668,1682.149,1730.74,1879.12,1804.9748,1683.968,1846.9018,1776.382,1875.084,1613.2081,1701.7518,1813.748,1546.499,1713.5568,1904.616,1927.748,1710.518,1717.334,1763.326,1963.2917,1947.0098,1927.748,1675.786,1750.744,1843.64,1594.3852,1857.972,1649.3777,1624.6868,1874.804,1839.4048,1932.018,1905.116,1638.342,1760.902,1706.905,1717.018,1429.756,1619.6328,1932.6821,1838.332,1818.4978,1927.748,1947.0098,1854.9345,1647.6305,1879.12,1600.96,1892.182,1932.018,1925.108,1888.52,1703.757,1693.578,1598.4562,1927.748,1598.4405,1765.61,1685.4716,1789.0319,1685.313,1390.002,1767.9116
"5",1594.12,1812.014,1703.3053,2033.58,1690.355,1684.833,1750.149,1838.6521,1748.1905,1786.856,1956.5665,1847.756,1756.4163,1666.288,1671.25,1857.178,1687.592,1927.748,1810.156,1963.2917,1675.664,1571.9593,1807.6959,1907.81,1945.4562,1902.976,1846.861,1689.956,1843.64,1941.482,1532.8453,1697.281,1751.9242,1857.972,1700.229,1857.972,1927.748,2074.5363,1705.109,1949.046,1920.149,1804.9748,1773.0089,1872.5727,1927.748,1875.084,1843.7081,1790.7927,1922.096,1686.375,1819.5088,1904.616,1927.748,1869.932,1718.734,1764.726,1963.2917,1949.7692,1949.7692,1705.636,1771.5568,1925.108,1837.255,1857.972,1783.7777,1947.0098,1947.0098,1845.6148,1932.018,1905.116,1718.802,1763.812,1726.345,1745.9056,1512.864,1619.6328,1957.5167,1893.52,1846.6778,1927.748,1949.7692,1854.9345,1710.6869,1934.263,1796.016,2021.8,1932.018,1955.5372,1943.708,1723.757,1740.328,1680.6716,1927.748,1598.4405,1819.51,1688.4296,1798.5939,1696.273,1596.706,1798.5456
"6",1704.736,1826.974,1703.3053,2033.58,1796.767,1697.433,1762.009,1847.7341,1748.1905,1857.972,1956.5665,1847.756,1757.1183,1666.288,1739.939,1857.178,1728.092,1927.748,1810.196,1963.2917,1680.668,1571.9593,1807.6959,1981.856,1960.4162,1936.296,1847.311,1741.656,1876.148,1994.426,1769.6465,1699.191,1756.7899,1857.972,1701.629,1857.972,1934.263,2074.5363,1705.109,1949.046,1934.263,1905.116,1800.0149,1963.2917,1949.7692,1932.9,1843.9781,1790.7927,1945.2059,1712.375,1819.5088,1904.616,1949.7692,1869.932,1779.25,1776.126,1963.2917,1966.0511,1966.0511,1718.236,1773.7135,1955.5372,1964.599,1857.972,1783.7777,1947.0098,1947.0098,1872.6077,1932.018,1927.748,1748.652,1789.182,1727.745,1748.2546,1512.864,1850.1328,1966.0511,1893.52,1856.0012,1934.263,1949.7692,1948.5075,1710.6869,1934.263,1810.976,2045.74,1932.018,1966.0511,1948.663,1904.616,1763.848,1680.6716,1927.748,1797.9968,1847.804,1700.9096,1798.5939,1696.273,1596.706,1803.8355
"7",1899.792,1853.104,1728.4335,2033.58,1877.4065,1736.173,1762.009,1993.5431,1877.8085,1857.972,1956.7015,1847.756,1906.2761,1795.1335,1857.972,1876.218,1740.692,1934.263,1810.196,1963.2917,1717.898,1651.1299,1834.0589,2004.352,1960.4162,1959.4059,1856.433,1742.416,1933.964,1994.426,1962.0525,1725.931,1768.7579,1857.972,1720.291,1857.972,1934.263,2102.8303,1733.403,1949.046,1934.263,1927.748,1802.7589,1963.2917,1966.0511,1932.9,1843.9781,1817.7987,1945.2059,1795.135,1819.5088,1904.616,1966.0511,1927.748,1805.022,1794.788,1963.2917,1966.0511,1966.0511,1718.886,1794.8819,1966.0511,1964.599,1857.972,1822.4493,1963.2917,1947.0098,1911.2793,1932.018,1927.748,1761.252,1789.182,1801.791,1776.308,1512.864,1947.0098,1966.0511,1893.52,1857.7232,1934.263,1966.0511,1948.5075,1711.3699,1934.263,1856.8829,2045.74,1932.018,1966.0511,1948.663,1904.616,1767.0092,1695.5816,1934.263,1797.9968,1847.804,1700.9096,1826.8879,1710.313,1658.816,1803.8355
"8",1914.752,1921.416,1773.2015,2033.58,1877.4065,1736.213,1798.109,1993.5431,1880.9697,1857.972,2032.0915,1912.782,1906.2761,1795.1335,1857.972,1933.826,1768.382,1934.263,1817.896,1966.0511,1742.048,1866.576,1834.0589,2004.352,1961.5019,1959.4059,1858.155,1753.056,1939.369,1994.426,1962.0525,1744.593,1828.4849,1857.972,1731.691,1857.972,1934.263,2118.5173,1760.796,1949.046,1934.263,1934.263,1802.7589,1963.2917,1966.0511,1938.855,1874.5877,1820.5427,1947.9499,1795.135,1819.5088,1904.616,1966.0511,1934.263,1833.316,1794.788,1963.2917,2062.6751,1966.0511,1718.886,1795.0049,1966.0511,1992.893,1857.972,1822.4493,1963.2917,1947.0098,1911.2793,1932.018,1927.748,1761.852,1807.844,1824.287,1781.282,1628.3001,1947.0098,1966.0511,1893.52,1936.3672,1934.263,1966.0511,1948.5075,1711.3699,1934.263,1859.6269,2074.034,1989.834,1966.0511,1948.663,1904.616,1768.7648,1696.3416,1934.263,1823.6677,1847.804,1856.824,1844.2489,1710.313,1663.696,1820.6295
"9",1914.792,1940.3899,1803.8355,2068.1535,1877.4065,1856.246,1893.7312,1993.5431,1885.4847,1857.972,2032.0915,1912.782,1906.2761,1795.7185,1857.972,1944.466,1769.032,1934.263,1845.286,1966.0511,1824.88,1866.576,1845.2349,2095.232,1961.5019,1962.1499,1858.155,1771.718,1939.369,1994.426,1962.0525,1760.763,1828.4849,1857.972,1731.691,1857.972,2030.887,2118.5173,1762.824,1949.046,1989.834,1934.263,1813.7549,1963.2917,2062.6751,1938.855,1874.5877,1922.2777,1947.9499,1852.9639,1819.5088,1904.616,1966.0511,1934.263,1840.366,1837.738,1966.0511,2062.6751,1966.0511,1771.1346,1798.4079,1966.0511,1994.921,1857.972,1822.4493,1963.2917,1963.2917,1927.3383,1932.018,1927.748,1780.514,1807.844,1826.315,1786.442,1628.3001,1949.7692,1966.0511,1893.52,1937.4529,1934.263,1966.0511,1948.5075,1716.9079,1934.263,1859.6269,2093.034,1989.834,1966.0511,1948.663,1904.616,1795.7428,1852.256,1934.263,1823.6677,1847.804,1856.824,1846.9929,1722.683,1675.326,1820.6295
"10",1918.362,1940.3899,1833.1753,2068.1535,1877.4065,1856.806,1895.8249,1993.5431,1893.6747,1857.972,2044.6915,1912.782,1913.3591,1905.6285,1857.972,1972.76,1805.652,1934.263,1901.9322,1966.0511,1832.48,1866.576,1845.2349,2095.232,1961.5419,1962.1499,1860.2487,1775.738,1939.369,1994.426,2019.3735,1762.6082,1828.4849,1857.972,1780.311,1857.972,2060.803,2118.5173,1762.824,1949.046,1989.834,1934.263,1935.5719,1963.2917,2064.5705,1938.855,1874.5877,1922.2777,1947.9499,1879.9699,1981.3798,1904.616,2062.6751,1934.263,1842.394,1839.5832,1966.0511,2079.0155,1966.0511,1771.1746,1925.9679,1966.0511,1994.921,1857.972,1822.4493,1963.2917,1966.0511,1927.3383,1932.018,1927.748,1800.03,1818.794,1826.315,1786.442,1932.6821,1949.7692,1966.0511,1934.549,1937.4529,1934.263,1966.0511,1969.5675,1716.9079,1934.263,1962.1499,2107.534,1989.834,1966.0511,1948.663,1904.616,1875.1872,1941.536,1934.263,1841.7747,1852.964,2029.504,1849.3289,1722.683,1686.7773,1844.6795
