"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",3199.92856,2833.7612,3207.46944,2838.59976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2429.31524,3256.76376,3109.53212,2777.57616,3176.08136,2434.57904,2749.80412,3240.43896,3113.47616,2514.43324,2789.7914,3264.08976,2188.97404,3186.83936,3174.46976,2785.5176,2728.0956,2460.67388,3114.28988,3244.87636,2464.97476,2705.5264,3264.08976,3107.25212,2660.43656,3057.26652,2378.68576,2451.56724,2951.7761,2822.60016,2541.56056,2755.08396,2518.13164,3212.88056,2435.35924,2407.52064,2397.8126,2650.02824,2844.48562,3246.28536,3121.42016,3149.85176,3054.17952,2807.47176,2471.408,3136.45752,2600.81836,2851.54416,2557.53636,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2694.02536,2807.06736,3070.78456,3298.40116,2507.03644,2822.60016,3046.51136,2312.38016,2876.96256,2712.37896,2771.72616,3005.75692,3107.30112,3162.43944,3244.80216,3234.92716,2523.08604,2803.97716,2476.62248,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,2954.90536
"2",3199.92856,3132.42176,3200.69012,2994.56336,2804.77816,2525.18376,3298.40116,2822.09816,2834.0292,2771.29816,3814.16458,2751.39006,2973.42736,3175.59936,2763.95896,2691.75336,3256.76376,3109.53212,3101.23696,3332.67456,2434.57904,2760.24124,3240.43896,3154.96096,3028.75048,2506.73576,3165.95896,2836.80136,3332.67456,2822.09816,2785.5176,2728.0956,2931.64208,3114.28988,3244.87636,2464.97476,2734.91268,3264.08976,3137.65756,2660.43656,2860.53528,2441.75968,3101.95656,2951.7761,2871.34128,3097.76056,2755.08396,2518.13164,2593.51456,2435.35924,3000.14688,2962.23456,2884.16136,2844.48562,3246.28536,2593.71576,3332.67456,3063.87104,2856.21288,2399.44786,3020.46408,3183.35616,2851.54416,4043.63472,3116.89664,2936.4686,2911.20936,2838.1142,3110.33352,2404.39474,2479.96656,2527.88736,3295.08476,3261.33976,2807.06736,2807.06736,3271.76536,3298.40116,3021.35368,2822.60016,3122.36404,2699.55936,2787.59016,2788.02096,2771.72616,3220.55472,3107.30112,3166.31136,3382.50936,3234.92716,2523.08604,2803.97716,2823.34088,2939.785,2805.91696,2520.13056,3103.08616,3181.87536,2842.3492,3254.91456
"3",3199.92856,2816.72216,3326.86774,3363.41616,2804.77816,2624.35696,3175.20496,2822.09816,3814.16458,2771.29816,3372.47636,2884.16136,2894.41264,3198.86976,3079.35336,2691.75336,2563.92736,3109.53212,3014.98696,3224.37624,2689.67656,3013.62912,3154.09896,2738.63056,3073.35316,2699.12436,2821.99176,2982.03656,3332.67456,2822.09816,2475.16518,2728.0956,2850.27236,3986.06416,2580.24576,4043.63472,2739.46128,3382.50936,2917.08528,3369.56496,2860.53528,2607.85508,3101.95656,3064.32704,2871.34128,3097.76056,2755.08396,3165.95896,2650.55456,2435.35924,3000.14688,3196.58016,2937.31848,3086.56032,2777.91336,2818.19616,3224.37624,3063.87104,2959.95048,2635.42812,3101.69928,3164.75136,3175.20496,4043.63472,3116.89664,3119.04764,2911.20936,2838.1142,3220.55472,2529.22684,2479.96656,2766.55056,3175.20496,2770.51656,2807.06736,2807.06736,3271.76536,3391.75536,3215.51368,2911.20936,3122.36404,2296.85264,2939.85256,2836.76208,3085.73696,3249.08816,3220.55472,3332.67456,3382.50936,3211.31496,3076.01696,2659.78436,2897.27568,2939.785,2866.31176,2772.19056,2821.99176,2813.06616,2842.3492,3105.22144
"4",3199.92856,3099.76896,3326.86774,3419.19136,2816.22416,3041.99376,3286.46336,2822.09816,3372.47636,3039.34936,2849.97716,2884.16136,3354.82844,3093.72576,3043.88316,2792.10336,2563.92736,3209.74872,3014.98696,3234.89014,2777.34816,3371.56036,2779.80776,2989.11816,3073.35316,3027.64776,2829.69176,2989.73656,3332.67456,2926.60736,2475.16518,2497.53586,2850.27236,4043.63472,2766.55056,4043.63472,2937.31848,2694.73016,2899.70576,3369.56496,2970.75648,2607.85508,2813.06616,3084.22544,2871.34128,3271.76536,3233.85412,2817.28456,2936.05376,3140.45756,3000.14688,3342.37056,2959.95048,3086.56032,2993.77656,2989.11816,3234.89014,3218.60824,2959.95048,3027.64776,3116.84328,3332.67456,3318.18796,4043.63472,3146.74494,3119.04764,2911.20936,3108.25484,3220.55472,2937.31848,2600.13696,2947.19256,2982.03656,2770.51656,2807.06736,3099.14924,3345.41012,3391.75536,3215.51368,2959.95048,3218.60824,2756.76004,3183.2148,2970.75648,3216.57536,3249.08816,3220.55472,2957.31048,3382.50936,3260.51556,2659.58336,2836.08636,2959.95048,2939.785,2908.83256,2828.97456,3225.3988,3010.76856,2842.3492,2825.94536
"5",3080.89576,3107.48376,3326.86774,3419.19136,2816.22416,3071.09376,2824.98456,3223.90852,3372.47636,3986.06416,3085.33716,2884.16136,3354.82844,3093.72576,3776.0632,2878.72336,2823.93456,2959.95048,3052.64456,3234.89014,3160.54976,3371.56036,3183.2148,3160.54976,3277.44836,3070.68576,3223.21368,2989.73656,3332.67456,2926.60736,2475.16518,2624.06976,3408.5168,4043.63472,2947.19256,4043.63472,2959.95048,2813.36006,2964.62656,3391.75536,2970.75648,2607.85508,3221.1804,3156.32594,2959.95048,3271.76536,3233.85412,3225.3988,3104.00576,2629.56576,3106.09888,3342.37056,2959.95048,3209.74872,3160.54976,3160.54976,3234.89014,2981.97168,2981.97168,3057.49776,3173.32968,2957.31048,3318.18796,4043.63472,3146.74494,3218.60824,3218.60824,3108.25484,3220.55472,2937.31848,3027.64776,2960.23416,3075.29856,2984.32416,2807.06736,3099.14924,2989.71918,2985.15648,3270.35288,2959.95048,2981.97168,2756.76004,3183.2148,2970.75648,2854.54816,2731.29616,3220.55472,3042.03728,2975.91048,3260.51556,2604.97496,2955.67656,2959.95048,2939.785,3044.73696,2828.97456,3225.3988,3048.42616,3115.06216,2984.32416
"6",3088.29256,3107.48376,3326.86774,3419.19136,3161.96316,3211.25616,2672.26576,3223.90852,3372.47636,4043.63472,3085.33716,2884.16136,3355.53044,3093.72576,3740.2534,2878.72336,2864.43456,2959.95048,3052.64456,3234.89014,3173.44136,3371.56036,3183.2148,3160.54976,3277.44836,3104.00576,3251.55168,3038.85576,3215.96472,2975.34848,3631.12228,2828.63256,3400.1428,4043.63472,3160.54976,4043.63472,2970.75648,2813.36006,2964.62656,3391.75536,2970.75648,2937.31848,3221.1804,3234.89014,2981.97168,2965.10248,3233.85412,3225.3988,3254.67806,2848.92256,3106.09888,3342.37056,2981.97168,3209.74872,3225.00776,3160.54976,3234.89014,3134.4954,3134.4954,3197.66016,3291.49238,3042.03728,2676.94296,4043.63472,3146.74494,3218.60824,3218.60824,3135.24774,3220.55472,2959.95048,3057.49776,2985.60416,3197.02016,3072.26664,2807.06736,3099.14924,3134.4954,2985.15648,3270.35288,2970.75648,2981.97168,2850.33304,3183.2148,2970.75648,2961.24656,2797.19696,3220.55472,3134.4954,2985.15648,3342.37056,2670.45576,2955.67656,2959.95048,3122.36404,3044.73696,2983.08816,3225.3988,3048.42616,3115.06216,3033.87828
"7",3014.98696,3133.61376,3326.86774,3419.19136,3264.34246,3225.00776,2672.26576,3354.99112,2854.68436,4043.63472,3086.39176,2884.16136,3355.53044,3357.76976,4043.63472,3178.18976,3004.59696,2970.75648,3052.64456,3234.89014,2865.94976,3371.56036,3183.2148,3160.54976,3277.44836,3254.67806,3035.60656,3038.85576,3020.46408,2975.34848,3737.44388,2855.37256,3400.1428,4043.63472,3160.54976,4043.63472,2970.75648,2813.36006,2964.62656,3391.75536,2970.75648,2959.95048,3164.15746,3234.89014,3134.4954,2965.10248,3233.85412,3225.3988,3254.67806,2738.32576,3106.09888,3342.37056,3134.4954,2959.95048,3225.00776,3160.54976,3234.89014,3134.4954,3134.4954,3225.00776,3291.49238,3134.4954,2676.94296,4043.63472,3149.64066,3234.89014,3218.60824,3138.14346,3220.55472,2959.95048,3197.66016,2985.60416,3197.02016,3014.72656,2807.06736,3218.60824,3134.4954,2985.15648,3270.35288,2970.75648,3134.4954,2850.33304,3183.2148,2970.75648,3134.71586,2797.19696,3220.55472,3134.4954,2985.15648,3342.37056,2670.45576,2970.58656,2970.75648,3122.36404,3044.73696,2983.08816,3225.3988,3140.50656,3115.06216,3033.87828
"8",3014.98696,3238.44816,3326.86774,3419.19136,3264.34246,3225.00776,2936.86416,3354.99112,2854.68436,4043.63472,3160.86216,2897.90736,3355.53044,3357.76976,4043.63472,3178.18976,3058.98456,2970.75648,3060.34456,3134.4954,3059.07616,3560.04736,3183.2148,3160.54976,3411.45458,3254.67806,3079.28936,3038.85576,3020.46408,2975.34848,3737.44388,2855.37256,3291.49238,4043.63472,3160.54976,4043.63472,2970.75648,3117.41066,3115.35008,3391.75536,2970.75648,2970.75648,3164.15746,3234.89014,3134.4954,2975.34848,3135.24774,3164.15746,3284.11966,2738.32576,3106.09888,3342.37056,3134.4954,2970.75648,3225.00776,3160.54976,3234.89014,3033.87828,3134.4954,3225.00776,3291.49238,3134.4954,2676.94296,4043.63472,3149.64066,3234.89014,3218.60824,3138.14346,3220.55472,2959.95048,3197.66016,2985.60416,3197.02016,3027.58816,3199.77892,3218.60824,3134.4954,2985.15648,3193.20296,2970.75648,3134.4954,2850.33304,3183.2148,2970.75648,3164.15746,2797.19696,2970.75648,3134.4954,2985.15648,3342.37056,2972.67776,2970.58656,2970.75648,3156.32594,3044.73696,2983.08816,3225.3988,3140.50656,3115.06216,3285.42108
"9",3014.98696,3284.11966,3033.87828,3453.76486,3264.34246,3225.00776,3032.48636,3354.99112,3376.99136,4043.63472,3160.86216,2897.90736,3355.53044,3358.35476,4043.63472,3178.18976,3225.00776,2970.75648,3109.46376,3134.4954,3076.22496,3560.04736,3194.3908,3132.78216,3411.45458,3284.11966,3079.28936,3038.85576,3020.46408,2975.34848,3737.44388,2916.50056,3291.49238,4043.63472,3160.54976,4043.63472,2959.20216,3117.41066,3115.35008,3391.75536,2970.75648,2970.75648,3262.94986,3234.89014,3033.87828,2975.34848,3135.24774,3284.11966,3284.11966,3064.82666,3106.09888,3342.37056,3134.4954,2970.75648,3150.43616,3204.00776,3134.4954,3033.87828,3134.4954,3213.97536,3291.49238,3134.4954,2676.94296,4043.63472,3149.64066,3234.89014,3234.89014,3138.14346,3220.55472,2959.95048,3197.66016,2985.60416,3197.02016,3061.17536,3199.77892,2981.97168,3134.4954,2985.15648,3411.45458,2970.75648,3134.4954,2850.33304,3304.7588,2970.75648,3164.15746,2980.71456,2970.75648,3134.4954,2985.15648,3342.37056,2972.67776,2970.58656,2970.75648,3156.32594,3044.73696,2983.08816,3164.15746,3074.83616,3126.69216,3285.42108
"10",3014.98696,3284.11966,3063.21808,3453.76486,3264.34246,3225.00776,3298.54898,3354.99112,3173.38456,4043.63472,3160.86216,2897.90736,3362.61344,3358.35476,4043.63472,3178.18976,3176.05736,2970.75648,3272.33288,3134.4954,3110.52256,3560.04736,3194.3908,3132.78216,3411.45458,3284.11966,3298.54898,3042.87576,3020.46408,2975.34848,3743.48488,2916.50056,3291.49238,4043.63472,3160.54976,4043.63472,2989.11816,3117.41066,3115.35008,3391.75536,2970.75648,2970.75648,3284.11966,3234.89014,3168.96608,2975.34848,3135.24774,3284.11966,3284.11966,3219.39506,2590.05928,3342.37056,3033.87828,2970.75648,3150.43616,3204.00776,3134.4954,3285.42108,3134.4954,3213.97536,3411.45458,3134.4954,2676.94296,4043.63472,3149.64066,3234.89014,3134.4954,3138.14346,3220.55472,2959.95048,3197.66016,2985.60416,3197.02016,3061.17536,3345.41012,2981.97168,3134.4954,2985.15648,3411.45458,2970.75648,3134.4954,2918.14936,3304.7588,2970.75648,3284.11966,3013.67456,2970.75648,3134.4954,2985.15648,3342.37056,3052.12216,3087.75456,2970.75648,3185.06894,3078.32416,3090.18096,3164.15746,3074.83616,3138.14346,3285.42108
