"","V1"
"V1",50
"V2",25
"V3",50
"V4",7
"V5",17
"V6",18
"V7",50
"V8",47
"V9",16
"V10",44
"V11",22
"V12",50
"V13",50
"V14",27
"V15",50
"V16",27
"V17",50
"V18",50
"V19",11
"V20",50
"V21",27
"V22",50
"V23",50
"V24",50
"V25",28
"V26",30
"V27",50
"V28",13
"V29",50
"V30",50
"V31",50
"V32",50
"V33",23
"V34",49
"V35",50
"V36",50
"V37",45
"V38",50
"V39",14
"V40",50
"V41",50
"V42",50
"V43",24
"V44",50
"V45",30
"V46",50
"V47",50
"V48",21
"V49",50
"V50",20
"V51",24
"V52",49
"V53",50
"V54",50
"V55",50
"V56",47
"V57",50
"V58",49
"V59",50
"V60",23
"V61",36
"V62",50
"V63",8
"V64",50
"V65",17
"V66",50
"V67",41
"V68",42
"V69",50
"V70",45
"V71",23
"V72",50
"V73",24
"V74",50
"V75",50
"V76",22
"V77",50
"V78",50
"V79",26
"V80",50
"V81",47
"V82",20
"V83",50
"V84",50
"V85",31
"V86",16
"V87",50
"V88",50
"V89",50
"V90",50
"V91",22
"V92",14
"V93",50
"V94",50
"V95",50
"V96",40
"V97",50
"V98",50
"V99",47
"V100",50
