"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",1501.17,1383.396,1499.4138,1505.708,1466.578,1335.945,1537.543,1485.894,1453.9492,1336.102,1328.007,1399.3491,1471.09,1471.98,1295.7686,1456.9377,1473.078,1506.185,1526.586,1472.462,1420.9827,1442.7714,1487.874,1502.21,1519.8877,1405.393,1511.8398,1449.9277,1483.22,1492.09,1343.494,1355.5475,1334.0328,1312.875,1417.573,1370.031,1342.202,1496.4138,1475.889,1478.002,1502.865,1338.4922,1482.3277,1382.2876,1456.156,1456.434,1403.043,1502.6735,1516.732,1359.1451,1332.3177,1329.014,1399.6676,1419.2025,1536.254,1510.154,1447.438,1499.778,1486.028,1355.7968,1448.907,1423.3386,1509.9872,1331.7348,1410.9959,1363.6885,1433.283,1376.439,1418.613,1401.0098,1399.8141,1478.246,1537.565,1477.654,1424.374,1410.457,1460.724,1452.508,1506.3277,1501.885,1387.8446,1260.0128,1379.58,1392.06,1383.161,1414.2375,1435.41,1444.3086,1536.228,1485.975,1498.2957,1389.0962,1369.596,1384.3405,1526.082,1416.1856,1506.37,1406.551,1390.002,1452.568
"2",1501.17,1554.398,1546.7919,1590.456,1466.578,1539.813,1537.543,1490.766,1453.9492,1341.253,1711.9595,1399.3491,1471.09,1471.98,1295.7686,1592.808,1473.078,1768.955,1589.18,1843.64,1420.9827,1521.4268,1487.874,1722.054,1822.8178,1603.987,1576.8698,1509.13,1843.64,1496.962,1517.962,1355.5475,1739.1978,1630.043,1417.573,1370.031,1506.991,1496.4138,1548.639,1478.002,1560.681,1602.6538,1544.092,1645.0576,1509.1,1491.684,1403.043,1502.6735,1682.788,1359.1451,1713.5568,1464.852,1847.756,1419.2025,1536.254,1677.706,1843.64,1577.6878,1538.972,1525.0721,1506.723,1647.18,1509.9872,1857.972,1562.5898,1363.6885,1874.804,1671.049,1418.613,1681.0198,1565.542,1659.262,1537.565,1477.654,1429.756,1410.457,1875.084,1452.508,1809.2578,1771.667,1583.1138,1300.77,1481.77,1715.39,1383.161,1821.304,1435.41,1745.55,1888.52,1605.101,1498.2957,1389.0962,1486.9922,1384.3405,1762.018,1597.2016,1571.4,1475.297,1390.002,1569.31
"3",1528.17,1694.274,1546.7919,1590.456,1673.134,1636.833,1602.573,1490.766,1711.9595,1346.481,1748.1905,1847.756,1543.7878,1518.22,1511.9336,1600.032,1639.134,1776.371,1729.056,1843.64,1594.344,1527.9644,1590.064,1722.054,1825.7095,1694.97,1706.4878,1649.006,1843.64,1780.806,1532.8453,1355.5475,1773.2538,1786.856,1598.589,1857.972,1775.532,1888.52,1557.837,1730.74,1560.681,1602.6538,1570.472,1840.9138,1776.382,1875.084,1498.847,1561.8758,1689.228,1394.7331,1734.7252,1612.92,1905.116,1710.518,1678.994,1722.7066,1843.64,1840.4578,1927.748,1680.3786,1527.787,1696.88,1572.5812,1857.972,1589.4057,1563.2448,1874.804,1671.049,1932.018,1820.3797,1638.342,1736.662,1602.595,1620.394,1488.8728,1507.553,1875.084,1838.332,1830.4262,1874.804,1947.0098,1525.138,1586.08,1768.334,1573.68,1879.12,1932.018,1843.64,1888.52,1636.196,1563.96,1553.6562,1523.8922,1598.4405,1762.018,1661.5342,1675.71,1615.173,1390.002,1642.0078
"4",1529.09,1805.184,1546.7919,1590.456,1690.355,1655.733,1742.449,1637.108,1748.1905,1529.2698,1888.0665,1847.756,1756.4163,1666.288,1607.1656,1719.232,1646.46,1869.932,1762.306,1843.64,1674.264,1560.7165,1719.682,1866.99,1846.8779,1755.695,1771.676,1686.246,1843.64,1780.806,1539.3913,1570.7471,1775.4105,1905.116,1734.039,1857.972,1905.116,1888.52,1557.837,1730.74,1734.189,1629.2181,1710.348,1846.9018,1776.382,1875.084,1613.2081,1814.8436,1691.242,1546.499,1734.7252,1612.92,1927.748,1710.518,1678.994,1740.0255,1843.64,1947.0098,1927.748,1702.5786,1543.337,1696.88,1594.3852,1857.972,1688.3355,1624.6868,1874.804,1839.4048,1932.018,1905.116,1718.802,1800.9946,1706.905,1649.2816,1767.0768,1619.6328,1875.084,1893.52,1833.9122,1927.748,1949.7692,1856.3585,1634.762,1879.12,1713.556,1901.38,1932.018,1843.64,1888.52,1703.757,1591.72,1598.4562,1927.748,1598.4405,1762.018,1783.0186,2057.86,1648.423,1390.002,1767.9116
"5",1594.12,1805.184,1664.1681,1682.04,1690.355,1694.473,1746.199,1941.482,1748.1905,1552.7537,1888.0665,1847.756,1756.4163,1666.288,1652.138,1719.232,1646.46,1927.748,1763.066,1925.108,1675.664,1640.8301,1719.682,1866.99,1850.3639,1762.04,1773.84,1713.816,1843.64,1941.482,1539.6913,1866.4215,1796.5789,1905.116,1734.879,1857.972,1927.748,1888.52,1682.149,1789.17,1927.748,1804.9748,1740.168,1872.5727,1879.12,1936.61,1613.2081,1836.012,1691.242,1686.375,1738.2112,1612.92,1927.748,1710.518,1701.0083,1958.1815,1843.64,1949.7692,1934.263,1706.9786,1677.977,1696.88,1594.3852,1857.972,1694.4225,1650.3577,1874.804,1845.6148,1932.018,1905.116,1720.202,1813.0725,1726.345,1823.7496,1905.116,1645.3037,1936.61,1893.52,1850.8522,1934.263,1949.7692,1856.3585,1636.274,1934.263,1739.556,1901.38,1932.018,1925.108,1888.52,1723.757,1731.596,1657.937,1927.748,1598.4405,1762.018,1795.1885,2057.86,1673.929,1596.706,1773.2015
"6",1704.736,1805.184,1911.6443,1817.776,1796.767,1697.233,1762.009,1941.482,1760.7395,1555.5131,1921.3165,1847.756,1756.4163,1666.288,1689.624,1748.352,1647.12,1927.748,1766.816,1925.108,1680.668,1640.8301,1751.982,1867.47,1866.5689,1762.04,1779.0536,1716.5292,1843.64,1941.482,1539.6913,1866.4215,1800.0649,1927.748,1734.879,1857.972,1934.263,2031.26,1705.109,1949.046,1927.748,1804.9748,1741.878,1963.2917,1934.263,1936.61,1643.8177,1838.1687,1715.014,1712.375,1793.1392,1612.92,1934.263,1869.932,1713.1715,1958.1815,1843.64,1949.7692,1934.263,1738.3766,1679.617,1696.88,1685.1292,1857.972,1722.6493,1963.2917,1874.804,1872.6077,1932.018,1927.748,1722.962,1813.0725,1730.095,1823.7496,1927.748,1645.3037,1936.61,1893.52,1850.8522,1934.263,1949.7692,1941.2735,2051.652,1934.263,1888.0665,1928.122,1932.018,1925.108,1893.475,1904.616,1735.916,1676.599,1934.263,1797.9968,1762.018,1795.1885,2057.86,1693.369,1596.706,1778.4215
"7",1704.736,1823.846,1911.6443,1817.776,1877.4065,1734.747,1798.109,1941.482,1888.0835,1784.9531,1953.8515,1847.756,1756.4163,1690.338,1857.972,1803.744,1647.12,1934.263,1842.886,1933.964,1717.898,1640.8301,1751.982,1867.47,1866.5689,1787.244,1779.0536,1726.0292,1843.64,1994.426,1548.4999,1866.4215,1800.0649,1927.748,1769.971,1857.972,1934.263,2031.26,1732.502,1949.046,1934.263,1905.116,1862.198,1963.2917,1934.263,1936.61,1643.8177,1841.6547,2028.16,1795.135,1793.1392,1624.2793,1934.263,1927.748,1832.2975,1958.1815,1925.108,1949.7692,1934.263,1827.4175,1687.407,1904.616,1685.1292,1857.972,1722.6493,1963.2917,1947.0098,1872.6077,1932.018,1927.748,1761.61,1826.9225,1807.495,1919.9476,1934.263,1683.9753,1936.61,1934.549,1850.8522,1934.263,1949.7692,1969.5675,2051.652,1934.263,1898.3715,1928.122,1932.018,1925.108,1948.663,1904.616,1764.146,1742.874,1934.263,1797.9968,2074.268,1795.1885,2057.86,1693.369,1658.816,1778.4215
"8",1899.792,1823.846,1923.8075,1850.704,1877.4065,1820.456,1917.235,1941.482,1888.0835,1784.9531,1982.8015,1847.756,1756.4163,1795.1335,1857.972,1893.176,1742.964,1934.263,1842.886,1955.5372,1744.608,1643.5895,1763.842,1867.47,1866.5689,1836.004,1779.0536,1745.3892,1843.64,1994.426,1548.8119,1866.4215,1800.0649,1927.748,2010.01,1857.972,1956.2042,2040.332,1747.924,1949.046,1934.263,1927.748,1909.758,1963.2917,1934.263,1936.61,1643.8177,1841.6547,2083.303,1795.135,1817.2892,1684.2693,1934.263,1927.748,1832.9635,1958.1815,1925.108,1966.0511,1956.2042,1874.7935,1753.007,1904.616,1817.776,1857.972,1722.6493,1963.2917,1963.2917,1911.2793,1932.018,1934.263,1792.83,1826.9225,1807.495,1919.9476,1934.263,1683.9753,1936.61,1948.663,1949.9762,1934.263,1966.0511,1969.5675,2051.652,1934.263,1901.0847,1928.122,1989.834,1925.108,1948.663,1904.616,1924.536,1833.358,1934.263,1823.6677,2074.268,1894.3675,2059.372,1694.769,1658.816,2092.4115
"9",1899.792,1823.846,1923.8075,1850.704,1889.9555,1851.676,1917.235,1941.482,1894.3835,1966.0511,1982.9315,1874.804,1756.4163,1795.1335,1857.972,1928.216,1825.508,1934.263,1845.5992,1955.5372,1800,1648.4695,1767.3896,1903.71,1866.6089,1836.004,1860.6596,1746.1192,1925.108,1994.426,1548.8119,1866.4215,1800.0649,1934.263,2018.866,1857.972,1971.3411,2060.6012,1751.0852,1949.046,1934.263,1934.263,1910.318,1963.2917,2030.887,1936.61,1874.3177,1841.6547,2083.303,1850.155,1817.2892,1684.2693,1934.263,1927.748,1832.9635,1958.1815,1986.084,1966.0511,1971.3411,1878.2795,2120.42,1904.616,1850.704,1857.972,1731.1193,1963.2917,1963.2917,1911.2793,1932.018,1934.263,1800.43,1826.9225,1807.495,1919.9476,1989.834,1683.9753,1994.426,1948.663,1949.9762,1956.2042,1966.0511,2026.1775,2051.652,1934.263,1902.7647,1935.8752,1989.834,1925.108,1948.663,1904.616,1940.116,1866.308,1934.263,1823.6677,2080.4,1894.3675,2059.372,1694.769,1681.8973,2092.4115
"10",1911.552,1970.5535,2065.4375,1850.704,1889.9555,1859.276,1992.1585,1941.482,1922.6775,1966.0511,2032.0915,1927.748,1756.4163,1795.1335,1857.972,1943.176,1825.508,1934.263,1845.5992,1955.5372,1835.04,1966.4795,1886.5156,1905.5536,1866.6089,1836.004,1940.7091,1746.1192,1933.964,1994.426,1554.2839,1866.4215,1800.1049,1934.263,2018.866,1857.972,1971.3411,2060.6012,1768.6852,1949.046,1934.263,1934.263,1928.98,1963.2917,2030.887,1936.61,1877.0771,1943.3897,2083.303,1850.155,1819.4459,1823.4693,1934.263,1927.748,1837.9215,2099.5025,1986.084,1971.3411,1971.3411,1878.3195,2120.42,1904.616,1850.704,2009.0158,1773.06,2001.9633,1966.0511,1911.2793,1932.018,1934.263,1853.35,1832.5625,1898.6435,2120.6736,1989.834,1683.9753,2018.3777,1948.663,1949.9762,1971.3411,1966.0511,2045.8725,2051.652,1934.263,1920.5587,1935.8752,1989.834,1933.964,1948.663,1904.616,2026.546,1866.308,1934.263,1823.6677,2080.4,1894.3675,2059.372,1694.769,1681.8973,2092.4115
