"","V1"
"V1",50
"V2",32
"V3",50
"V4",48
"V5",50
"V6",50
"V7",50
"V8",40
"V9",50
"V10",50
"V11",50
"V12",46
"V13",39
"V14",50
"V15",50
"V16",50
"V17",48
"V18",49
"V19",18
"V20",50
"V21",50
"V22",10
"V23",50
"V24",50
"V25",45
"V26",39
"V27",26
"V28",48
"V29",50
"V30",50
"V31",50
"V32",43
"V33",46
"V34",50
"V35",50
"V36",50
"V37",50
"V38",50
"V39",50
"V40",50
"V41",45
"V42",50
"V43",43
"V44",49
"V45",40
"V46",50
"V47",50
"V48",49
"V49",48
"V50",50
"V51",50
"V52",50
"V53",50
"V54",50
"V55",28
"V56",47
"V57",50
"V58",50
"V59",50
"V60",50
"V61",50
"V62",43
"V63",13
"V64",48
"V65",34
"V66",50
"V67",45
"V68",50
"V69",32
"V70",50
"V71",50
"V72",50
"V73",50
"V74",50
"V75",50
"V76",34
"V77",24
"V78",50
"V79",50
"V80",50
"V81",50
"V82",39
"V83",31
"V84",50
"V85",44
"V86",47
"V87",50
"V88",38
"V89",50
"V90",50
"V91",32
"V92",50
"V93",50
"V94",50
"V95",39
"V96",50
"V97",35
"V98",50
"V99",50
"V100",23
