"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",1501.17,1383.396,1499.4138,1505.708,1466.578,1335.945,1537.543,1485.894,1453.9492,1336.102,1328.007,1399.3491,1471.09,1471.98,1295.7686,1456.9377,1473.078,1506.185,1526.586,1472.462,1420.9827,1442.7714,1487.874,1502.21,1519.8877,1405.393,1511.8398,1449.9277,1483.22,1492.09,1343.494,1355.5475,1334.0328,1312.875,1417.573,1370.031,1342.202,1496.4138,1475.889,1478.002,1502.865,1338.4922,1482.3277,1382.2876,1456.156,1456.434,1403.043,1502.6735,1516.732,1359.1451,1332.3177,1329.014,1399.6676,1419.2025,1536.254,1510.154,1447.438,1499.778,1486.028,1355.7968,1448.907,1423.3386,1509.9872,1331.7348,1410.9959,1363.6885,1433.283,1376.439,1418.613,1401.0098,1399.8141,1478.246,1537.565,1477.654,1424.374,1410.457,1460.724,1452.508,1506.3277,1501.885,1387.8446,1260.0128,1379.58,1392.06,1383.161,1414.2375,1435.41,1444.3086,1536.228,1485.975,1498.2957,1389.0962,1369.596,1384.3405,1526.082,1416.1856,1506.37,1406.551,1390.002,1452.568
"2",1501.17,1554.398,1569.31,1590.456,1466.578,1857.972,1537.543,1687.208,1453.9492,1565.542,1857.972,1399.3491,1471.09,1471.98,1511.9336,1534.3377,1568.922,1768.955,1589.18,1843.64,1420.9827,1529.6785,1487.874,1722.054,1680.116,1792.976,1576.8698,1610.156,1843.64,1936.61,1573.03,1355.5475,1519.092,1857.972,1417.573,1786.856,1506.991,1496.4138,1533.705,1489.324,1560.681,1602.6538,1943.5917,1593.986,1487.311,1491.684,1403.043,1502.6735,1581.762,1359.1451,1509.347,1524.566,1687.848,1710.518,1536.254,1655.09,1904.616,1577.6878,1826.176,1480.1622,1506.723,1725.75,1509.9872,1857.972,1548.8119,1502.4805,1936.89,1583.929,1676.373,1681.0198,1498.822,1659.262,1537.565,1477.654,1912.782,1847.756,1460.724,1452.508,1666.556,1771.667,1602.5926,1300.77,1550.888,1874.804,1520.334,1472.0535,1435.41,1745.55,1888.52,1605.101,1498.2957,1389.0962,1804.9748,1384.3405,1591.112,1525.3234,1571.4,1551.487,1390.002,1608.716
"3",1528.17,1617.27,1574.53,1590.456,1673.134,1857.972,1577.635,1687.208,1595.3012,1565.542,1857.972,1847.756,1471.09,1562.8851,1607.1656,1852.4297,1651.466,1776.371,1729.056,1843.64,1888.6107,1560.2881,1793.902,1722.054,1680.116,1905.323,1706.4878,1676.036,1843.64,1936.61,1669.84,1361.6245,1519.092,1857.972,1703.073,1786.856,1775.532,1888.52,1533.705,1750.553,1560.681,1602.6538,1943.5917,1624.5893,1540.255,1875.084,1665.572,1561.8758,1711.38,1545.8071,1509.347,1524.566,1712.738,1710.518,1678.994,1685.4256,1904.616,1605.8777,1879.12,1888.6107,1884.226,1843.64,1572.5812,1857.972,1552.7319,1502.4805,1936.89,1680.739,1676.373,1820.3797,1636.638,1723.5946,1656.691,1477.654,1912.782,1847.756,1637.109,1838.332,1669.328,1793.702,1602.5926,1572.746,1614.6216,1874.804,1615.566,1774.27,1677.33,1843.64,1888.52,1904.616,1563.96,1412.3432,1804.9748,1786.856,1720.73,1537.4933,1701.018,1589.854,1587.268,1725.458
"4",1529.09,1699.814,1621.9081,1760.7395,1690.355,1857.972,1660.179,1688.972,1690.5332,1567.306,1857.972,1847.756,1471.09,1701.5233,1652.138,1852.4297,1658.792,1932.018,1762.306,1925.108,1888.6107,1560.7403,1826.41,1875.084,1683.7452,1905.323,1770.896,1676.036,1843.64,1936.61,1857.972,1747.258,1945.478,1857.972,1843.64,1786.856,1785.735,1888.52,1533.705,1799.67,1734.189,1804.9748,1943.5917,1625.3285,1927.748,1875.084,1752.701,1815.718,1735.32,1550.2471,1813.421,1857.972,1912.782,1869.932,1678.994,1903.5816,1904.616,1868.6477,1920.149,1888.6107,1925.255,1843.64,1815.451,1857.972,1605.5479,1786.856,1936.89,1681.027,1677.33,1876.9137,1641.83,1735.6725,1660.123,1652.122,1912.782,1874.804,1732.341,1893.52,1669.994,1874.804,1786.856,1776.8565,1630.5405,1927.748,1656.386,1774.27,1932.018,1843.64,1888.52,1904.616,1693.578,1677.053,1905.116,1786.856,1720.73,1537.4933,1729.312,1644.65,1857.972,1767.9116
"5",1530.78,1700.042,1652.5177,1760.7395,1749.306,1857.972,1660.179,1689.404,1721.564,1857.972,1857.972,1847.756,1477.46,1719.3985,1689.624,1879.4777,1658.792,1932.018,1766.056,1925.108,1888.6107,1571.9831,1884.226,1875.084,1916.24,1905.323,1853.44,1681.1873,1843.64,1936.61,1857.972,1858.948,1988.856,1857.972,1843.64,1869.932,1905.116,1888.52,1533.705,1799.67,1927.748,1804.9748,1943.5917,1625.3285,1934.263,1875.084,1752.701,1824.916,2107.108,1550.5311,1813.421,1857.972,1912.782,1869.932,1701.0083,1920.9005,1904.616,2024.1527,1934.263,1888.6107,1925.255,1843.64,1815.451,1857.972,1757.1418,1786.856,1936.89,1702.323,1677.33,1876.9137,1644.0108,1813.0725,1660.407,1656.042,1912.782,1881.319,1753.792,1893.52,1742.964,1936.89,1869.932,1776.8565,1765.3625,1927.748,1689.624,1812.0677,1932.018,1925.108,1888.52,1904.616,1698.7916,1677.053,1905.116,1786.856,1769.33,1817.8427,1733.062,1644.65,1857.972,1773.2015
"6",1838.332,1804.352,1652.5177,1760.7395,1912.782,1857.972,1660.407,1689.632,1749.306,1857.972,1857.972,1847.756,1569.31,1765.3625,1857.972,1927.748,1659.452,1932.018,1842.126,1925.108,1888.6107,1579.0301,1925.255,1932.9,1916.24,1905.323,1854.1,1681.1873,1843.64,1936.61,1857.972,1914.091,2013.76,1857.972,1843.64,1869.932,1927.748,1888.52,1534.849,1949.046,1927.748,1804.9748,1943.5917,1625.3285,1934.263,1875.084,1912.782,1824.916,2107.108,1582.4801,1982.3,1857.972,1912.782,1869.932,1713.1715,2062.2215,1904.616,2024.1527,1934.263,1888.6107,1994.94,1843.64,1819.201,1857.972,1757.1418,1786.856,1936.89,1857.972,1677.564,1876.9137,1648.472,1826.9225,1713.223,1658.792,1912.782,1934.263,1775.934,1893.52,1825.508,1936.89,1876.447,1776.8565,1771.1855,1927.748,1857.972,1820.6021,1932.018,1925.108,1893.475,1904.616,1719.8269,1848.395,1927.748,1786.856,1851.874,2024.1527,1738.158,1659.805,1857.972,1773.2015
"7",1981.072,1804.352,1652.5177,1760.7395,1912.782,1857.972,1660.407,1786.442,1912.782,1857.972,1857.972,1847.756,1574.53,1771.1855,1857.972,1927.748,1659.452,1932.018,1972.5415,1925.108,1888.6107,1604.8905,1925.255,1932.9,1916.24,1969.662,1854.1,1681.1873,1843.64,1936.61,1857.972,1934.263,2013.76,1857.972,1843.64,1876.447,1927.748,1943.708,1535.161,1949.046,1927.748,1816.9248,1943.5917,2045.6665,1934.263,1875.084,1912.782,1824.916,2112.063,1891.4791,1982.3,1857.972,1912.782,1869.932,1753.1595,2062.2215,1904.616,2024.1527,1934.263,1888.6107,1994.94,1843.64,1927.999,1857.972,1757.1578,1786.856,1936.89,1857.972,1679.328,1876.9137,1969.662,1826.9225,1949.046,1659.452,1912.782,1934.263,1936.61,1893.52,1825.508,1936.89,1876.447,1776.8565,1771.1855,1927.748,1857.972,1820.6021,1932.018,1925.108,1893.475,1904.616,1785.2419,1848.395,1927.748,1786.856,2143.694,2024.1527,1755.888,1659.864,1857.972,1773.2015
"8",1981.072,1823.792,1652.5177,1760.7395,1912.782,1857.972,1692.027,1786.442,1912.782,1857.972,1857.972,1847.756,1621.9081,1771.1855,1857.972,1927.748,1712.268,1932.018,1972.5415,1933.964,1888.6107,1769.3995,1925.255,1932.9,1916.906,1969.662,1857.85,1705.3373,1843.64,1936.61,1857.972,1934.263,2068.903,1857.972,1925.108,1934.263,1927.748,1943.708,1776.821,1949.046,1927.748,1876.447,1943.5917,2045.6665,1934.263,1932.9,1912.782,1824.916,2114.975,1891.4791,1982.3,1857.972,1912.782,1876.447,1835.7035,2062.2215,1904.616,2024.1527,1934.263,1888.6107,1994.94,1925.108,1927.999,1857.972,2009.0158,1786.856,1936.89,1857.972,1932.018,1876.9137,1969.662,1827.9325,1949.046,1659.452,1912.782,1934.263,1936.61,1948.663,1825.508,1936.89,1876.447,1776.8565,1771.1855,1934.263,1857.972,1820.6021,1932.018,1925.108,1948.663,1904.616,1793.1649,1848.395,1927.748,1786.856,2143.694,2024.1527,1757.7332,1970.832,1857.972,1773.2015
"9",1981.072,1825.7808,1824.8777,1760.7395,1912.782,1857.972,1692.027,1936.61,1912.782,1857.972,1857.972,1847.756,1652.5177,1793.8633,1857.972,1927.748,1949.046,1932.018,1975.2547,1933.964,1888.6107,1769.3995,1925.255,1938.855,2004.388,1969.662,1873.88,1705.3373,1843.64,1936.61,1857.972,1934.263,2068.903,1857.972,1925.108,1934.263,1934.263,1963.9772,1927.748,1949.046,1927.748,1934.263,1943.5917,2045.6665,1934.263,1932.9,1912.782,1824.916,2114.975,1891.4791,2014.868,1857.972,1912.782,1934.263,2125.9635,2062.2215,1904.616,2024.1527,1934.263,1969.662,1994.94,1933.964,2038.276,1857.972,2009.0158,1869.932,1936.89,1857.972,1932.018,1883.4287,1969.662,1827.9325,1949.046,1815.6,1912.782,1934.263,1936.61,1948.663,1825.508,1936.89,1934.263,1776.8565,1793.8633,1934.263,1857.972,1820.6021,1932.018,1933.964,1948.663,1904.616,1884.4889,1874.804,1927.748,1786.856,2143.694,2024.1527,1828.1432,1970.832,1857.972,1778.4215
"10",1981.072,1825.7808,1824.8777,1760.7395,1912.782,1857.972,1729.187,1936.61,1912.782,1857.972,1857.972,1874.804,1652.5177,1793.8633,1857.972,1927.748,1949.046,1932.018,1975.2547,1933.964,1888.6107,2019.4925,1925.255,1938.855,2004.388,1969.662,1945.7705,1710.7373,1843.64,1936.61,1857.972,1934.263,2068.903,1857.972,1930.513,1934.263,1934.263,1963.9772,1927.748,1949.046,1927.748,1934.263,1943.5917,2045.6665,1934.263,1932.9,1912.782,1912.56,2114.975,1891.4791,2024.372,1857.972,1912.782,1934.263,2125.9635,2062.2215,1904.616,2024.1527,1934.263,1969.662,1994.94,1933.964,2071.204,1857.972,2009.0158,1927.748,1936.89,1857.972,1932.018,1934.263,1989.834,1850.8213,1949.046,1858.0536,1969.662,1934.263,1936.61,1948.663,1868.3606,1936.89,1934.263,1838.9435,1793.8633,1934.263,1857.972,1820.6021,1932.018,1933.964,1948.663,1904.616,1884.4889,1874.804,1927.748,1869.932,2143.694,2024.1527,1828.1432,1980.336,1857.972,1791.6796
