"","V1"
"V1",50
"V2",27
"V3",50
"V4",14
"V5",50
"V6",48
"V7",50
"V8",50
"V9",20
"V10",50
"V11",50
"V12",50
"V13",50
"V14",50
"V15",41
"V16",25
"V17",46
"V18",50
"V19",28
"V20",50
"V21",41
"V22",50
"V23",50
"V24",50
"V25",6
"V26",32
"V27",50
"V28",47
"V29",50
"V30",50
"V31",48
"V32",26
"V33",18
"V34",50
"V35",50
"V36",50
"V37",33
"V38",50
"V39",50
"V40",50
"V41",50
"V42",36
"V43",45
"V44",50
"V45",50
"V46",50
"V47",50
"V48",38
"V49",50
"V50",50
"V51",42
"V52",31
"V53",39
"V54",50
"V55",50
"V56",50
"V57",50
"V58",50
"V59",50
"V60",19
"V61",46
"V62",50
"V63",20
"V64",39
"V65",50
"V66",50
"V67",48
"V68",45
"V69",50
"V70",48
"V71",31
"V72",50
"V73",50
"V74",50
"V75",50
"V76",31
"V77",50
"V78",50
"V79",47
"V80",50
"V81",50
"V82",50
"V83",50
"V84",50
"V85",28
"V86",41
"V87",50
"V88",50
"V89",46
"V90",50
"V91",15
"V92",31
"V93",33
"V94",50
"V95",50
"V96",50
"V97",50
"V98",50
"V99",50
"V100",50
