"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",1501.17,1383.396,1499.4138,1505.708,1466.578,1335.945,1537.543,1485.894,1453.9492,1336.102,1328.007,1399.3491,1471.09,1471.98,1295.7686,1456.9377,1473.078,1506.185,1526.586,1472.462,1420.9827,1442.7714,1487.874,1502.21,1519.8877,1405.393,1511.8398,1449.9277,1483.22,1492.09,1343.494,1355.5475,1334.0328,1312.875,1417.573,1370.031,1342.202,1496.4138,1475.889,1478.002,1502.865,1338.4922,1482.3277,1382.2876,1456.156,1456.434,1403.043,1502.6735,1516.732,1359.1451,1332.3177,1329.014,1399.6676,1419.2025,1536.254,1510.154,1447.438,1499.778,1486.028,1355.7968,1448.907,1423.3386,1509.9872,1331.7348,1410.9959,1363.6885,1433.283,1376.439,1418.613,1401.0098,1399.8141,1478.246,1537.565,1477.654,1424.374,1410.457,1460.724,1452.508,1506.3277,1501.885,1387.8446,1260.0128,1379.58,1392.06,1383.161,1414.2375,1435.41,1444.3086,1536.228,1485.975,1498.2957,1389.0962,1369.596,1384.3405,1526.082,1416.1856,1506.37,1406.551,1390.002,1452.568
"2",1501.17,1554.398,1546.7919,1568.302,1466.578,1335.945,1537.543,1687.208,1453.9492,1565.542,1572.807,1399.3491,1471.09,1471.98,1295.7686,1592.808,1473.078,1679.561,1691.146,1843.64,1420.9827,1730.73,1487.874,1722.054,1656.8,1517.74,1667.9878,1586.84,1843.64,1936.61,1573.03,1786.856,1626.772,1630.043,1417.573,1786.856,1506.991,1496.4138,1533.705,1478.002,1676.373,1602.6538,1482.3277,1645.0576,1487.311,1773.802,1403.043,1502.6735,1672.88,1359.1451,1509.347,1524.566,1847.756,1710.518,1536.254,1677.706,1904.616,1673.178,1826.176,1510.8788,1506.723,1647.18,1509.9872,1857.972,1470.9679,1363.6885,1664.616,1671.049,1418.613,1681.0198,1399.8141,1659.262,1537.565,1477.654,1429.756,1410.457,1875.084,1452.508,1656.648,1771.667,1602.5926,1356.1386,1379.58,1874.804,1383.161,1716.454,1435.41,1745.55,1888.52,1605.101,1498.2957,1389.0962,1804.9748,1384.3405,1668.822,1904.616,1571.4,1475.297,1390.002,1525.2658
"3",1949.046,1694.274,1546.7919,1590.456,1673.134,1432.695,1656.669,1687.208,1455.5092,1575.921,1658.43,1847.756,1543.7878,1711.9595,1511.9336,1600.032,1711.9595,1776.371,1733.0586,1843.64,1594.344,1753.188,1904.616,1875.084,1695.14,1691.248,1730.46,1625.18,1843.64,1936.61,1573.03,1786.856,1647.732,1786.856,1843.64,1786.856,1775.532,1888.52,1557.837,1730.74,1734.189,1602.6538,1544.092,1645.0576,1540.255,1783.378,1665.572,1561.8758,2044.668,1545.8071,1509.347,1524.566,1847.756,1710.518,1591.442,1722.7066,1904.616,1769.988,1879.12,1680.1541,1527.787,1688.652,1572.5812,1857.972,1622.5618,1786.856,1874.804,1680.739,1711.9595,1820.3797,1399.8141,1736.662,1656.691,1652.122,1429.756,1522.5368,1936.61,1838.332,1656.648,1874.804,1786.856,1406.5786,1711.9595,1927.748,1573.68,1821.304,1932.018,1767.819,1888.52,1636.196,1563.96,1419.3902,1804.9748,1598.4405,1668.822,1904.616,1953.55,1615.173,1857.972,1526.5258
"4",1949.046,1805.184,1794.2681,1598.934,1690.355,1432.695,1949.046,1784.018,1680.6572,1786.856,1687.725,1847.756,1961.2178,1711.9595,1857.972,1719.232,1711.9595,1932.018,1764.5936,1904.616,1637.184,1831.4978,1904.616,1875.084,1728.36,1788.058,1735.34,1632.5216,1904.616,1936.61,1577.676,1786.856,1647.732,1857.972,1904.616,1786.856,1905.116,1888.52,1566.195,1730.74,1766.061,1872.4958,1683.968,1840.9138,1927.748,1936.61,1752.701,1701.7518,2044.668,1545.8071,1589.267,1857.972,1912.782,1779.207,1726.082,1940.8626,1904.616,1845.4781,1934.263,1792.5881,1543.337,1703.757,1712.4572,1857.972,1649.3777,1786.856,1874.804,1680.739,1711.9595,1820.3797,1399.8141,2024.656,1949.046,1656.042,1847.756,1548.2077,1936.61,1893.52,1685.488,1927.748,1786.856,1406.5786,1748.1905,1927.748,1600.96,1821.304,1932.018,1767.819,1888.52,1904.616,1693.578,1559.9342,1804.9748,1598.4405,1873.48,1904.616,2014.076,1634.999,1857.972,1962.4778
"5",1949.046,1805.184,1935.8981,1598.934,1690.355,1433.289,1949.046,1936.61,1708.3012,1857.972,1687.725,1912.782,2021.7438,1866.4215,1857.972,1796.632,1748.1905,1932.018,1766.9426,1904.616,1675.664,1831.4978,1904.616,1875.084,1730.34,1788.589,1735.34,1790.6958,1904.616,1936.61,1579.858,1988.816,1711.962,1857.972,1904.616,1857.972,1927.748,1943.708,1660.179,1949.046,1782.093,1872.4958,1754.108,1846.9018,1927.748,1936.61,1752.701,1770.2518,2105.194,1545.8071,1590.667,1857.972,1912.782,1779.207,1789.306,1940.8626,1904.616,1932.6821,1934.263,1792.5881,1677.977,1703.757,1732.0172,1857.972,1783.7777,1786.856,1874.804,1849.0948,1748.1905,1820.3797,1565.542,2024.656,1949.046,1658.792,1847.756,1861.7997,1936.61,1934.549,1713.782,1934.263,1789.884,1565.227,1748.1905,1934.263,1796.016,1862.333,1932.018,1767.819,1888.52,1904.616,1740.328,1589.121,1807.2838,1598.4405,1931.91,1904.616,2014.076,1660.505,1857.972,2023.0038
"6",1949.046,1805.184,1935.8981,1598.934,1749.306,1433.289,1949.046,1936.61,1710.5332,1857.972,1687.725,1912.782,2021.7438,1892.6271,1857.972,1796.632,1748.1905,1932.018,1773.1286,1904.616,1680.668,2009.0158,1904.616,1936.61,1787.948,1788.589,1735.34,2137.4676,1904.616,1936.61,1857.972,1988.816,1714.994,1857.972,1904.616,1857.972,1934.263,1943.708,1660.179,1949.046,1805.672,1872.4958,1754.108,1872.5727,1927.748,1936.61,1865.8581,1770.5918,2105.194,1545.8071,1611.667,1857.972,1912.782,1779.207,1790.874,1940.8626,1904.616,1963.2917,1934.263,1861.056,1685.767,1904.616,1974.887,1857.972,1783.7777,1786.856,1874.804,1850.9348,1757.1183,1888.6107,1638.342,2024.656,1949.046,1888.52,1847.756,1963.2917,1936.61,1934.549,1715.81,1989.834,1857.972,1589.277,1774.8935,1934.263,1796.016,1920.149,1932.018,1843.64,1888.52,1904.616,1740.328,1837.6805,1872.4958,1739.9583,2091.786,1904.616,2014.076,1660.505,1857.972,2023.0038
"7",1949.046,1823.846,1935.8981,1697.19,1912.782,1433.289,1949.046,1936.61,1710.5332,1857.972,1835.793,1912.782,2021.7438,1892.6271,1857.972,1796.632,1852.5005,1932.018,1800.446,1904.616,1717.898,2009.0158,1904.616,1936.61,1840.388,1969.662,1765.2083,2137.4676,1904.616,1936.61,1857.972,1988.816,1715.554,1857.972,1904.616,1857.972,1934.263,1943.708,2003.722,1949.046,1828.71,1872.4958,1762.718,1963.2917,1949.7692,1936.61,1865.8581,1770.5918,2105.194,1545.8071,1611.667,1857.972,1912.782,1779.207,1792.8,1958.1815,1904.616,1966.0511,1934.263,1879.718,2053.18,1904.616,1974.887,1857.972,1853.8533,1786.856,1947.0098,1877.9277,1757.1183,1888.6107,1639.707,2085.632,1949.046,1949.046,1912.782,1966.0511,1936.61,1934.549,1928.08,1989.834,1857.972,1757.0695,1774.8935,1934.263,1799.048,1920.149,1932.018,1904.616,1888.52,1904.616,1752.296,1837.6805,1872.4958,1905.116,2091.786,1904.616,2014.076,1691.375,1857.972,2023.0038
"8",1949.046,1823.846,1935.8981,1730.146,1912.782,1624.969,1949.046,1936.61,1741.564,1857.972,2052.684,1912.782,2021.7438,1892.6271,1857.972,1796.632,1852.5005,1932.018,1829.396,1986.084,1742.048,2009.0158,1904.616,1936.61,1840.388,1969.662,1846.8143,2137.4676,1904.616,1936.61,1857.972,2056.192,1752.206,1857.972,1904.616,1857.972,1934.263,1943.708,2021.65,1949.046,1989.834,1872.4958,1783.878,1963.2917,1966.0511,1936.61,1865.8581,1770.5918,2105.194,1545.8071,1653.283,1857.972,1912.782,1869.932,1792.8,1958.1815,1904.616,1966.0511,1934.263,1879.758,2054.82,1904.616,1974.887,1857.972,1917.0213,1789.884,1963.2917,1877.9277,1856.0481,1888.6107,1691.907,2085.632,1949.046,1949.046,1912.782,1966.0511,1936.61,1948.663,1928.08,1989.834,1857.972,1757.0695,1774.8935,1934.263,2017.204,1934.263,1932.018,1904.616,1949.046,1904.616,1752.296,1837.6805,1969.662,1905.116,2091.786,1904.616,2014.076,1933.476,1857.972,2023.0038
"9",1949.046,1823.846,1935.8981,1730.146,1912.782,1684.261,1949.046,1936.61,1912.782,1857.972,2052.684,1912.782,2021.7438,1892.6271,1857.972,1796.632,1852.5005,1932.018,1930.576,1986.084,1824.88,2009.0158,1904.616,1936.61,1840.388,1969.662,1846.8223,2137.4676,1904.616,1936.61,1857.972,2056.192,1862.646,1857.972,1904.616,1857.972,1934.263,1943.708,2023.05,1949.046,1989.834,1872.4958,1791.478,1963.2917,1966.0511,1936.61,1896.4677,1796.9818,2105.194,1545.8071,1653.283,1857.972,1912.782,1932.018,1903.2,2099.5025,1904.616,1966.0511,1989.834,1880.808,2120.42,1904.616,1974.887,1857.972,1917.0213,1857.972,1966.0511,1888.6667,1856.0481,1888.6107,1691.907,2085.632,1949.046,1949.046,1912.782,1966.0511,1936.61,1948.663,1928.08,1989.834,1857.972,1757.0695,1774.8935,1934.263,2017.204,1934.263,1932.018,1904.616,1949.046,1904.616,1775.816,1837.6805,1989.834,1905.116,2091.786,1904.616,2014.076,1933.476,1857.972,2023.0038
"10",1949.046,1933.678,1996.4241,1730.146,1912.782,1723.001,2004.234,1936.61,2002.896,1857.972,2052.684,1912.782,2021.7438,1892.6271,1857.972,1823.272,1852.5005,1932.018,1943.176,1986.084,1832.48,2009.0158,1904.616,1994.426,1840.388,1969.662,1864.6975,2142.7575,1904.616,2012.9518,1857.972,2056.192,1862.646,1857.972,1904.616,1857.972,1956.2042,1943.708,2027.964,1949.046,1989.834,1872.4958,1791.478,1963.2917,1966.0511,1936.61,1896.4677,1809.2818,2105.194,1557.1111,1792.211,1857.972,1912.782,1932.018,2000.01,2099.5025,1904.616,1966.0511,1989.834,2050.098,2120.98,1904.616,2043.3715,1857.972,1925.4913,1857.972,1966.0511,1963.2917,1856.0481,1888.6107,1691.907,2085.632,1949.046,1949.046,1912.782,1966.0511,1994.426,1948.663,1928.08,1989.834,1857.972,1880.4795,1774.8935,1934.263,2036.603,1934.263,1932.018,1904.616,1949.046,1904.616,1794.478,1837.6805,1989.834,1905.116,2091.786,1904.616,2014.076,1933.476,1857.972,2023.0038
"11",1949.046,2029.628,1996.4241,1867.4735,1912.782,1728.005,2004.234,1936.61,2017.396,1857.972,2052.684,1912.782,2021.7438,1892.6271,1857.972,1825.752,1852.5005,1932.018,1943.216,1986.084,1835.04,2009.0158,1904.616,1994.426,1840.388,1969.662,1865.0935,2142.7575,1937.124,2012.9518,1857.972,2056.192,1890.94,1857.972,1904.616,1857.972,1971.3411,1963.9772,2083.107,1949.046,1989.834,1872.4958,1791.478,2024.1527,1966.0511,1936.61,1896.4677,1814.3818,2105.194,1713.711,1797.215,1857.972,1912.782,1932.018,2138.874,2100.6911,2075.924,1971.3411,1989.834,2079.288,2133.14,1904.616,2046.0847,1969.662,1925.4913,1857.972,1966.0511,1963.2917,1856.0481,1969.662,1704.507,2085.632,1949.046,1949.046,1912.782,1966.0511,1994.426,1948.663,1951.93,1989.834,1857.972,1880.4795,1783.8213,1934.263,2054.653,1934.263,1932.018,1904.616,1949.046,1904.616,1794.478,1837.6805,1989.834,1905.116,2091.786,1986.084,2014.076,1933.476,1857.972,2023.0038
