"","V1"
"V1",6
"V2",9
"V3",4
"V4",4
"V5",9
"V6",12
"V7",9
"V8",9
"V9",5
"V10",14
"V11",6
"V12",4
"V13",4
"V14",14
"V15",3
"V16",7
"V17",13
"V18",8
"V19",7
"V20",5
"V21",8
"V22",15
"V23",9
"V24",6
"V25",7
"V26",6
"V27",6
"V28",15
"V29",6
"V30",8
"V31",7
"V32",10
"V33",7
"V34",7
"V35",5
"V36",11
"V37",12
"V38",9
"V39",7
"V40",7
"V41",7
"V42",4
"V43",10
"V44",10
"V45",6
"V46",8
"V47",6
"V48",8
"V49",5
"V50",7
"V51",4
"V52",11
"V53",5
"V54",8
"V55",8
"V56",4
"V57",4
"V58",5
"V59",4
"V60",6
"V61",4
"V62",10
"V63",8
"V64",8
"V65",7
"V66",5
"V67",11
"V68",4
"V69",8
"V70",6
"V71",6
"V72",8
"V73",8
"V74",6
"V75",5
"V76",5
"V77",8
"V78",3
"V79",8
"V80",4
"V81",7
"V82",6
"V83",8
"V84",7
"V85",6
"V86",6
"V87",18
"V88",8
"V89",13
"V90",8
"V91",5
"V92",5
"V93",9
"V94",9
"V95",6
"V96",15
"V97",7
"V98",9
"V99",7
"V100",7
