"","V1"
"V1",11
"V2",10
"V3",5
"V4",4
"V5",9
"V6",17
"V7",15
"V8",9
"V9",13
"V10",20
"V11",8
"V12",3
"V13",10
"V14",15
"V15",5
"V16",9
"V17",18
"V18",13
"V19",6
"V20",7
"V21",8
"V22",35
"V23",11
"V24",8
"V25",5
"V26",3
"V27",6
"V28",16
"V29",7
"V30",7
"V31",7
"V32",11
"V33",7
"V34",7
"V35",4
"V36",10
"V37",12
"V38",10
"V39",5
"V40",9
"V41",7
"V42",4
"V43",7
"V44",10
"V45",6
"V46",6
"V47",7
"V48",8
"V49",7
"V50",10
"V51",4
"V52",9
"V53",9
"V54",9
"V55",8
"V56",4
"V57",4
"V58",11
"V59",6
"V60",6
"V61",2
"V62",15
"V63",5
"V64",4
"V65",5
"V66",6
"V67",10
"V68",5
"V69",10
"V70",10
"V71",5
"V72",13
"V73",11
"V74",7
"V75",5
"V76",6
"V77",10
"V78",4
"V79",8
"V80",5
"V81",7
"V82",4
"V83",15
"V84",6
"V85",10
"V86",5
"V87",19
"V88",18
"V89",18
"V90",5
"V91",8
"V92",5
"V93",8
"V94",7
"V95",3
"V96",13
"V97",5
"V98",10
"V99",7
"V100",8
