"","V1"
"V1",24
"V2",24
"V3",15
"V4",4
"V5",44
"V6",22
"V7",50
"V8",11
"V9",50
"V10",50
"V11",20
"V12",11
"V13",16
"V14",50
"V15",15
"V16",32
"V17",50
"V18",49
"V19",4
"V20",16
"V21",12
"V22",50
"V23",50
"V24",48
"V25",5
"V26",11
"V27",28
"V28",34
"V29",22
"V30",50
"V31",13
"V32",19
"V33",24
"V34",8
"V35",18
"V36",8
"V37",3
"V38",50
"V39",4
"V40",5
"V41",40
"V42",7
"V43",25
"V44",25
"V45",5
"V46",8
"V47",50
"V48",6
"V49",4
"V50",29
"V51",5
"V52",22
"V53",13
"V54",6
"V55",22
"V56",5
"V57",5
"V58",20
"V59",12
"V60",6
"V61",2
"V62",50
"V63",13
"V64",10
"V65",17
"V66",8
"V67",9
"V68",15
"V69",50
"V70",14
"V71",16
"V72",50
"V73",50
"V74",11
"V75",21
"V76",20
"V77",17
"V78",3
"V79",42
"V80",6
"V81",22
"V82",5
"V83",22
"V84",4
"V85",50
"V86",5
"V87",50
"V88",46
"V89",50
"V90",4
"V91",5
"V92",4
"V93",26
"V94",6
"V95",3
"V96",50
"V97",19
"V98",23
"V99",7
"V100",6
