"","V1"
"V1",18
"V2",19
"V3",7
"V4",7
"V5",13
"V6",29
"V7",19
"V8",11
"V9",15
"V10",50
"V11",13
"V12",7
"V13",12
"V14",32
"V15",7
"V16",11
"V17",29
"V18",12
"V19",10
"V20",9
"V21",12
"V22",50
"V23",11
"V24",9
"V25",9
"V26",7
"V27",8
"V28",50
"V29",11
"V30",8
"V31",12
"V32",15
"V33",8
"V34",7
"V35",4
"V36",11
"V37",17
"V38",12
"V39",8
"V40",9
"V41",12
"V42",7
"V43",11
"V44",18
"V45",7
"V46",9
"V47",16
"V48",8
"V49",13
"V50",14
"V51",10
"V52",9
"V53",10
"V54",8
"V55",12
"V56",7
"V57",8
"V58",13
"V59",7
"V60",8
"V61",5
"V62",10
"V63",5
"V64",9
"V65",8
"V66",6
"V67",16
"V68",7
"V69",9
"V70",12
"V71",8
"V72",16
"V73",12
"V74",12
"V75",17
"V76",8
"V77",15
"V78",5
"V79",8
"V80",9
"V81",10
"V82",7
"V83",26
"V84",13
"V85",12
"V86",7
"V87",21
"V88",21
"V89",17
"V90",12
"V91",16
"V92",6
"V93",9
"V94",12
"V95",5
"V96",18
"V97",6
"V98",22
"V99",12
"V100",8
