"","V1"
"V1",50
"V2",50
"V3",50
"V4",50
"V5",50
"V6",50
"V7",50
"V8",50
"V9",50
"V10",50
"V11",50
"V12",45
"V13",44
"V14",50
"V15",50
"V16",50
"V17",50
"V18",50
"V19",48
"V20",41
"V21",50
"V22",50
"V23",50
"V24",50
"V25",50
"V26",50
"V27",47
"V28",50
"V29",50
"V30",33
"V31",50
"V32",50
"V33",49
"V34",50
"V35",50
"V36",50
"V37",50
"V38",50
"V39",47
"V40",47
"V41",50
"V42",50
"V43",50
"V44",50
"V45",43
"V46",50
"V47",50
"V48",50
"V49",46
"V50",50
"V51",50
"V52",50
"V53",50
"V54",50
"V55",50
"V56",50
"V57",43
"V58",50
"V59",50
"V60",50
"V61",45
"V62",50
"V63",50
"V64",49
"V65",47
"V66",50
"V67",50
"V68",45
"V69",46
"V70",50
"V71",50
"V72",47
"V73",50
"V74",50
"V75",49
"V76",50
"V77",50
"V78",40
"V79",49
"V80",50
"V81",50
"V82",50
"V83",50
"V84",50
"V85",50
"V86",50
"V87",50
"V88",50
"V89",50
"V90",46
"V91",50
"V92",50
"V93",50
"V94",50
"V95",50
"V96",50
"V97",43
"V98",50
"V99",50
"V100",45
