"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",2951.19322393026,2970.24040128105,3002.25434547946,2985.91598913043,2954.58399799652,2839.53658439687,2978.79461086625,2955.93278023439,2950.42270834069,2856.64758911838,2964.69741208986,3048.95251031407,2960.03103148462,2855.93979001212,3026.0099530412,2987.74554838145,2887.09632116937,2928.32852043352,2991.35849016968,2997.11446433913,2971.14163222678,2911.60688763343,3002.29741734551,2913.83992295764,2987.3799280865,3030.03267946242,2954.97055892546,2864.35233699125,2950.51884191212,2913.86974835263,2898.38232816494,2849.17442689094,2919.81066910897,3009.0824486818,2974.67870938606,2992.52073126159,2944.66277410312,2938.33703931891,3011.21987344822,2994.66594353676,2999.44448123217,2950.56874241874,2937.02699358889,2986.90819645286,2976.76010997182,3026.20417157719,2937.74251729303,3032.1359180979,2972.54926647028,2942.78097081979,2945.7326807847,2975.85606591698,3002.69138354832,3040.75059359547,2975.65281106458,3044.28463988847,3051.77647393408,2868.71795836799,2997.10011832522,2929.55990515862,3014.89105249479,2905.66941030151,2969.81218073508,2979.76650389863,3013.48311925896,2947.94590083424,2973.53092521703,2966.12795494984,3017.82524679489,2984.36946647913,3013.76319598312,2975.12646292188,2833.10650933499,2916.94429020353,2932.7213533432,2910.48655638812,3011.51812374037,3029.36165530891,2975.7406704638,3014.4932789071,3042.40185562961,3051.16245118477,2894.36132580096,2989.57795872629,2937.30402103437,2976.77614476522,2824.17605006598,2941.20170871141,2916.82000341161,2996.84687331532,2878.1923298713,2921.56743019348,3017.35402526665,3063.91965551887,2957.92063345962,2971.41636370199,3040.14279082994,2971.29226258404,3029.24729827753,2993.5765264744
"2",2961.51558426961,2970.24040128105,3004.6107648884,3033.27426995587,3015.35227377346,2897.53738187776,2978.79461086625,2992.70675386292,2960.03542223643,2918.41500085489,2967.41705444059,3069.92698170787,2963.63833251481,2895.03861444935,3026.86181478357,2996.50991105369,2991.60924318594,2958.44317220424,3055.23611686882,3017.57743515495,3020.91504231761,2920.65799723345,3033.71258599448,2990.96694737187,3044.11362664385,3036.70050694853,3014.93045152349,2912.80825733662,3048.04734080366,3055.01904969381,2997.50628182361,2856.98412214749,3041.85821713686,3009.0824486818,3036.85452244662,3015.95915145095,2968.75284804574,3013.81281534,3019.81103723085,3022.05311986681,3011.8172082501,3068.90330414806,2953.45500187366,2986.90819645286,3045.56072240143,3045.01944445492,3010.01148853185,3046.13610545269,3023.84683480627,2977.62117378589,3012.30754584314,3004.26050969859,3003.54324529069,3040.75059359547,2998.32770323419,3048.47195861161,3056.78982879954,2914.40482221529,3045.38967970884,2988.07160021279,3073.3798489179,2937.1784196243,2987.31327123072,3012.46208287905,3030.83216335802,3042.14256690222,2973.53092521703,3030.97724463328,3038.66939470124,3005.36188931411,3021.02109428809,2977.12145107903,2975.76689430692,2947.00066628574,2960.79932942949,2955.89505320822,3011.51812374037,3037.73115191451,3028.53148203833,3058.16308640563,3042.40185562961,3051.16245118477,2918.19138648467,2998.98737870867,3010.07244264365,3028.85141418983,2842.78332559148,2947.65288443235,2938.96719875963,3058.65029278527,2925.71614843589,3059.04635033849,3017.35402526665,3068.94679318429,3059.0113810636,3000.80882647435,3054.26006523453,2971.29226258404,3030.09151830484,2993.5765264744
"3",2988.00318118686,2971.67317482079,3029.44502593039,3036.42754787864,3020.36834687234,2897.53738187776,2979.90381822381,2993.53725251202,2982.36266481767,2937.88856678399,2993.02742724596,3069.92698170787,2976.0733759547,2896.91487840254,3026.86181478357,3013.41511671357,2991.60924318594,2972.10260960727,3058.10221746349,3064.69765500111,3069.03791841258,2924.36637009644,3043.67699847101,3021.74955629039,3048.02369194398,3036.99413645134,3039.78340479786,2916.93307056474,3054.26275765711,3067.18648338719,2998.70922970097,2884.32794390969,3052.5538269891,3010.72323027397,3036.85452244662,3015.95915145095,3014.47877682672,3069.17207219315,3019.83625806338,3025.6282797192,3063.67966882379,3068.90330414806,2953.45500187366,2986.90819645286,3047.42215191178,3045.01944445492,3028.40207417838,3046.13610545269,3023.84683480627,2977.62117378589,3035.03413294979,3026.59110394637,3007.11840514309,3055.3872517791,2998.32770323419,3048.47195861161,3057.00103795012,2943.9866397288,3045.38967970884,3044.45159052745,3073.45417465156,2945.19069023639,2987.72024933462,3012.46208287905,3044.48710293751,3042.14256690222,2976.47979849231,3030.97724463328,3044.7897588512,3005.36188931411,3021.02109428809,2977.16992351438,2976.78593951082,2947.39241725729,2972.77460789631,2987.07486299454,3016.03217695963,3040.59725250918,3029.42693656357,3058.16308640563,3059.55374838219,3053.03490372789,2944.98633118188,3003.50143192792,3060.92722184144,3063.70531359295,2849.55945079031,2947.90741060797,2946.21190932346,3058.65029278527,2963.83129030523,3065.88117700284,3017.35402526665,3068.94679318429,3059.0113810636,3000.80882647435,3064.23055278555,2972.28638793469,3044.56221479001,2994.27589382244
"4",2990.65988106788,2972.7047607727,3029.44502593039,3050.94215151769,3021.45958549046,2925.53340890946,2979.90381822381,3009.99910293495,2984.24263054112,2942.39021087738,3004.69114731218,3069.92698170787,2977.20715039778,2921.6839007314,3030.43697463597,3016.94263945771,2991.76066888056,2972.3644234458,3058.74031856678,3064.69765500111,3069.03791841258,2924.36637009644,3044.24072178617,3024.09052267188,3053.58765082559,3036.99413645134,3041.54539300002,2917.82852508997,3054.26275765711,3080.53720294605,2999.64565313464,2886.69830024525,3053.84382720441,3011.70608586029,3037.06346445239,3016.13472837819,3014.69868041034,3069.17207219315,3020.98257063473,3030.13012054285,3063.67966882379,3068.90330414806,2978.44289529187,2989.26237787402,3047.72162791743,3045.09377018858,3031.26817477305,3046.21215399163,3024.0224117335,2978.02815188979,3036.65934252277,3028.84136651456,3020.13539124865,3060.28717004688,2998.621332737,3049.38114379167,3057.00103795012,2945.32896003643,3045.62368049435,3044.66279967804,3073.45417465156,2975.09358441994,2988.45055157427,3013.88364710332,3050.30287030729,3045.00866749689,2980.66711721544,3030.97724463328,3044.7897588512,3007.50183839169,3021.06956672344,2980.74508336677,2976.78593951082,2948.97763258128,2991.94651350214,2989.30684706836,3017.01313628665,3041.23535361247,3029.42693656357,3058.24727638961,3060.93695461925,3057.17446703077,2946.91523227441,3003.50143192792,3060.92722184144,3064.7045791229,2853.47550724612,2963.20324206634,2950.75968766726,3058.65029278527,2964.48005513306,3065.88117700284,3019.60428783484,3075.21707468585,3059.29770769309,3000.91218520641,3064.53002879119,2972.28638793469,3046.31765163585,2995.70961046809
"5",2992.66150009393,2972.7047607727,3029.7386554332,3050.94215151769,3021.45958549046,2927.51913205834,2979.90381822381,3011.25240223883,2986.40232743102,2943.36844427727,3004.69114731218,3070.10255863511,2978.20424154911,2924.66542446466,3039.47871392602,3021.95871255659,2991.76066888056,2972.37032723784,3058.74622235882,3065.05053549404,3069.24686041835,2957.07640763506,3044.24662557821,3027.24002697426,3060.8032039783,3043.54773378368,3041.54539300002,2917.82852508997,3054.26866144914,3080.73075947096,2999.64565313464,2888.03646006468,3053.84973099645,3018.69326481336,3044.01430221346,3016.13472837819,3014.69868041034,3069.44343214149,3031.65762128893,3037.45514499227,3063.97302510822,3069.11451329865,2980.40291935768,2990.98060015342,3047.72162791743,3045.09377018858,3031.98509624478,3047.809857669,3024.0224117335,2978.50459341733,3052.85401625055,3046.30053681712,3020.13539124865,3060.44636921079,2998.621332737,3062.41043142321,3057.00103795012,2945.36241725616,3050.81910027089,3044.66279967804,3073.45417465156,2975.09358441994,2996.78454222179,3014.24436162019,3052.9679100457,3045.71937878482,2980.66711721544,3031.13644379718,3045.14263934413,3009.85601981285,3021.06956672344,2980.74508336677,2978.63507589113,2950.0688711994,3002.12686141173,2990.73962060809,3017.01313628665,3041.24125740451,3030.12630391161,3058.24727638961,3064.83579544298,3063.83471827829,2948.57795902572,3005.30158006373,3061.25056052408,3068.29188595985,2885.74222061759,2967.32805529445,2951.74805543162,3058.80949194917,2973.30101936183,3065.88708079488,3021.24506942702,3075.22297847789,3059.29770769309,3003.26626790938,3064.53593258323,2972.28638793469,3046.31765163585,2995.70961046809
"6",2994.23479183063,2972.7047607727,3029.7386554332,3051.06859498101,3028.59180841289,2929.76939462653,2982.24266185637,3012.57556469405,2987.97561916772,2943.36844427727,3004.69705110422,3073.96724421781,2994.23230927755,2926.09416372779,3040.42918673801,3030.59232201444,2995.07525606163,2972.37032723784,3058.74622235882,3072.95370680006,3074.38106562994,2963.65703179249,3044.24662557821,3029.55092660465,3067.83651892118,3044.8160729477,3043.84199307577,2917.82852508997,3055.41522743794,3080.736663263,3004.73923415348,2888.99753954628,3053.84973099645,3027.50333389533,3045.42007546805,3019.9994139609,3019.57300484768,3075.48979050503,3034.13714924788,3043.22398971434,3070.52039928018,3069.11451329865,2983.11918049795,3007.15141615045,3047.72753170946,3046.65223311807,3031.99100003682,3048.07167150753,3027.88709731621,2978.50459341733,3054.23655165005,3048.55781227073,3020.28681694328,3064.32342725401,3005.17493006934,3067.11070545833,3062.39941083041,2962.39758668104,3051.81159814338,3049.85259100912,3075.01263758105,2980.20952061635,3009.53320781555,3015.16376673135,3057.31645832164,3045.72528257686,2991.36090982794,3035.03678425139,3053.04581065015,3011.57424209226,3025.2823151496,2992.86123000908,2978.63507589113,2957.61124203913,3002.59647539729,2991.77120656001,3017.01313628665,3041.24125740451,3030.12630391161,3060.03041970802,3064.83579544298,3065.1247184936,2949.78090690308,3006.28253939074,3068.48085095117,3071.91154636973,2888.8251225169,2968.22350981968,2951.74805543162,3062.52911527877,2975.70898863687,3067.15415605597,3037.19797625818,3076.38021865799,3065.68496573309,3004.19569675322,3064.53593258323,2973.55907607279,3047.58968739506,2998.62524351768
"7",3000.93008222746,2978.77935540689,3036.29225276555,3053.8141559044,3038.48519071933,2931.41017621871,2982.24266185637,3019.01100057748,2994.67090956455,2943.36844427727,3006.57007378516,3074.68947445326,2995.84797974474,2927.12274332287,3044.87953849174,3031.06966549854,2995.68576316271,2972.37032723784,3058.74622235882,3074.49613989701,3075.37356350243,2963.65703179249,3044.24662557821,3039.43631574556,3067.83651892118,3044.8160729477,3045.5173055382,2920.74415813955,3055.41522743794,3080.736663263,3013.14424251457,2888.99753954628,3053.84973099645,3030.45101940221,3045.42007546805,3020.72164419635,3020.50028933723,3076.65511114127,3038.27671255076,3043.22398971434,3071.78747454127,3074.0834614894,2985.10722583141,3008.99276264894,3047.72753170946,3047.53331461834,3031.99100003682,3048.07167150753,3028.60932755166,2978.50459341733,3057.84098727511,3052.19082700817,3023.60140412435,3065.81534650114,3006.44326923336,3067.32191460891,3063.9730230483,2965.06573104706,3051.81159814338,3051.22788651932,3075.49804841108,2983.98581206852,3012.1948566399,3021.26196999539,3057.31645832164,3045.72528257686,2992.72513678916,3036.57977645637,3054.5882437471,3011.57424209226,3034.92995090661,2993.0126557037,2986.52337365495,2961.96550601252,3013.1585133853,2997.94341684678,3025.50220484045,3041.24125740451,3033.04193696119,3060.32989571367,3069.72067817583,3065.1247184936,2954.87448792192,3006.63815806217,3069.88662420575,3072.83883085927,2895.7589023406,2968.22350981968,2966.33960446854,3063.67568126756,2976.85555462567,3067.15415605597,3042.71081743063,3084.34513110038,3066.91952194654,3004.19569675322,3064.53593258323,2973.55907607279,3061.70582285943,3008.55631892805
"8",3013.03197718553,2989.38458156809,3037.56059192956,3054.59762325362,3044.24262805702,2938.39735517177,2982.24266185637,3029.7929571975,3003.29894263491,2946.28407732686,3006.57007378516,3080.92564367988,2996.20869426161,2948.45900467007,3048.19412567281,3035.02263452677,2995.68576316271,2972.37032723784,3058.74622235882,3074.49613989701,3075.37356350243,2963.65703179249,3044.24662557821,3050.01162506338,3069.39498185067,3044.8160729477,3045.5173055382,2927.62124823681,3055.41522743794,3080.736663263,3014.45573523223,2893.55907973102,3062.36682405742,3034.0367793956,3045.42007546805,3020.72164419635,3020.50028933723,3084.20370250251,3038.27671255076,3046.53857689541,3071.78747454127,3075.24878212564,2993.59629438521,3012.57852264233,3055.45335354409,3047.53331461834,3031.99100003682,3048.07167150753,3028.60932755166,2978.50459341733,3062.72343568423,3060.24751696263,3024.21191122542,3065.81534650114,3006.44326923336,3072.17232250382,3063.9730230483,2967.01791959457,3051.81159814338,3051.22788651932,3075.49804841108,2983.98581206852,3021.01582086867,3029.67457231722,3057.31645832164,3045.72528257686,2997.63817047897,3036.57977645637,3054.5882437471,3018.89634620162,3036.03201681533,2993.0126557037,2995.76703596363,2962.04155455146,3015.24095335868,3008.95268102347,3034.73097401858,3041.24125740451,3039.91902705845,3060.32989571367,3070.65010701966,3065.1247184936,2963.69376087082,3006.70868034469,3069.88662420575,3072.83883085927,2900.88985712632,2968.22350981968,2966.33960446854,3063.67568126756,2976.85555462567,3075.52430179759,3043.05277832536,3084.34513110038,3066.91952194654,3004.19569675322,3064.53593258323,2974.51349893922,3063.08835825894,3009.34998260869
"9",3014.72429241893,2995.63263317731,3037.56059192956,3054.59762325362,3044.58458895175,2947.5464692647,2992.24890670801,3031.63601864036,3004.99125786832,2953.63083723341,3006.57007378516,3080.92564367988,2996.47098283403,2958.44036195518,3048.80463277388,3036.62033820415,2995.68576316271,2972.37032723784,3058.74622235882,3074.49613989701,3075.37356350243,2963.65703179249,3044.24662557821,3052.46241836145,3070.05114059291,3044.8160729477,3045.5173055382,2933.33914994713,3065.30858513162,3080.736663263,3019.56904295775,2908.01270393157,3062.36682405742,3044.5988173836,3045.42007546805,3020.72164419635,3020.50028933723,3084.20370250251,3047.139908544,3047.14908399648,3071.78747454127,3075.24878212564,3002.69238084659,3019.1258968143,3055.45335354409,3047.53331461834,3031.99100003682,3048.07167150753,3028.60932755166,2983.23169103048,3063.6523701251,3061.82112918052,3024.21191122542,3065.81534650114,3006.44326923336,3073.22493652103,3063.9730230483,2967.01791959457,3051.81159814338,3051.22788651932,3075.49804841108,3000.20891078434,3030.53989390134,3034.54802767691,3057.31645832164,3054.8364848898,3002.45418154461,3036.57977645637,3054.5882437471,3028.6132116439,3040.71666876621,2996.32724288477,2997.74300069864,2963.63925822884,3015.24095335868,3010.74990359758,3036.84977805188,3041.24125740451,3040.71269073909,3060.32989571367,3070.65010701966,3065.1247184936,2965.00525358849,3011.88713834347,3069.88662420575,3072.83883085927,2922.97177302134,2968.22350981968,2966.46604793186,3063.67568126756,2976.85555462567,3075.52430179759,3043.05277832536,3084.34513110038,3066.91952194654,3004.19569675322,3064.53593258323,2978.95427848167,3066.98541334762,3014.46329033421
"10",3020.37802288856,2995.92626268012,3037.56059192956,3054.59762325362,3052.23904195777,2953.86904926702,3002.71343023495,3036.37476129895,3008.57059320707,2954.42450091405,3006.57007378516,3080.92564367988,3001.91642627869,2958.6602655388,3048.80463277388,3036.88215204268,2995.68576316271,2972.37032723784,3058.74622235882,3074.49613989701,3075.37356350243,2963.65703179249,3044.24662557821,3056.56659087807,3070.05114059291,3044.8160729477,3052.6538279118,2933.46559341045,3065.30858513162,3080.736663263,3025.42740511465,2914.64276281088,3062.36682405742,3046.68125735698,3045.42007546805,3020.72164419635,3020.50028933723,3084.20370250251,3048.87731942459,3047.14908399648,3071.78747454127,3075.24878212564,3008.25925083725,3020.39297207538,3055.45335354409,3047.53331461834,3031.99100003682,3048.07167150753,3028.60932755166,2993.36157144751,3063.6523701251,3061.82112918052,3024.21191122542,3065.81534650114,3006.44326923336,3073.22493652103,3063.9730230483,2975.35191024209,3051.81159814338,3051.22788651932,3075.49804841108,3012.01233948093,3032.41152668488,3034.79502379238,3057.31645832164,3054.8364848898,3003.36962278458,3036.57977645637,3054.5882437471,3030.45455814239,3044.58135434892,2996.93774998584,3001.45137356163,2963.90107206737,3015.24095335868,3015.66293728739,3040.42911339064,3041.24125740451,3044.29999757604,3060.32989571367,3070.65010701966,3065.1247184936,2969.01910192,3014.07664772679,3069.88662420575,3072.83883085927,2936.73731894776,2979.28332814811,2966.46604793186,3063.67568126756,2976.85555462567,3075.52430179759,3050.70723133138,3084.34513110038,3066.91952194654,3004.19569675322,3064.53593258323,2987.22161345836,3066.98541334762,3017.2088512576
