"","AEHVI","GEHVI","DEHVI","AEI_EI","GEI_EI","DEI_EI"
"1",18,6,6,50,24,11
"2",19,8,9,50,24,10
"3",7,5,4,50,15,5
"4",7,5,4,50,4,4
"5",13,12,9,50,44,9
"6",29,6,12,50,22,17
"7",19,12,9,50,50,15
"8",11,10,9,50,11,9
"9",15,7,5,50,50,13
"10",50,18,14,50,50,20
"11",13,5,6,50,20,8
"12",7,4,4,45,11,3
"13",12,6,4,44,16,10
"14",32,12,14,50,50,15
"15",7,4,3,50,15,5
"16",11,8,7,50,32,9
"17",29,23,13,50,50,18
"18",12,7,8,50,49,13
"19",10,7,7,48,4,6
"20",9,6,5,41,16,7
"21",12,7,8,50,12,8
"22",50,50,15,50,50,35
"23",11,9,9,50,50,11
"24",9,9,6,50,48,8
"25",9,5,7,50,5,5
"26",7,4,6,50,11,3
"27",8,5,6,47,28,6
"28",50,13,15,50,34,16
"29",11,6,6,50,22,7
"30",8,7,8,33,50,7
"31",12,10,7,50,13,7
"32",15,6,10,50,19,11
"33",8,6,7,49,24,7
"34",7,8,7,50,8,7
"35",4,4,5,50,18,4
"36",11,13,11,50,8,10
"37",17,10,12,50,3,12
"38",12,9,9,50,50,10
"39",8,5,7,47,4,5
"40",9,11,7,47,5,9
"41",12,8,7,50,40,7
"42",7,5,4,50,7,4
"43",11,11,10,50,25,7
"44",18,8,10,50,25,10
"45",7,7,6,43,5,6
"46",9,9,8,50,8,6
"47",16,6,6,50,50,7
"48",8,7,8,50,6,8
"49",13,3,5,46,4,7
"50",14,7,7,50,29,10
"51",10,5,4,50,5,4
"52",9,8,11,50,22,9
"53",10,9,5,50,13,9
"54",8,9,8,50,6,9
"55",12,8,8,50,22,8
"56",7,5,4,50,5,4
"57",8,5,4,43,5,4
"58",13,11,5,50,20,11
"59",7,5,4,50,12,6
"60",8,7,6,50,6,6
"61",5,3,4,45,2,2
"62",10,11,10,50,50,15
"63",5,5,8,50,13,5
"64",9,10,8,49,10,4
"65",8,6,7,47,17,5
"66",6,4,5,50,8,6
"67",16,16,11,50,9,10
"68",7,4,4,45,15,5
"69",9,10,8,46,50,10
"70",12,10,6,50,14,10
"71",8,7,6,50,16,5
"72",16,13,8,47,50,13
"73",12,9,8,50,50,11
"74",12,13,6,50,11,7
"75",17,9,5,49,21,5
"76",8,5,5,50,20,6
"77",15,11,8,50,17,10
"78",5,4,3,40,3,4
"79",8,6,8,49,42,8
"80",9,5,4,50,6,5
"81",10,5,7,50,22,7
"82",7,7,6,50,5,4
"83",26,11,8,50,22,15
"84",13,4,7,50,4,6
"85",12,8,6,50,50,10
"86",7,6,6,50,5,5
"87",21,11,18,50,50,19
"88",21,9,8,50,46,18
"89",17,20,13,50,50,18
"90",12,5,8,46,4,5
"91",16,5,5,50,5,8
"92",6,5,5,50,4,5
"93",9,5,9,50,26,8
"94",12,6,9,50,6,7
"95",5,3,6,50,3,3
"96",18,12,15,50,50,13
"97",6,6,7,43,19,5
"98",22,7,9,50,23,10
"99",12,6,7,50,7,7
"100",8,10,7,45,6,8
