"","es1","es2"
"144",2.17338012995955,3.06067475375203
"421",4.97603547551505,1.49002460909694
"109",8.95334777826406,0.650868258704204
"40",8.2624507996078,1.43848898953307
"148",9.85395204242144,3.4671925279982
"142",8.66806738663385,1.78895413476032
"765",9.65735820646561,1.84184826817707
"420",5.91393585325468,2.17744077418014
"272",5.5804432745524,2.33898941855029
"668",5.50987315195017,2.40601390907951
"53",3.26212282631777,2.36727625568213
"14",2.70715083064646,2.48020880507526
"708",13.3720034370713,0.441873356069262
